Subject,Words_t1,ans_t1,key_resp_t1_corr,key_resp_t1_rt
62,公正,e,1,0.8699
62,诚实,e,1,0.6083
62,我,e,1,0.5999
62,他人,i,1,0.7629
62,自私,i,1,0.7179
62,其他,i,1,0.771
62,冷静,e,1,0.9318
62,他们,i,1,0.7156
62,俺,e,1,0.7207
62,我,e,1,0.5083
62,俺,e,1,0.5818
62,俺,e,1,0.561
62,朴实,e,1,0.5863
62,他们,i,1,0.6407
62,热情,e,1,0.6105
62,我们,e,1,0.6485
62,崇高,e,1,0.5789
62,傲慢,i,1,0.6057
62,他,i,1,0.7538
62,俺,e,1,0.7492
62,卑鄙,i,1,0.7462
62,刻薄,i,1,0.655
62,他的,i,1,0.6781
62,我的,e,1,0.5874
62,他人,i,1,0.6963
62,我们,e,1,0.6464
62,活泼,e,1,0.6994
62,他们,i,1,0.6465
62,鲁莽,i,1,0.6987
62,聪明,e,1,0.6523
62,我们,e,1,0.496
62,他人,i,1,0.6289
62,其他,i,1,0.8014
62,悲观,i,1,0.8155
62,固执,i,1,0.8814
62,他的,i,1,0.6955
62,他人,i,1,0.7025
62,他们,i,1,0.61
62,消极,i,1,0.7553
62,他,i,1,0.6923
62,他的,i,1,0.5119
62,愚蠢,i,1,0.5318
62,我的,e,1,0.6306
62,正直,e,1,0.5817
62,乐观,e,1,0.5497
62,稳重,e,1,0.6087
62,其他,i,1,0.7196
62,虚伪,i,1,0.7978
62,我的,e,1,0.5991
62,下贱,i,1,0.6034
62,猖狂,i,1,0.7693
62,自己,e,1,0.8083
62,轻率,i,1,0.9203
62,勤奋,e,1,0.7224
62,他的,i,1,0.6278
62,暴躁,i,1,0.6162
62,杰出,e,1,0.7217
62,冒失,i,1,0.5466
62,凶狠,i,1,0.6322
62,我,e,1,0.7326
62,他,i,1,0.5516
62,野蛮,i,1,0.7443
62,我的,e,1,0.6861
62,优秀,e,1,0.8034
62,诚恳,e,1,0.642
62,自己,e,1,0.7381
62,其他,i,1,0.7073
62,自己,e,1,0.7517
62,细腻,e,1,0.6105
62,我们,e,1,0.5037
62,我,e,1,0.4566
62,勇敢,e,1,0.6947
62,他,i,1,0.6155
62,自卑,i,1,0.7231
62,机智,e,1,0.73740000000000006
62,认真,e,1,0.564
62,执拗,i,1,0.5944
62,无私,e,1,0.7377
62,散漫,i,1,0.7621
62,自己,e,1,0.5375
62,我们,e,1,0.719
62,自己,e,1,0.5735
62,自己,e,1,0.4821
62,他,i,1,0.6355
62,其他,i,1,0.6137
62,散漫,i,1,0.6637
62,乐观,e,1,0.7441
62,我的,e,1,0.5465
62,无私,e,1,0.5822
62,其他,i,1,0.7279
62,优秀,e,1,0.6672
62,诚实,e,1,0.615
62,俺,e,1,0.5893
62,勤奋,e,1,0.5186
62,刻薄,i,1,0.7421
62,愚蠢,i,1,0.5653
62,杰出,e,1,0.6178
62,卑鄙,i,1,0.6154
62,其他,i,1,0.7186
62,他的,i,1,0.6131
62,他,i,1,0.5715
62,公正,e,1,0.6305
62,其他,i,1,0.6171
62,消极,i,1,0.7008
62,我,e,1,0.5867
62,俺,e,1,0.6135
62,我的,e,1,0.5079
62,自己,e,1,0.5122
62,他的,i,1,0.7133
62,我们,e,1,0.648
62,凶狠,i,1,0.7097
62,崇高,e,1,0.6393
62,固执,i,1,0.634
62,机智,e,1,0.6295
62,稳重,e,1,0.6098
62,他,i,1,0.5824
62,勇敢,e,1,0.6918
62,我,e,1,0.5986
62,俺,e,1,0.5991
62,冒失,i,1,0.6541
62,他人,i,1,0.7306
62,他人,i,1,0.5751
62,野蛮,i,1,0.739
62,他们,i,1,0.6112
62,自私,i,1,0.7839
62,鲁莽,i,1,0.6107
62,他,i,1,0.5832
62,冷静,e,1,1.1984
62,我,e,1,0.6294
62,悲观,i,1,0.9349
62,傲慢,i,1,0.6374
62,他们,i,1,0.6687
62,轻率,i,1,0.6678
62,我们,e,1,0.5754
62,认真,e,1,0.5989
62,我的,e,1,0.7549
62,正直,e,1,0.6687
62,猖狂,i,1,0.6802
62,我,e,1,0.5398
62,我们,e,1,0.5196
62,朴实,e,1,0.6363
62,他的,i,1,0.5973
62,他们,i,1,0.6752
62,虚伪,i,1,0.6985
62,执拗,i,1,0.6216
62,俺,e,1,0.6665
62,下贱,i,1,0.5763
62,我的,e,1,0.6994
62,热情,e,1,0.5644
62,他们,i,1,0.6494
62,诚恳,e,1,0.6487
62,聪明,e,1,0.5634
62,他人,i,1,0.5812
62,细腻,e,1,0.6809
62,他人,i,1,0.9771
62,暴躁,i,1,0.6548
62,他的,i,1,0.6052
62,自卑,i,1,0.638
62,自己,e,1,0.9994
62,活泼,e,1,0.7162
62,我们,e,1,0.7152
62,猖狂,i,1,0.612
62,杰出,e,1,0.6911
62,俺,e,1,0.6382
62,我的,e,1,0.5411
62,自己,e,1,0.6332
62,认真,e,1,0.5926
62,我们,e,1,0.5168
62,公正,e,1,0.5504
62,细腻,e,1,0.664
62,崇高,e,1,0.5837
62,俺,e,1,0.7181
62,冒失,i,1,0.564
