Words_t1,ans_t1,key_resp_t1.corr,key_resp_t1.rt,Words_t2,ans_t2,key_resp_t2.corr,key_resp_t2.rt,Subject,Category_t1,Category_t2
俺,e,1,0.6777,NA,NA,NA,NA,70,自我,NA
我的,e,1,0.4171,NA,NA,NA,NA,70,自我,NA
愚蠢,i,1,0.6614,NA,NA,NA,NA,70,消极,NA
他们,i,1,0.5209,NA,NA,NA,NA,70,他人,NA
鲁莽,i,1,0.4991,NA,NA,NA,NA,70,消极,NA
其他,i,1,0.5108,NA,NA,NA,NA,70,他人,NA
我们,e,1,0.4373,NA,NA,NA,NA,70,自我,NA
他人,i,1,0.5477,NA,NA,NA,NA,70,他人,NA
他的,i,1,0.4498,NA,NA,NA,NA,70,他人,NA
我,e,1,0.4982,NA,NA,NA,NA,70,自我,NA
我们,e,1,0.3875,NA,NA,NA,NA,70,自我,NA
暴躁,i,1,1.137,NA,NA,NA,NA,70,消极,NA
猖狂,i,1,0.4539,NA,NA,NA,NA,70,消极,NA
自己,e,1,0.5437,NA,NA,NA,NA,70,自我,NA
乐观,e,1,0.6502,NA,NA,NA,NA,70,积极,NA
聪明,e,1,0.4979,NA,NA,NA,NA,70,积极,NA
冷静,e,1,0.7647,NA,NA,NA,NA,70,积极,NA
轻率,i,1,0.6585,NA,NA,NA,NA,70,消极,NA
他,i,1,0.5019,NA,NA,NA,NA,70,他人,NA
我,e,1,0.4661,NA,NA,NA,NA,70,自我,NA
我们,e,1,0.3822,NA,NA,NA,NA,70,自我,NA
自己,e,1,0.367,NA,NA,NA,NA,70,自我,NA
冒失,i,1,0.5805,NA,NA,NA,NA,70,消极,NA
其他,i,1,0.5824,NA,NA,NA,NA,70,他人,NA
自卑,i,1,0.4759,NA,NA,NA,NA,70,消极,NA
自己,e,1,0.6313,NA,NA,NA,NA,70,自我,NA
下贱,i,1,0.572,NA,NA,NA,NA,70,消极,NA
我们,e,1,0.4086,NA,NA,NA,NA,70,自我,NA
他的,i,1,0.5769,NA,NA,NA,NA,70,他人,NA
他,i,1,0.4404,NA,NA,NA,NA,70,他人,NA
杰出,e,1,0.4315,NA,NA,NA,NA,70,积极,NA
悲观,i,1,0.5094,NA,NA,NA,NA,70,消极,NA
自私,i,1,0.9513,NA,NA,NA,NA,70,消极,NA
诚恳,e,1,0.4472,NA,NA,NA,NA,70,积极,NA
稳重,e,1,0.5747,NA,NA,NA,NA,70,积极,NA
勇敢,e,1,0.5016,NA,NA,NA,NA,70,积极,NA
勤奋,e,1,0.3858,NA,NA,NA,NA,70,积极,NA
热情,e,1,0.4053,NA,NA,NA,NA,70,积极,NA
他,i,1,0.4898,NA,NA,NA,NA,70,他人,NA
我,e,1,0.4943,NA,NA,NA,NA,70,自我,NA
他人,i,1,0.4711,NA,NA,NA,NA,70,他人,NA
崇高,e,1,0.5246,NA,NA,NA,NA,70,积极,NA
傲慢,i,1,1.0171,NA,NA,NA,NA,70,消极,NA
他们,i,1,0.457,NA,NA,NA,NA,70,他人,NA
虚伪,i,1,0.969,NA,NA,NA,NA,70,消极,NA
固执,i,0,0.5833,NA,NA,NA,NA,70,消极,NA
俺,e,1,0.4786,NA,NA,NA,NA,70,自我,NA
正直,e,1,0.5436,NA,NA,NA,NA,70,积极,NA
细腻,e,1,0.8818,NA,NA,NA,NA,70,积极,NA
诚实,e,1,0.5825,NA,NA,NA,NA,70,积极,NA
俺,e,1,0.5592,NA,NA,NA,NA,70,自我,NA
其他,i,1,0.8546,NA,NA,NA,NA,70,他人,NA
我的,e,1,0.4741,NA,NA,NA,NA,70,自我,NA
卑鄙,i,1,0.8042,NA,NA,NA,NA,70,消极,NA
他们,i,1,0.4266,NA,NA,NA,NA,70,他人,NA
认真,e,1,0.4988,NA,NA,NA,NA,70,积极,NA
我的,e,1,0.3989,NA,NA,NA,NA,70,自我,NA
优秀,e,1,0.5302,NA,NA,NA,NA,70,积极,NA
刻薄,i,1,0.6037,NA,NA,NA,NA,70,消极,NA
凶狠,i,0,0.5767,NA,NA,NA,NA,70,消极,NA
他,i,1,0.5216,NA,NA,NA,NA,70,他人,NA
公正,e,1,0.8351,NA,NA,NA,NA,70,积极,NA
消极,i,1,0.5393,NA,NA,NA,NA,70,消极,NA
朴实,e,1,0.6584,NA,NA,NA,NA,70,积极,NA
他人,i,1,0.5155,NA,NA,NA,NA,70,他人,NA
执拗,i,1,0.6054,NA,NA,NA,NA,70,消极,NA
其他,i,1,0.464,NA,NA,NA,NA,70,他人,NA
野蛮,i,1,0.5469,NA,NA,NA,NA,70,消极,NA
他人,i,1,0.4924,NA,NA,NA,NA,70,他人,NA
我,e,1,0.4814,NA,NA,NA,NA,70,自我,NA
他的,i,1,0.5424,NA,NA,NA,NA,70,他人,NA
机智,e,1,0.4814,NA,NA,NA,NA,70,积极,NA
散漫,i,1,0.6853,NA,NA,NA,NA,70,消极,NA
他的,i,0,0.4553,NA,NA,NA,NA,70,他人,NA
俺,e,1,0.634,NA,NA,NA,NA,70,自我,NA
无私,e,1,0.6649,NA,NA,NA,NA,70,积极,NA
活泼,e,1,0.7101,NA,NA,NA,NA,70,积极,NA
他们,i,1,0.5039,NA,NA,NA,NA,70,他人,NA
自己,e,1,0.4529,NA,NA,NA,NA,70,自我,NA
我的,e,1,0.4433,NA,NA,NA,NA,70,自我,NA
他,i,1,0.8011,NA,NA,NA,NA,70,他人,NA
鲁莽,i,1,0.6527,NA,NA,NA,NA,70,消极,NA
聪明,e,1,0.7254,NA,NA,NA,NA,70,积极,NA
乐观,e,1,0.4755,NA,NA,NA,NA,70,积极,NA
他人,i,1,1.4372,NA,NA,NA,NA,70,他人,NA
散漫,i,1,0.6088,NA,NA,NA,NA,70,消极,NA
他们,i,0,0.4373,NA,NA,NA,NA,70,他人,NA
其他,i,1,0.5941,NA,NA,NA,NA,70,他人,NA
杰出,e,1,0.5685,NA,NA,NA,NA,70,积极,NA
野蛮,i,1,0.5805,NA,NA,NA,NA,70,消极,NA
自己,e,1,0.4959,NA,NA,NA,NA,70,自我,NA
刻薄,i,1,0.5237,NA,NA,NA,NA,70,消极,NA
他,i,1,0.3667,NA,NA,NA,NA,70,他人,NA
勇敢,e,1,0.5331,NA,NA,NA,NA,70,积极,NA
优秀,e,1,0.4459,NA,NA,NA,NA,70,积极,NA
我们,e,1,0.4349,NA,NA,NA,NA,70,自我,NA
热情,e,0,0.4831,NA,NA,NA,NA,70,积极,NA
他的,i,1,0.713,NA,NA,NA,NA,70,他人,NA
崇高,e,1,0.5744,NA,NA,NA,NA,70,积极,NA
他的,i,1,0.6051,NA,NA,NA,NA,70,他人,NA
勤奋,e,1,0.6242,NA,NA,NA,NA,70,积极,NA
诚恳,e,1,0.4445,NA,NA,NA,NA,70,积极,NA
认真,e,1,0.4084,NA,NA,NA,NA,70,积极,NA
俺,e,1,0.5521,NA,NA,NA,NA,70,自我,NA
消极,i,1,0.5329,NA,NA,NA,NA,70,消极,NA
猖狂,i,1,0.4097,NA,NA,NA,NA,70,消极,NA
机智,e,1,0.5166,NA,NA,NA,NA,70,积极,NA
朴实,e,1,0.3716,NA,NA,NA,NA,70,积极,NA
卑鄙,i,1,0.5793,NA,NA,NA,NA,70,消极,NA
我的,e,1,0.4736,NA,NA,NA,NA,70,自我,NA
轻率,i,1,0.5831,NA,NA,NA,NA,70,消极,NA
虚伪,i,1,0.9506,NA,NA,NA,NA,70,消极,NA
俺,e,1,0.4999,NA,NA,NA,NA,70,自我,NA
他们,i,1,0.5502,NA,NA,NA,NA,70,他人,NA
其他,i,1,0.5405,NA,NA,NA,NA,70,他人,NA
我们,e,1,0.4741,NA,NA,NA,NA,70,自我,NA
凶狠,i,1,0.5444,NA,NA,NA,NA,70,消极,NA
他,i,0,0.4945,NA,NA,NA,NA,70,他人,NA
