Words_t1,ans_t1,key_resp_t1.corr,key_resp_t1.rt,Words_t2,ans_t2,key_resp_t2.corr,key_resp_t2.rt,Subject,Category_t1,Category_t2
我们,e,1,0.5443,NA,NA,NA,NA,68,自我,NA
机智,e,1,0.4465,NA,NA,NA,NA,68,积极,NA
无私,e,1,0.6317,NA,NA,NA,NA,68,积极,NA
勇敢,e,1,0.4383,NA,NA,NA,NA,68,积极,NA
他,i,1,0.5003,NA,NA,NA,NA,68,他人,NA
其他,i,1,0.553,NA,NA,NA,NA,68,他人,NA
他们,i,1,0.4512,NA,NA,NA,NA,68,他人,NA
他们,i,1,0.4352,NA,NA,NA,NA,68,他人,NA
他,i,1,0.393,NA,NA,NA,NA,68,他人,NA
冷静,e,1,0.5668,NA,NA,NA,NA,68,积极,NA
俺,e,1,0.4665,NA,NA,NA,NA,68,自我,NA
我的,e,1,0.5838,NA,NA,NA,NA,68,自我,NA
自己,e,1,0.4002,NA,NA,NA,NA,68,自我,NA
他人,i,1,0.3889,NA,NA,NA,NA,68,他人,NA
悲观,i,1,0.6438,NA,NA,NA,NA,68,消极,NA
杰出,e,1,0.55,NA,NA,NA,NA,68,积极,NA
散漫,i,1,1.073,NA,NA,NA,NA,68,消极,NA
我的,e,1,0.4463,NA,NA,NA,NA,68,自我,NA
诚恳,e,1,0.9497,NA,NA,NA,NA,68,积极,NA
自己,e,1,0.3835,NA,NA,NA,NA,68,自我,NA
他人,i,0,0.3514,NA,NA,NA,NA,68,他人,NA
俺,e,1,0.5334,NA,NA,NA,NA,68,自我,NA
他,i,1,0.4006,NA,NA,NA,NA,68,他人,NA
乐观,e,1,0.8094,NA,NA,NA,NA,68,积极,NA
我,e,1,0.3679,NA,NA,NA,NA,68,自我,NA
他们,i,1,0.4178,NA,NA,NA,NA,68,他人,NA
朴实,e,1,0.5788,NA,NA,NA,NA,68,积极,NA
俺,e,1,0.4675,NA,NA,NA,NA,68,自我,NA
执拗,i,1,0.7268,NA,NA,NA,NA,68,消极,NA
固执,i,1,0.5343,NA,NA,NA,NA,68,消极,NA
崇高,e,1,0.5152,NA,NA,NA,NA,68,积极,NA
我的,e,1,0.3935,NA,NA,NA,NA,68,自我,NA
细腻,e,1,0.5936,NA,NA,NA,NA,68,积极,NA
我们,e,1,0.5024,NA,NA,NA,NA,68,自我,NA
轻率,i,1,0.8179,NA,NA,NA,NA,68,消极,NA
下贱,i,1,0.8258,NA,NA,NA,NA,68,消极,NA
暴躁,i,1,0.755,NA,NA,NA,NA,68,消极,NA
我,e,1,0.4302,NA,NA,NA,NA,68,自我,NA
自己,e,1,0.5007,NA,NA,NA,NA,68,自我,NA
他的,i,1,0.4858,NA,NA,NA,NA,68,他人,NA
虚伪,i,1,0.7584,NA,NA,NA,NA,68,消极,NA
公正,e,1,0.534,NA,NA,NA,NA,68,积极,NA
愚蠢,i,1,0.4941,NA,NA,NA,NA,68,消极,NA
野蛮,i,1,0.6267,NA,NA,NA,NA,68,消极,NA
凶狠,i,1,0.4391,NA,NA,NA,NA,68,消极,NA
我的,e,1,0.4254,NA,NA,NA,NA,68,自我,NA
傲慢,i,1,0.4868,NA,NA,NA,NA,68,消极,NA
他的,i,1,0.6182,NA,NA,NA,NA,68,他人,NA
他人,i,1,0.5086,NA,NA,NA,NA,68,他人,NA
其他,i,1,0.5338,NA,NA,NA,NA,68,他人,NA
热情,e,1,0.5831,NA,NA,NA,NA,68,积极,NA
鲁莽,i,1,0.5007,NA,NA,NA,NA,68,消极,NA
勤奋,e,1,0.617,NA,NA,NA,NA,68,积极,NA
正直,e,1,0.4922,NA,NA,NA,NA,68,积极,NA
我,e,1,0.418,NA,NA,NA,NA,68,自我,NA
认真,e,1,0.4754,NA,NA,NA,NA,68,积极,NA
我,e,1,0.4582,NA,NA,NA,NA,68,自我,NA
刻薄,i,1,0.6592,NA,NA,NA,NA,68,消极,NA
我们,e,1,0.4603,NA,NA,NA,NA,68,自我,NA
他的,i,1,0.4759,NA,NA,NA,NA,68,他人,NA
卑鄙,i,1,0.5434,NA,NA,NA,NA,68,消极,NA
聪明,e,1,0.604,NA,NA,NA,NA,68,积极,NA
他,i,1,0.7856,NA,NA,NA,NA,68,他人,NA
冒失,i,1,0.7,NA,NA,NA,NA,68,消极,NA
猖狂,i,1,0.5426,NA,NA,NA,NA,68,消极,NA
我们,e,1,0.4757,NA,NA,NA,NA,68,自我,NA
他人,i,1,0.5166,NA,NA,NA,NA,68,他人,NA
俺,e,1,0.5757,NA,NA,NA,NA,68,自我,NA
自己,e,1,0.5831,NA,NA,NA,NA,68,自我,NA
他们,i,1,0.5932,NA,NA,NA,NA,68,他人,NA
消极,i,1,0.5593,NA,NA,NA,NA,68,消极,NA
活泼,e,1,0.634,NA,NA,NA,NA,68,积极,NA
他的,i,1,0.8587,NA,NA,NA,NA,68,他人,NA
其他,i,1,0.728,NA,NA,NA,NA,68,他人,NA
优秀,e,1,0.6007,NA,NA,NA,NA,68,积极,NA
其他,i,1,0.5228,NA,NA,NA,NA,68,他人,NA
诚实,e,1,0.5504,NA,NA,NA,NA,68,积极,NA
自私,i,1,1.0649,NA,NA,NA,NA,68,消极,NA
自卑,i,1,0.6091,NA,NA,NA,NA,68,消极,NA
稳重,e,1,0.5265,NA,NA,NA,NA,68,积极,NA
消极,i,1,0.7471,NA,NA,NA,NA,68,消极,NA
凶狠,i,1,0.5845,NA,NA,NA,NA,68,消极,NA
猖狂,i,1,0.5484,NA,NA,NA,NA,68,消极,NA
他们,i,1,0.369,NA,NA,NA,NA,68,他人,NA
俺,e,1,0.5179,NA,NA,NA,NA,68,自我,NA
热情,e,1,0.5089,NA,NA,NA,NA,68,积极,NA
其他,i,1,0.6356,NA,NA,NA,NA,68,他人,NA
自己,e,1,0.4308,NA,NA,NA,NA,68,自我,NA
俺,e,1,0.3933,NA,NA,NA,NA,68,自我,NA
他的,i,1,0.4456,NA,NA,NA,NA,68,他人,NA
稳重,e,1,0.9497,NA,NA,NA,NA,68,积极,NA
自己,e,1,0.4451,NA,NA,NA,NA,68,自我,NA
细腻,e,1,0.6096,NA,NA,NA,NA,68,积极,NA
公正,e,1,0.4584,NA,NA,NA,NA,68,积极,NA
勇敢,e,1,0.448,NA,NA,NA,NA,68,积极,NA
他,i,1,0.4,NA,NA,NA,NA,68,他人,NA
我的,e,1,0.5387,NA,NA,NA,NA,68,自我,NA
崇高,e,1,0.6006,NA,NA,NA,NA,68,积极,NA
他人,i,1,0.7587,NA,NA,NA,NA,68,他人,NA
他们,i,1,0.4848,NA,NA,NA,NA,68,他人,NA
聪明,e,1,0.5972,NA,NA,NA,NA,68,积极,NA
活泼,e,1,0.4513,NA,NA,NA,NA,68,积极,NA
诚实,e,1,0.6259,NA,NA,NA,NA,68,积极,NA
乐观,e,1,0.4856,NA,NA,NA,NA,68,积极,NA
我们,e,1,0.4552,NA,NA,NA,NA,68,自我,NA
我们,e,1,0.423,NA,NA,NA,NA,68,自我,NA
自己,e,1,0.4956,NA,NA,NA,NA,68,自我,NA
杰出,e,1,1.0251,NA,NA,NA,NA,68,积极,NA
悲观,i,1,0.5682,NA,NA,NA,NA,68,消极,NA
正直,e,1,0.4086,NA,NA,NA,NA,68,积极,NA
勤奋,e,1,0.5505,NA,NA,NA,NA,68,积极,NA
刻薄,i,1,0.5508,NA,NA,NA,NA,68,消极,NA
诚恳,e,1,0.5604,NA,NA,NA,NA,68,积极,NA
他们,i,1,0.6265,NA,NA,NA,NA,68,他人,NA
我的,e,1,0.4331,NA,NA,NA,NA,68,自我,NA
自己,e,1,0.4337,NA,NA,NA,NA,68,自我,NA
他,i,1,0.6589,NA,NA,NA,NA,68,他人,NA
散漫,i,1,0.5181,NA,NA,NA,NA,68,消极,NA
他的,i,1,0.4908,NA,NA,NA,NA,68,他人,NA
其他,i,1,0.4925,NA,NA,NA,NA,68,他人,NA
他人,i,1,0.5403,NA,NA,NA,NA,68,他人,NA
自卑,i,1,0.547,NA,NA,NA,NA,68,消极,NA
下贱,i,1,0.5608,NA,NA,NA,NA,68,消极,NA
我们,e,1,0.5014,NA,NA,NA,NA,68,自我,NA
野蛮,i,1,0.4759,NA,NA,NA,NA,68,消极,NA
其他,i,1,0.6081,NA,NA,NA,NA,68,他人,NA
冷静,e,0,NA,NA,NA,NA,NA,68,积极,NA
他们,i,1,1.4677,NA,NA,NA,NA,68,他人,NA
卑鄙,i,1,0.5945,NA,NA,NA,NA,68,消极,NA
认真,e,1,0.8511,NA,NA,NA,NA,68,积极,NA
他的,i,1,0.559,NA,NA,NA,NA,68,他人,NA
我的,e,1,0.4915,NA,NA,NA,NA,68,自我,NA
我,e,1,0.4118,NA,NA,NA,NA,68,自我,NA
他人,i,1,0.651,NA,NA,NA,NA,68,他人,NA
执拗,i,1,0.7174,NA,NA,NA,NA,68,消极,NA
无私,e,1,0.5871,NA,NA,NA,NA,68,积极,NA
愚蠢,i,1,0.5131,NA,NA,NA,NA,68,消极,NA
我的,e,1,0.4011,NA,NA,NA,NA,68,自我,NA
朴实,e,1,0.4939,NA,NA,NA,NA,68,积极,NA
轻率,i,1,0.5527,NA,NA,NA,NA,68,消极,NA
我,e,1,0.4513,NA,NA,NA,NA,68,自我,NA
虚伪,i,1,0.667,NA,NA,NA,NA,68,消极,NA
我们,e,1,0.4007,NA,NA,NA,NA,68,自我,NA
机智,e,1,0.5455,NA,NA,NA,NA,68,积极,NA
其他,i,1,0.6516,NA,NA,NA,NA,68,他人,NA
暴躁,i,1,0.4849,NA,NA,NA,NA,68,消极,NA
他,i,1,0.5345,NA,NA,NA,NA,68,他人,NA
傲慢,i,1,0.4336,NA,NA,NA,NA,68,消极,NA
俺,e,1,0.4918,NA,NA,NA,NA,68,自我,NA
固执,i,1,0.5068,NA,NA,NA,NA,68,消极,NA
我,e,1,0.4696,NA,NA,NA,NA,68,自我,NA
他人,i,1,0.7013,NA,NA,NA,NA,68,他人,NA
他的,i,1,0.5425,NA,NA,NA,NA,68,他人,NA
我,e,1,0.5092,NA,NA,NA,NA,68,自我,NA
他,i,1,0.5859,NA,NA,NA,NA,68,他人,NA
自私,i,1,0.4762,NA,NA,NA,NA,68,消极,NA
冒失,i,1,0.6673,NA,NA,NA,NA,68,消极,NA
优秀,e,1,0.5167,NA,NA,NA,NA,68,积极,NA
俺,e,1,0.5511,NA,NA,NA,NA,68,自我,NA
鲁莽,i,1,0.8921,NA,NA,NA,NA,68,消极,NA
自己,e,1,0.4174,NA,NA,NA,NA,68,自我,NA
其他,i,1,0.503,NA,NA,NA,NA,68,他人,NA
虚伪,i,1,0.5003,NA,NA,NA,NA,68,消极,NA
我,e,1,0.4677,NA,NA,NA,NA,68,自我,NA
俺,e,1,0.5113,NA,NA,NA,NA,68,自我,NA
认真,e,1,0.5267,NA,NA,NA,NA,68,积极,NA
自私,i,1,0.6919,NA,NA,NA,NA,68,消极,NA
杰出,e,1,0.5342,NA,NA,NA,NA,68,积极,NA
自卑,i,1,0.4866,NA,NA,NA,NA,68,消极,NA
凶狠,i,1,0.7121,NA,NA,NA,NA,68,消极,NA
乐观,e,1,0.5674,NA,NA,NA,NA,68,积极,NA
热情,e,1,0.6343,NA,NA,NA,NA,68,积极,NA
傲慢,i,1,0.4678,NA,NA,NA,NA,68,消极,NA
他人,i,1,0.492,NA,NA,NA,NA,68,他人,NA
他,i,1,0.5358,NA,NA,NA,NA,68,他人,NA
我们,e,1,0.5089,NA,NA,NA,NA,68,自我,NA
野蛮,i,1,0.5187,NA,NA,NA,NA,68,消极,NA
他们,i,1,0.5265,NA,NA,NA,NA,68,他人,NA
暴躁,i,1,0.4933,NA,NA,NA,NA,68,消极,NA
他,i,1,0.5511,NA,NA,NA,NA,68,他人,NA
他的,i,1,0.5418,NA,NA,NA,NA,68,他人,NA
诚实,e,1,0.5012,NA,NA,NA,NA,68,积极,NA
他的,i,1,0.5423,NA,NA,NA,NA,68,他人,NA
他,i,1,0.6846,NA,NA,NA,NA,68,他人,NA
自己,e,1,0.7005,NA,NA,NA,NA,68,自我,NA
我的,e,1,0.4844,NA,NA,NA,NA,68,自我,NA
细腻,e,1,0.6014,NA,NA,NA,NA,68,积极,NA
卑鄙,i,1,0.4784,NA,NA,NA,NA,68,消极,NA
消极,i,1,0.8184,NA,NA,NA,NA,68,消极,NA
活泼,e,1,0.5162,NA,NA,NA,NA,68,积极,NA
他们,i,1,0.562,NA,NA,NA,NA,68,他人,NA
他们,i,1,0.5207,NA,NA,NA,NA,68,他人,NA
他的,i,1,0.5719,NA,NA,NA,NA,68,他人,NA
优秀,e,1,0.6005,NA,NA,NA,NA,68,积极,NA
自己,e,1,0.3722,NA,NA,NA,NA,68,自我,NA
我们,e,1,0.3772,NA,NA,NA,NA,68,自我,NA
机智,e,1,0.4814,NA,NA,NA,NA,68,积极,NA
其他,i,1,0.6002,NA,NA,NA,NA,68,他人,NA
勤奋,e,1,0.6346,NA,NA,NA,NA,68,积极,NA
其他,i,1,0.4926,NA,NA,NA,NA,68,他人,NA
聪明,e,1,1.2756,NA,NA,NA,NA,68,积极,NA
冒失,i,1,0.7516,NA,NA,NA,NA,68,消极,NA
其他,i,1,0.5003,NA,NA,NA,NA,68,他人,NA
固执,i,1,0.4257,NA,NA,NA,NA,68,消极,NA
崇高,e,1,0.6255,NA,NA,NA,NA,68,积极,NA
勇敢,e,1,1.2866,NA,NA,NA,NA,68,积极,NA
俺,e,1,0.528,NA,NA,NA,NA,68,自我,NA
他人,i,1,1.3258,NA,NA,NA,NA,68,他人,NA
我的,e,1,0.4595,NA,NA,NA,NA,68,自我,NA
自己,e,1,0.451,NA,NA,NA,NA,68,自我,NA
冷静,e,1,0.5422,NA,NA,NA,NA,68,积极,NA
我们,e,1,0.4586,NA,NA,NA,NA,68,自我,NA
我,e,1,0.433,NA,NA,NA,NA,68,自我,NA
执拗,i,1,0.7759,NA,NA,NA,NA,68,消极,NA
公正,e,1,0.5732,NA,NA,NA,NA,68,积极,NA
下贱,i,1,0.7414,NA,NA,NA,NA,68,消极,NA
轻率,i,1,0.9899,NA,NA,NA,NA,68,消极,NA
他们,i,1,0.5678,NA,NA,NA,NA,68,他人,NA
无私,e,1,0.6511,NA,NA,NA,NA,68,积极,NA
正直,e,1,1.45,NA,NA,NA,NA,68,积极,NA
愚蠢,i,1,1.1094,NA,NA,NA,NA,68,消极,NA
猖狂,i,1,0.553,NA,NA,NA,NA,68,消极,NA
