Subject,Words_t1,ans_t1,key_resp_t1_corr,key_resp_t1_rt
88,俺,e,1,0.5608
88,他,i,1,0.6724
88,固执,i,1,0.5741
88,他人,i,1,0.5128
88,我们,e,1,0.5343
88,我,e,1,0.4758
88,他们,i,1,0.5468
88,他的,i,0,0.5134
88,他人,i,1,0.4966
88,活泼,e,1,0.5582
88,傲慢,i,1,0.6005
88,他,i,1,0.67
88,公正,e,1,0.6673
88,他的,i,1,0.6948
88,自己,e,1,0.6003
88,其他,i,1,0.8424
88,俺,e,1,0.4677
88,他们,i,1,0.6467
88,自私,i,1,0.7244
88,野蛮,i,1,0.5212
88,崇高,e,1,0.5753
88,他,i,1,0.4885
88,自卑,i,1,0.8706
88,热情,e,1,0.7242
88,他的,i,1,0.5939
88,鲁莽,i,1,0.6178
88,其他,i,1,0.6187
88,我,e,1,0.5598
88,优秀,e,0,0.8399
88,其他,i,1,0.4918
88,凶狠,i,1,0.5739
88,认真,e,1,0.5524
88,执拗,i,1,0.8305
88,我的,e,1,0.6718
88,我,e,1,0.6141
88,勇敢,e,1,0.9487
88,他人,i,1,0.6142
88,卑鄙,i,1,0.597
88,俺,e,1,0.6423
88,自己,e,1,0.575
88,冷静,e,1,0.9572
88,下贱,i,1,0.5021
88,自己,e,1,0.6555
88,我们,e,1,0.6282
88,杰出,e,1,1.3499
88,愚蠢,i,1,0.6008
88,无私,e,1,0.7658
88,悲观,i,1,0.6346
88,我们,e,1,0.6295
88,诚实,e,1,1.2001
88,轻率,i,1,0.7208
88,聪明,e,1,0.6659
88,暴躁,i,1,0.6808
88,诚恳,e,1,0.6808
88,他的,i,1,0.6621
88,细腻,e,1,0.6302
88,其他,i,1,0.6279
88,消极,i,1,0.7392
88,猖狂,i,1,0.6539
88,正直,e,1,0.6383
88,散漫,i,1,0.9605
88,他们,i,1,0.7769
88,稳重,e,1,0.5877
88,刻薄,i,1,0.5905
88,朴实,e,1,0.5554
88,我的,e,1,0.4955
88,我们,e,1,0.4004
88,机智,e,1,0.6933
88,虚伪,i,1,0.6457
88,他,i,1,0.6287
88,冒失,i,1,0.7732
88,自己,e,1,0.5206
88,他们,i,1,0.8477
88,俺,e,1,0.5369
88,勤奋,e,1,0.6678
88,我的,e,1,0.4893
88,我,e,1,0.4536
88,他人,i,1,0.4867
88,我的,e,1,0.487
88,乐观,e,1,0.9169
88,自卑,i,1,0.7925
88,下贱,i,1,0.6362
88,我,e,1,0.4439
88,活泼,e,1,0.5065
88,傲慢,i,1,0.5976
88,俺,e,1,0.5367
88,机智,e,1,0.5655
88,诚恳,e,1,0.5398
88,正直,e,1,0.4918
88,自己,e,1,0.4351
88,执拗,i,1,0.7199
88,他的,i,1,0.5564
88,他人,i,1,0.4311
88,我的,e,1,0.4787
88,其他,i,1,0.4712
88,我的,e,1,0.5594
88,固执,i,1,0.559
88,凶狠,i,1,0.6142
88,卑鄙,i,1,0.526
88,冷静,e,1,0.6108
88,他,i,1,0.4767
88,他们,i,1,0.5204
88,我们,e,1,0.4782
88,他的,i,1,0.5366
88,俺,e,1,0.4669
88,杰出,e,1,0.7929
88,猖狂,i,1,0.5837
88,他们,i,1,0.5911
88,自己,e,1,0.4159
88,自私,i,1,0.8895
88,轻率,i,1,0.5891
88,崇高,e,1,0.6328
88,细腻,e,1,0.5736
88,他们,i,1,0.5676
88,消极,i,1,0.7756
88,我们,e,1,0.3984
88,野蛮,i,1,0.6004
88,我,e,1,0.4067
88,俺,e,1,0.5329
88,暴躁,i,1,0.5616
88,其他,i,1,0.6131
88,悲观,i,1,0.5713
88,他人,i,1,0.5942
88,认真,e,1,0.5206
88,散漫,i,1,0.5156
88,他,i,1,0.4681
88,他人,i,1,0.6616
88,鲁莽,i,1,0.5338
88,俺,e,1,0.6156
88,虚伪,i,1,0.5306
88,其他,i,1,0.5617
88,愚蠢,i,1,0.6581
88,冒失,i,1,0.5711
88,我们,e,1,0.5111
88,优秀,e,1,0.6931
88,我的,e,1,0.613
88,我们,e,1,0.4942
88,乐观,e,1,0.6789
88,诚实,e,1,0.6326
88,我,e,1,0.4915
88,稳重,e,1,0.5911
88,他,i,1,0.5339
88,我,e,1,0.4843
88,无私,e,1,0.7624
88,聪明,e,1,0.5569
88,公正,e,1,0.5616
88,其他,i,1,0.5974
88,朴实,e,1,0.6652
88,他人,i,1,0.5741
88,他的,i,1,0.5385
88,我的,e,1,0.5046
88,勇敢,e,1,0.5701
88,他们,i,1,0.5653
88,自己,e,1,0.5972
88,他,i,1,0.5923
88,勤奋,e,1,0.6045
88,自己,e,1,0.4948
88,刻薄,i,1,0.615
88,他的,i,1,0.5847
88,热情,e,1,0.5457
88,轻率,i,1,0.581
88,冒失,i,1,0.8374
88,他人,i,1,0.4442
88,凶狠,i,1,0.631
88,细腻,e,1,0.5476
88,虚伪,i,1,0.6377
88,他人,i,1,0.5241
88,正直,e,1,0.6768
88,公正,e,1,0.5357
88,我们,e,1,0.6245
88,勤奋,e,1,0.6233
88,鲁莽,i,1,0.4594
88,其他,i,1,0.6014
88,自己,e,1,0.627
88,朴实,e,1,0.7192
88,他,i,1,0.3984
88,他们,i,1,0.3951
88,他们,i,1,0.4742
88,他,i,1,0.4209
88,乐观,e,1,0.5417
88,我的,e,1,0.3835
88,我,e,1,0.6751
88,俺,e,1,0.5882
88,他的,i,1,0.572
88,俺,e,1,0.5096
88,他人,i,1,0.4996
88,他,i,0,0.44
88,自私,i,0,0.5258
88,优秀,e,1,0.5774
88,他的,i,1,0.5621
88,俺,e,1,0.4904
88,我们,e,1,0.6206
88,我,e,1,0.51
88,诚恳,e,1,0.6759
88,他们,i,1,0.505
88,其他,i,1,0.5145
88,认真,e,1,0.5463
88,暴躁,i,1,0.5571
88,猖狂,i,1,0.5639
88,冷静,e,1,0.6931
88,自己,e,1,0.5758
88,下贱,i,1,0.5152
88,其他,i,1,0.51
88,我们,e,1,0.6767
88,刻薄,i,1,0.5872
88,杰出,e,0,0.4397
88,自己,e,1,0.4804
88,聪明,e,1,0.5726
88,悲观,i,1,0.5632
88,他的,i,1,0.5046
88,他,i,1,0.5648
88,执拗,i,1,0.6606
88,稳重,e,1,0.8526
88,傲慢,i,1,0.8598
