Subject,Words_t1,ans_t1,key_resp_t1_corr,key_resp_t1_rt
1,诚恳,e,1,0.5302
1,他人,i,1,0.5563
1,乐观,e,1,0.5008
1,崇高,e,1,0.5348
1,他,i,1,0.5173
1,自卑,i,1,0.4421
1,我的,e,1,0.4691
1,他的,i,1,0.6006
1,其他,i,1,0.5011
1,自私,i,0,NA
1,我,e,1,0.5632
1,野蛮,i,1,0.5498
1,细腻,e,1,0.6171
1,傲慢,i,1,0.7588
1,冒失,i,1,0.6338
1,他人,i,1,0.5341
1,其他,i,1,0.5259
1,他,i,1,0.5002
1,他们,i,1,0.4754
1,下贱,i,1,0.445
1,他的,i,1,0.4429
1,杰出,e,1,0.5013
1,其他,i,1,0.528
1,我们,e,1,0.5005
1,鲁莽,i,1,0.5165
1,机智,e,1,0.5443
1,他们,i,1,0.4626
1,他的,i,1,0.5556
1,认真,e,1,0.467
1,热情,e,1,0.5381
1,他人,i,0,0.5927
1,我们,e,1,0.4335
1,我的,e,1,0.3345
1,俺,e,1,0.5004
1,他,i,1,0.4833
1,他的,i,1,0.386
1,我,e,1,0.4968
1,公正,e,1,0.4833
1,消极,i,1,0.4762
1,我,e,1,0.5281
1,执拗,i,1,0.8865
1,活泼,e,1,0.4678
1,愚蠢,i,1,0.4932
1,悲观,i,1,0.5275
1,聪明,e,1,0.5519
1,朴实,e,1,0.568
1,他,i,1,0.492
1,其他,i,1,0.5799
1,自己,e,1,0.5167
1,我的,e,1,0.5728
1,俺,e,1,0.4884
1,刻薄,i,1,0.5631
1,他们,i,1,0.5344
1,我们,e,1,0.464
1,优秀,e,1,0.4799
1,无私,e,1,0.6717
1,我的,e,1,0.3715
1,卑鄙,i,1,0.5067
1,我,e,1,0.4292
1,固执,i,1,1.2175
1,散漫,i,1,0.6888
1,凶狠,i,1,0.5289
1,勇敢,e,1,0.4889
1,我们,e,1,0.396
1,轻率,i,1,0.5044
1,勤奋,e,1,0.5388
1,正直,e,1,0.4104
1,俺,e,1,0.4235
1,自己,e,1,0.3619
1,他们,i,1,0.5828
1,俺,e,1,0.3792
1,猖狂,i,1,0.6602
1,自己,e,1,0.4373
1,冷静,e,1,0.6863
1,诚实,e,1,0.4053
1,稳重,e,1,0.4019
1,自己,e,1,0.3831
1,虚伪,i,1,0.46
1,他人,i,1,0.5002
1,暴躁,i,1,0.5248
1,他们,i,1,0.5957
1,他们,i,1,0.4384
1,下贱,i,1,0.6167
1,自己,e,1,0.411
1,俺,e,1,0.437
1,诚恳,e,1,0.5063
1,其他,i,1,0.5533
1,聪明,e,1,0.6755
1,我,e,1,0.451
1,我的,e,1,0.3841
1,执拗,i,1,0.5371
1,乐观,e,1,0.5561
1,他们,i,1,0.4549
1,其他,i,1,0.4091
1,他,i,0,0.5265
1,他,i,1,0.4337
1,我们,e,1,0.4466
1,愚蠢,i,1,0.5091
1,我的,e,1,0.7232
1,他人,i,1,0.414
1,机智,e,1,0.6187
1,他的,i,1,0.5116
1,卑鄙,i,1,1.1013
1,无私,e,1,0.567
1,我的,e,1,0.5498
1,散漫,i,1,0.8212
1,暴躁,i,1,1.0378
1,细腻,e,0,0.5774
1,我,e,1,0.517
1,俺,e,1,0.9504
1,勤奋,e,1,0.5673
1,俺,e,1,0.4506
1,鲁莽,i,0,0.5875
1,自己,e,1,0.3677
1,杰出,e,1,0.5371
1,他人,i,1,0.5252
1,俺,e,1,0.4853
1,他,i,1,0.4873
1,悲观,i,1,0.6231
1,消极,i,1,0.5342
1,勇敢,e,1,0.6233
1,自私,i,1,1.3936
1,凶狠,i,1,0.4508
1,我,e,1,0.4277
1,我,e,1,0.3535
1,认真,e,1,0.4272
1,虚伪,i,1,0.4755
1,他的,i,1,1.0843
1,他人,i,1,0.3719
1,轻率,i,1,0.5879
1,刻薄,i,1,0.3564
1,诚实,e,1,0.4374
1,他的,i,0,0.4057
1,我们,e,1,0.4569
1,其他,i,1,0.5044
1,崇高,e,1,0.5365
1,正直,e,1,0.3852
1,固执,i,0,0.3578
1,朴实,e,1,0.6
1,自己,e,1,0.4625
1,自卑,i,1,0.5005
1,傲慢,i,1,1.1553
1,冷静,e,1,0.5341
1,他的,i,1,0.4442
1,优秀,e,1,0.6039
1,他,i,1,0.4519
1,热情,e,1,0.4438
1,我们,e,1,0.6224
1,他们,i,1,0.4674
1,冒失,i,1,0.5176
1,他人,i,1,0.535
1,我的,e,1,0.4515
1,活泼,e,1,0.4838
1,猖狂,i,1,0.4279
1,稳重,e,1,0.5169
1,公正,e,1,0.4178
1,自己,e,1,0.4129
1,野蛮,i,1,0.4539
1,其他,i,1,0.5514
1,我们,e,1,0.479
1,俺,e,1,0.5133
1,崇高,e,1,0.6365
1,冒失,i,1,0.868
1,热情,e,1,0.5004
1,他,i,1,0.5021
1,悲观,i,1,0.7303
1,刻薄,i,1,0.3597
1,我,e,1,0.3624
1,傲慢,i,1,0.4581
1,他们,i,1,0.5837
1,他的,i,1,0.8168
1,我们,e,1,0.4162
1,认真,e,1,0.4848
1,下贱,i,1,0.3844
1,其他,i,1,0.3944
1,卑鄙,i,1,0.5238
1,诚实,e,1,0.5442
1,我的,e,1,0.4006
