Subject,Words_t1,ans_t1,key_resp_t1_corr,key_resp_t1_rt
98,他,i,1,0.783
98,正直,e,1,0.6013
98,我,e,1,0.5671
98,冒失,i,1,0.6065
98,他的,i,1,0.49370000000000003
98,愚蠢,i,1,0.5365
98,他人,i,1,0.5059
98,猖狂,i,1,0.5566
98,他人,i,1,0.4519
98,我,e,1,0.8271
98,诚恳,e,1,0.4969
98,无私,e,1,0.9682
98,崇高,e,1,0.5357
98,野蛮,i,1,0.5904
98,聪明,e,1,0.5544
98,活泼,e,1,0.7051
98,他们,i,1,0.5693
98,诚实,e,1,0.7193
98,他的,i,1,0.5347
98,俺,e,1,0.547
98,热情,e,1,0.6161
98,悲观,i,1,0.7286
98,朴实,e,1,0.5052
98,虚伪,i,1,0.6011
98,冷静,e,1,0.5502
98,我的,i,1,0.6183
98,其他,e,1,0.6555
98,无私,e,1,0.7169
98,杰出,e,1,0.5175
98,其他,e,1,0.5862
98,他人,e,1,0.5174
98,乐观,e,1,0.6211
98,他们,e,1,0.4424
98,俺,i,1,0.6341
98,他的,e,0,0.5286
98,他的,e,1,0.3969
98,卑鄙,i,1,0.6279
98,他人,e,1,0.5581
98,我们,i,1,0.616
98,他们,e,1,0.6043
98,俺,i,1,0.535
98,冒失,i,1,0.555
98,俺,i,1,0.5827
98,自私,i,1,0.9004
98,执拗,i,1,0.5358
98,稳重,e,1,0.5669
98,他,e,1,0.6835
98,细腻,e,1,1.0839
98,猖狂,i,1,0.6336
98,傲慢,i,1,0.5418
98,其他,e,1,0.518
98,我,i,1,0.6173
98,认真,e,1,0.6169
98,他,e,1,1.1077
98,热情,e,1,0.7558
98,凶狠,i,1,0.5837
98,轻率,i,1,0.6569
98,消极,i,1,0.6044
98,勇敢,e,1,0.6021
98,鲁莽,i,1,0.6564
98,诚恳,e,1,0.5846
98,活泼,e,1,0.5405
98,我的,i,0,0.4895
98,他人,e,1,0.5511
98,我的,i,1,0.6494
98,自卑,i,1,0.8508
98,其他,e,1,0.5362
98,自己,i,1,0.5628
98,公正,e,1,0.8748
98,散漫,i,1,0.5458
98,我,i,0,0.8022
98,野蛮,i,1,1.1338
98,暴躁,i,1,0.5545
98,我的,i,1,0.5388
98,他人,e,1,0.5697
98,优秀,e,1,0.6176
98,我,i,1,0.5619
98,我们,i,1,0.4672
98,正直,e,1,0.9055
98,崇高,e,1,1.116
98,我,i,1,0.9527
98,俺,i,1,0.6069
98,自己,i,1,0.5193
98,刻薄,i,1,0.8118
98,固执,i,1,0.7889
98,他们,e,1,0.9133
98,自己,i,1,0.7265
98,我们,i,1,0.5411
98,自己,i,1,0.567
98,他的,e,1,1.3911
98,他的,e,1,0.4227
98,下贱,i,1,0.6001
98,他,e,1,0.7009
98,聪明,e,1,0.5701
98,他们,e,1,1.1447
98,勤奋,e,1,0.5734
98,愚蠢,i,1,0.7208
98,我们,i,0,0.5868
98,机智,e,1,0.9
98,诚实,e,1,0.5769
98,他,e,1,0.656
98,卑鄙,i,1,0.6182
98,我,i,1,1.0854
98,俺,i,1,0.6518
98,消极,i,0,0.7855
98,朴实,e,1,0.7842
98,其他,e,1,0.6119
98,崇高,e,1,0.568
98,虚伪,i,1,0.6369
98,公正,e,1,0.6697
98,他人,e,1,0.5558
98,他的,e,1,0.8675
98,勇敢,e,1,0.5877
98,固执,i,1,0.718
98,野蛮,i,1,0.6237
98,自私,i,1,1.0463
98,自卑,i,1,0.5513
98,优秀,e,1,0.5374
98,凶狠,i,1,0.5384
98,俺,i,1,0.6064
98,自己,i,1,0.5167
98,我,i,1,0.5161
98,鲁莽,i,1,0.5608
98,我,i,1,0.6495
98,诚恳,e,1,1.2669
98,他们,e,1,0.5013
98,他人,e,1,0.8069
98,他,e,1,0.6955
98,傲慢,i,1,0.6028
98,活泼,e,1,0.6671
98,勤奋,e,1,0.4766
98,执拗,i,1,0.6571
98,自己,i,1,0.9699
98,俺,i,1,0.5503
98,我的,i,1,0.4911
98,乐观,e,0,0.7077
98,愚蠢,i,1,0.5686
98,轻率,i,1,0.5786
98,自己,i,1,0.6664
98,我的,i,1,0.5041
98,暴躁,i,1,0.5633
98,悲观,i,1,0.6408
98,冷静,e,0,0.6224
98,细腻,e,1,0.55
98,我的,i,1,0.5681
98,我们,i,1,0.6166
98,他的,e,1,0.5606
98,他们,e,1,0.4103
98,其他,e,1,0.4723
98,他,e,1,0.5568
98,机智,e,1,1.0024
98,自己,i,1,0.792
98,他人,e,1,0.6373
98,他们,e,1,1.3341
98,我们,i,1,0.5835
98,俺,i,1,0.5836
98,他的,e,1,0.568
98,热情,e,1,0.7496
98,他,e,1,1.1582
98,其他,e,1,1.3454
98,他的,e,1,1.0509
98,我们,i,1,0.5912
98,猖狂,i,1,0.6005
98,刻薄,i,1,0.5873
98,诚实,e,0,0.5123
98,他人,e,1,0.6594
98,稳重,e,1,0.5682
98,他们,e,1,0.5409
98,杰出,e,1,0.9338
98,他,e,1,0.9409
98,我的,i,1,0.6503
98,聪明,e,1,0.5105
98,下贱,i,1,0.5919
98,我,i,0,0.6893
98,无私,e,1,0.9708
98,散漫,i,1,0.6188
98,正直,e,1,1.0227
98,我们,i,1,1.1012
98,冒失,i,1,0.6242
98,其他,e,1,0.5937
98,认真,e,0,0.9013
