Words_t1,ans_t1,key_resp_t1.corr,key_resp_t1.rt,Words_t2,ans_t2,key_resp_t2.corr,key_resp_t2.rt,Subject,Category_t1,Category_t2
凶狠,i,1,0.7879,NA,NA,NA,NA,90,消极,NA
刻薄,i,1,0.6155,NA,NA,NA,NA,90,消极,NA
悲观,i,1,0.4445,NA,NA,NA,NA,90,消极,NA
其他,i,1,0.5727,NA,NA,NA,NA,90,他人,NA
冒失,i,1,0.3791,NA,NA,NA,NA,90,消极,NA
杰出,e,1,0.4408,NA,NA,NA,NA,90,积极,NA
自己,e,1,0.54,NA,NA,NA,NA,90,自我,NA
他的,i,0,NA,NA,NA,NA,NA,90,他人,NA
自卑,i,1,0.8001,NA,NA,NA,NA,90,消极,NA
我们,e,1,0.4983,NA,NA,NA,NA,90,自我,NA
勤奋,e,1,0.5886,NA,NA,NA,NA,90,积极,NA
乐观,e,1,0.6225,NA,NA,NA,NA,90,积极,NA
诚实,e,1,0.4209,NA,NA,NA,NA,90,积极,NA
朴实,e,1,0.4393,NA,NA,NA,NA,90,积极,NA
我们,e,1,0.3661,NA,NA,NA,NA,90,自我,NA
我,e,1,0.3654,NA,NA,NA,NA,90,自我,NA
俺,e,1,0.5104,NA,NA,NA,NA,90,自我,NA
其他,i,1,0.4383,NA,NA,NA,NA,90,他人,NA
我,e,1,0.4273,NA,NA,NA,NA,90,自我,NA
他人,i,0,0.3988,NA,NA,NA,NA,90,他人,NA
自己,e,1,0.4902,NA,NA,NA,NA,90,自我,NA
他的,i,1,0.3861,NA,NA,NA,NA,90,他人,NA
消极,i,1,0.6229,NA,NA,NA,NA,90,消极,NA
自己,e,1,0.4782,NA,NA,NA,NA,90,自我,NA
他人,i,1,0.5502,NA,NA,NA,NA,90,他人,NA
细腻,e,1,0.5283,NA,NA,NA,NA,90,积极,NA
活泼,e,1,0.4613,NA,NA,NA,NA,90,积极,NA
热情,e,1,0.4021,NA,NA,NA,NA,90,积极,NA
他的,i,1,0.5369,NA,NA,NA,NA,90,他人,NA
执拗,i,1,0.6924,NA,NA,NA,NA,90,消极,NA
优秀,e,1,0.4925,NA,NA,NA,NA,90,积极,NA
他,i,1,0.4097,NA,NA,NA,NA,90,他人,NA
我,e,1,0.366,NA,NA,NA,NA,90,自我,NA
他们,i,1,0.5348,NA,NA,NA,NA,90,他人,NA
机智,e,1,0.5015,NA,NA,NA,NA,90,积极,NA
其他,i,1,0.5054,NA,NA,NA,NA,90,他人,NA
暴躁,i,1,0.9324,NA,NA,NA,NA,90,消极,NA
我们,e,1,0.5916,NA,NA,NA,NA,90,自我,NA
俺,e,1,0.5315,NA,NA,NA,NA,90,自我,NA
我的,e,1,0.3942,NA,NA,NA,NA,90,自我,NA
