Subject,Words_t1,ans_t1,key_resp_t1_corr,key_resp_t1_rt
82,活泼,e,1,0.7509
82,朴实,e,1,0.5841
82,俺,e,1,0.5037
82,他,i,1,0.5835
82,诚实,e,1,0.5182
82,他人,i,1,0.6849
82,他的,i,1,0.55
82,其他,i,1,0.5009
82,认真,e,1,0.4511
82,我的,e,1,0.4507
82,勇敢,e,1,0.5236
82,我,e,1,0.484
82,自己,e,1,0.4503
82,轻率,i,1,0.5004
82,我的,e,1,0.5069
82,散漫,i,1,0.6175
82,自卑,i,1,0.5166
82,他们,i,1,0.4499
82,热情,e,1,0.5678
82,其他,i,1,0.5355
82,聪明,e,1,0.584
82,下贱,i,1,0.5537
82,其他,i,1,0.4842
82,他的,i,1,0.4553
82,傲慢,i,1,0.5853
82,他,i,1,0.4708
82,俺,e,1,0.6012
82,细腻,e,1,0.6023
82,鲁莽,i,1,0.5871
82,其他,i,1,0.5844
82,杰出,e,1,0.6366
82,乐观,e,1,0.5513
82,无私,e,0,0.5846
82,他人,i,1,0.717
82,固执,i,1,0.6507
82,猖狂,i,1,0.5337
82,凶狠,i,1,0.4839
82,冷静,e,1,0.7342
82,稳重,e,1,0.5711
82,愚蠢,i,1,0.6176
82,冒失,i,1,0.6006
82,诚恳,e,1,0.552
82,虚伪,i,1,0.5512
82,他的,i,1,0.7844
82,我们,e,1,0.604
82,俺,e,1,0.5177
82,我们,e,1,0.4339
82,自私,i,1,0.5501
82,我,e,1,0.5342
82,崇高,e,1,0.5174
82,他们,i,1,1.0032
82,消极,i,1,0.5333
82,自己,e,1,0.7166
82,刻薄,i,1,0.734
82,优秀,e,1,0.5677
82,他人,i,1,0.9503
82,勤奋,e,1,0.5532
82,卑鄙,i,1,0.7344
82,暴躁,i,1,0.5847
82,机智,e,1,0.5688
82,我们,e,1,0.4848
82,他人,i,1,0.8336
82,悲观,i,1,0.6884
82,他们,i,1,0.5998
82,我,e,1,0.9009
82,我的,e,1,0.7182
82,俺,e,1,1.0015
82,公正,e,1,0.6183
82,他,i,1,0.6668
82,我们,e,1,0.6711
82,我,e,1,0.7175
82,正直,e,1,0.6345
82,他的,i,1,1.3524
82,我的,e,1,0.5175
82,执拗,i,1,0.6057
82,他,i,1,1.1072
