"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"固执","i",0,NA,"","",NA,NA,11
"执拗","i",1,0.6927,"","",NA,NA,11
"愚蠢","i",1,1.2129,"","",NA,NA,11
"我","e",1,1.1433,"","",NA,NA,11
"自卑","i",1,0.808,"","",NA,NA,11
"凶狠","i",1,0.7298,"","",NA,NA,11
"杰出","e",0,1.0349,"","",NA,NA,11
"虚伪","i",1,0.7215,"","",NA,NA,11
"下贱","i",1,0.6276,"","",NA,NA,11
"俺","e",1,0.5111,"","",NA,NA,11
"无私","e",1,0.784,"","",NA,NA,11
"我的","e",1,0.4521,"","",NA,NA,11
"公正","e",1,0.5866,"","",NA,NA,11
"他的","i",1,0.5811,"","",NA,NA,11
"我","e",1,0.5932,"","",NA,NA,11
"他们","i",1,0.6744,"","",NA,NA,11
"冒失","i",1,0.8146,"","",NA,NA,11
"他人","i",1,0.554,"","",NA,NA,11
"我的","e",1,0.5737,"","",NA,NA,11
"猖狂","i",1,0.5174,"","",NA,NA,11
"他","i",1,0.8368,"","",NA,NA,11
"我们","e",1,0.8015,"","",NA,NA,11
"自己","e",1,0.5899,"","",NA,NA,11
"朴实","e",1,0.6831,"","",NA,NA,11
"卑鄙","i",1,0.9291,"","",NA,NA,11
"俺","e",0,NA,"","",NA,NA,11
"其他","i",1,0.6106,"","",NA,NA,11
"傲慢","i",1,0.9112,"","",NA,NA,11
"他人","i",1,0.769,"","",NA,NA,11
"俺","e",1,0.5768,"","",NA,NA,11
"他们","i",1,0.6853,"","",NA,NA,11
"悲观","i",0,0.7218,"","",NA,NA,11
"诚恳","e",1,0.6672,"","",NA,NA,11
"其他","i",1,0.6148,"","",NA,NA,11
"其他","i",1,0.6504,"","",NA,NA,11
"细腻","e",1,0.7886,"","",NA,NA,11
"自私","i",0,0.9713,"","",NA,NA,11
"稳重","e",1,0.7584,"","",NA,NA,11
"他人","i",1,0.6456,"","",NA,NA,11
"正直","e",1,0.6995,"","",NA,NA,11
"我的","e",1,0.8132,"","",NA,NA,11
"散漫","i",1,0.9946,"","",NA,NA,11
"自己","e",1,0.617,"","",NA,NA,11
"聪明","e",0,0.6419,"","",NA,NA,11
"消极","i",1,0.5979,"","",NA,NA,11
"他","i",1,0.6889,"","",NA,NA,11
"自己","e",1,0.7034,"","",NA,NA,11
"他的","i",1,1.065,"","",NA,NA,11
"我","e",1,0.6684,"","",NA,NA,11
"他","i",1,0.6089,"","",NA,NA,11
"轻率","i",0,0.7759,"","",NA,NA,11
"他们","i",1,0.6985,"","",NA,NA,11
"暴躁","i",1,0.7165,"","",NA,NA,11
"他们","i",1,0.9878,"","",NA,NA,11
"我","e",1,0.6699,"","",NA,NA,11
"刻薄","i",1,0.6225,"","",NA,NA,11
"优秀","e",1,0.6817,"","",NA,NA,11
"他人","i",1,0.7683,"","",NA,NA,11
"鲁莽","i",1,0.7082,"","",NA,NA,11
"活泼","e",1,0.6767,"","",NA,NA,11
"热情","e",1,0.8276,"","",NA,NA,11
"乐观","e",1,0.7069,"","",NA,NA,11
"诚实","e",1,0.8282,"","",NA,NA,11
"勇敢","e",1,0.879,"","",NA,NA,11
"其他","i",1,0.565,"","",NA,NA,11
"崇高","e",1,0.604,"","",NA,NA,11
"我们","e",1,0.6953,"","",NA,NA,11
"他的","i",1,0.5027,"","",NA,NA,11
"他的","i",1,1.0432,"","",NA,NA,11
"勤奋","e",1,0.7857,"","",NA,NA,11
"俺","e",0,1.2223,"","",NA,NA,11
"我们","e",1,0.5841,"","",NA,NA,11
"他","i",0,0.5265,"","",NA,NA,11
"认真","e",1,0.6292,"","",NA,NA,11
"野蛮","i",1,0.922,"","",NA,NA,11
"自己","e",1,0.6454,"","",NA,NA,11
"我的","e",1,0.5598,"","",NA,NA,11
"机智","e",1,0.5455,"","",NA,NA,11
"我们","e",1,0.4884,"","",NA,NA,11
"冷静","e",1,0.5752,"","",NA,NA,11
"其他","i",1,0.6854,"","",NA,NA,11
"我们","e",1,0.7403,"","",NA,NA,11
"自己","e",1,0.7202,"","",NA,NA,11
"热情","e",1,0.5941,"","",NA,NA,11
"勤奋","e",1,0.7202,"","",NA,NA,11
"执拗","i",1,0.6793,"","",NA,NA,11
"我的","e",1,0.5525,"","",NA,NA,11
"自卑","i",1,0.9377,"","",NA,NA,11
"冷静","e",1,0.6419,"","",NA,NA,11
"他的","i",1,0.6932,"","",NA,NA,11
"我的","e",1,0.5285,"","",NA,NA,11
"我的","e",1,0.4324,"","",NA,NA,11
"其他","i",1,0.562,"","",NA,NA,11
"野蛮","i",0,0.9675,"","",NA,NA,11
"诚恳","e",1,0.5518,"","",NA,NA,11
"他人","i",1,0.6579,"","",NA,NA,11
"我们","e",1,0.5382,"","",NA,NA,11
"轻率","i",1,0.6783,"","",NA,NA,11
"公正","e",1,0.6673,"","",NA,NA,11
"他的","i",1,0.6032,"","",NA,NA,11
"崇高","e",1,0.6852,"","",NA,NA,11
"其他","i",1,0.6173,"","",NA,NA,11
"傲慢","i",1,0.9175,"","",NA,NA,11
"卑鄙","i",1,0.6671,"","",NA,NA,11
"诚实","e",1,0.6468,"","",NA,NA,11
"他的","i",1,0.8071,"","",NA,NA,11
"优秀","e",1,0.8023,"","",NA,NA,11
"细腻","e",1,0.5839,"","",NA,NA,11
"自己","e",1,0.6253,"","",NA,NA,11
"乐观","e",1,0.666,"","",NA,NA,11
"俺","e",1,0.6035,"","",NA,NA,11
"我们","e",1,0.4406,"","",NA,NA,11
"消极","i",0,0.5173,"","",NA,NA,11
"我","e",1,0.555,"","",NA,NA,11
"俺","e",1,0.5534,"","",NA,NA,11
"他","i",1,0.7336,"","",NA,NA,11
"自己","e",1,0.6212,"","",NA,NA,11
"他","i",1,1.1915,"","",NA,NA,11
"暴躁","i",1,0.5776,"","",NA,NA,11
"悲观","i",1,0.5678,"","",NA,NA,11
"认真","e",1,0.6578,"","",NA,NA,11
"朴实","e",1,0.5532,"","",NA,NA,11
"我","e",0,0.5578,"","",NA,NA,11
"鲁莽","i",1,0.7178,"","",NA,NA,11
"稳重","e",1,0.577,"","",NA,NA,11
"他人","i",1,0.5772,"","",NA,NA,11
"我的","e",1,0.5501,"","",NA,NA,11
"虚伪","i",1,0.6786,"","",NA,NA,11
"猖狂","i",1,0.5903,"","",NA,NA,11
"固执","i",1,0.6723,"","",NA,NA,11
"其他","i",1,0.8874,"","",NA,NA,11
"凶狠","i",1,0.5525,"","",NA,NA,11
"愚蠢","i",1,0.6385,"","",NA,NA,11
"我","e",1,0.584,"","",NA,NA,11
"散漫","i",1,0.5849,"","",NA,NA,11
"他们","i",1,1.0366,"","",NA,NA,11
"自私","i",1,0.9071,"","",NA,NA,11
"聪明","e",0,0.631,"","",NA,NA,11
"我","e",1,0.5761,"","",NA,NA,11
"俺","e",1,0.7294,"","",NA,NA,11
"他","i",1,0.6674,"","",NA,NA,11
"他","i",1,1.0104,"","",NA,NA,11
"他人","i",1,0.7839,"","",NA,NA,11
"刻薄","i",1,0.9183,"","",NA,NA,11
"冒失","i",1,1.184,"","",NA,NA,11
"杰出","e",1,0.7551,"","",NA,NA,11
"俺","e",1,0.7837,"","",NA,NA,11
"下贱","i",1,0.7671,"","",NA,NA,11
"他们","i",1,0.8012,"","",NA,NA,11
"勇敢","e",1,0.5339,"","",NA,NA,11
"正直","e",1,0.533,"","",NA,NA,11
"自己","e",1,0.5559,"","",NA,NA,11
"活泼","e",1,0.5559,"","",NA,NA,11
"他们","i",1,0.6672,"","",NA,NA,11
"他们","i",1,0.7347,"","",NA,NA,11
"我们","e",1,0.9851,"","",NA,NA,11
"无私","e",1,0.6691,"","",NA,NA,11
"机智","e",1,0.7529,"","",NA,NA,11
"他人","i",1,0.5662,"","",NA,NA,11
"他的","i",1,0.6233,"","",NA,NA,11
"他","i",1,0.4532,"","",NA,NA,11
"乐观","e",1,0.6338,"","",NA,NA,11
"卑鄙","i",1,0.6964,"","",NA,NA,11
"愚蠢","i",1,0.5395,"","",NA,NA,11
"他的","i",1,0.9174,"","",NA,NA,11
"消极","i",1,0.5034,"","",NA,NA,11
"其他","i",1,0.5845,"","",NA,NA,11
"我们","e",1,0.5682,"","",NA,NA,11
"他们","i",0,0.5196,"","",NA,NA,11
"公正","e",1,0.7925,"","",NA,NA,11
"执拗","i",1,0.6038,"","",NA,NA,11
"我","e",1,0.5528,"","",NA,NA,11
"活泼","e",1,0.5224,"","",NA,NA,11
"他人","i",1,0.5848,"","",NA,NA,11
"我","e",1,0.5546,"","",NA,NA,11
"他们","i",1,0.7679,"","",NA,NA,11
"我的","e",1,0.5786,"","",NA,NA,11
"傲慢","i",1,1.083,"","",NA,NA,11
"勇敢","e",1,0.6223,"","",NA,NA,11
"无私","e",1,0.6673,"","",NA,NA,11
"勤奋","e",1,0.651,"","",NA,NA,11
"自己","e",1,0.6005,"","",NA,NA,11
"野蛮","i",1,0.6922,"","",NA,NA,11
"认真","e",1,0.6845,"","",NA,NA,11
"稳重","e",1,0.6745,"","",NA,NA,11
"冒失","i",1,0.8179,"","",NA,NA,11
"我们","e",1,0.5843,"","",NA,NA,11
"诚恳","e",1,0.867,"","",NA,NA,11
"俺","e",1,0.6016,"","",NA,NA,11
"他人","i",1,0.901,"","",NA,NA,11
"他的","i",1,1.086,"","",NA,NA,11
"崇高","e",1,0.6049,"","",NA,NA,11
"聪明","e",1,0.8896,"","",NA,NA,11
"其他","i",1,0.6863,"","",NA,NA,11
"朴实","e",1,0.7521,"","",NA,NA,11
"冷静","e",1,0.8005,"","",NA,NA,11
"自私","i",0,0.7017,"","",NA,NA,11
"杰出","e",1,0.7168,"","",NA,NA,11
"我","e",1,0.5168,"","",NA,NA,11
"猖狂","i",1,0.5565,"","",NA,NA,11
"其他","i",1,0.6848,"","",NA,NA,11
"悲观","i",1,1.2033,"","",NA,NA,11
"我的","e",1,0.5502,"","",NA,NA,11
"他们","i",1,1.1674,"","",NA,NA,11
"机智","e",1,0.6296,"","",NA,NA,11
"他的","i",1,0.6845,"","",NA,NA,11
"散漫","i",1,0.5539,"","",NA,NA,11
"其他","i",1,0.617,"","",NA,NA,11
"他人","i",1,0.5289,"","",NA,NA,11
"下贱","i",1,1.1998,"","",NA,NA,11
"俺","e",1,0.9666,"","",NA,NA,11
"虚伪","i",1,0.7242,"","",NA,NA,11
"轻率","i",1,0.6179,"","",NA,NA,11
"正直","e",1,0.5367,"","",NA,NA,11
"他们","i",1,0.7333,"","",NA,NA,11
"他的","i",1,0.6173,"","",NA,NA,11
