Words_t1,ans_t1,key_resp_t1.corr,key_resp_t1.rt,Words_t2,ans_t2,key_resp_t2.corr,key_resp_t2.rt,Subject,Category_t1,Category_t2
NA,NA,NA,NA,他人,e,1,0.4337,33,NA,他人
NA,NA,NA,NA,细腻,e,1,0.7257,33,NA,积极
NA,NA,NA,NA,他,e,1,0.5097,33,NA,他人
NA,NA,NA,NA,勇敢,e,1,0.6167,33,NA,积极
NA,NA,NA,NA,我,i,1,0.8096,33,NA,自我
NA,NA,NA,NA,散漫,i,1,0.9678,33,NA,消极
NA,NA,NA,NA,消极,i,1,0.4668,33,NA,消极
NA,NA,NA,NA,自私,i,1,0.9229,33,NA,消极
NA,NA,NA,NA,自己,i,1,0.6668,33,NA,自我
NA,NA,NA,NA,悲观,i,1,0.5371,33,NA,消极
NA,NA,NA,NA,他们,e,1,0.5935,33,NA,他人
NA,NA,NA,NA,他的,e,1,0.5833,33,NA,他人
NA,NA,NA,NA,其他,e,1,0.7517,33,NA,他人
NA,NA,NA,NA,刻薄,i,1,0.8335,33,NA,消极
NA,NA,NA,NA,我,i,1,0.7263,33,NA,自我
NA,NA,NA,NA,愚蠢,i,1,0.6703,33,NA,消极
NA,NA,NA,NA,聪明,e,1,0.7715,33,NA,积极
NA,NA,NA,NA,活泼,e,1,0.8427,33,NA,积极
NA,NA,NA,NA,优秀,e,1,0.8664,33,NA,积极
NA,NA,NA,NA,猖狂,i,1,0.634,33,NA,消极
NA,NA,NA,NA,其他,e,1,0.6011,33,NA,他人
NA,NA,NA,NA,认真,e,1,0.4832,33,NA,积极
NA,NA,NA,NA,其他,e,1,0.5858,33,NA,他人
NA,NA,NA,NA,诚恳,e,1,0.6015,33,NA,积极
NA,NA,NA,NA,俺,i,1,0.689,33,NA,自我
NA,NA,NA,NA,他们,e,1,0.5723,33,NA,他人
