Subject,Words_t1,ans_t1,key_resp_t1_corr,key_resp_t1_rt
94,暴躁,i,1,0.648
94,俺,e,1,0.9866
94,我们,e,1,0.5733
94,我,e,1,0.5148
94,活泼,e,1,0.6665
94,聪明,e,1,0.5467
94,认真,e,1,0.5346
94,他的,i,1,0.478
94,俺,e,1,0.6681
94,下贱,i,1,0.7844
94,自己,e,1,0.6653
94,野蛮,i,1,0.7133
94,傲慢,i,1,0.5679
94,诚恳,e,1,0.789
94,我的,e,1,0.5383
94,正直,e,1,0.6057
94,冷静,e,1,0.6354
94,我们,e,1,0.5157
94,他,i,1,0.6115
94,他的,i,1,0.4951
94,诚实,e,1,0.5812
94,我们,e,1,0.5636
94,他,i,1,0.581
94,我,e,1,0.7528
94,俺,e,1,0.611
94,崇高,e,1,0.5453
94,他人,i,1,0.5621
94,凶狠,i,1,0.5612
94,乐观,e,1,0.8013
94,他人,i,1,0.6514
94,我,e,1,0.5005
94,他们,i,1,0.6125
94,他们,i,1,0.5832
94,其他,i,1,0.5712
94,自己,e,1,0.5866
94,我们,e,1,0.4622
94,他的,i,0,0.5159
94,他的,i,1,0.62
94,鲁莽,i,1,0.5737
94,虚伪,i,1,0.5381
94,固执,i,1,0.5785
94,其他,i,1,0.5648
94,热情,e,1,0.6165
94,轻率,i,1,0.6425
94,优秀,e,1,0.5966
94,其他,i,1,0.7369
94,猖狂,i,1,0.5511
94,散漫,i,1,0.6122
94,愚蠢,i,1,0.5453
94,刻薄,i,1,0.5173
94,俺,e,1,0.6183
94,公正,e,1,0.6302
94,我,e,1,0.5687
94,我的,e,1,0.587
94,其他,i,1,0.6324
94,卑鄙,i,1,0.5617
94,自己,e,1,0.6479
94,悲观,i,1,0.8233
94,机智,e,1,1.3215
94,执拗,i,1,0.5971
94,我的,e,1,0.6682
94,朴实,e,1,0.6449
94,杰出,e,1,0.6536
94,自卑,i,1,0.6155
94,他,i,1,0.652
94,消极,i,1,0.5001
94,细腻,e,1,0.8369
94,勤奋,e,1,0.5482
94,无私,e,1,0.6346
94,冒失,i,1,0.58
94,他们,i,1,0.5838
94,我的,e,1,0.54
94,他,i,1,0.5142
94,勇敢,e,1,0.6136
94,他人,i,1,0.6844
94,稳重,e,1,0.6279
94,自私,i,1,0.5611
94,他们,i,1,0.7299
94,自己,e,1,0.6339
94,他人,i,1,0.5623
94,朴实,e,1,0.7128
94,我,e,1,0.4955
94,刻薄,i,1,0.6123
94,热情,e,1,0.6649
94,自己,e,1,0.53
94,我的,e,1,0.4637
94,乐观,e,1,0.585
94,俺,e,1,0.5881
94,他,i,1,0.5687
94,我的,e,1,0.5976
94,卑鄙,i,1,0.6164
94,自己,e,1,0.7735
94,无私,e,1,0.5787
94,他,i,1,0.5172
94,他的,i,1,0.5304
94,认真,e,1,0.6447
94,他们,i,1,1.0283
94,勤奋,e,1,0.7008
94,野蛮,i,1,0.6027
94,散漫,i,1,0.5993
94,自己,e,1,0.6089
94,他的,i,1,0.6283
94,他,i,1,0.8472
94,他们,i,1,0.6006
94,我们,e,1,0.7643
94,猖狂,i,1,0.688
94,下贱,i,1,0.5696
94,其他,i,1,0.5954
94,俺,e,1,0.6903
94,他人,i,1,0.56
94,自私,i,1,1.117
94,暴躁,i,1,0.5634
94,他的,i,1,0.8485
94,公正,e,1,0.8509
94,冷静,e,1,0.6663
94,愚蠢,i,1,0.5479
94,我的,e,1,0.7843
94,我们,e,1,0.549
94,机智,e,1,0.5494
94,虚伪,i,1,0.5039
94,我的,e,1,0.7461
94,我,e,1,0.7344
94,我,e,1,0.4513
94,悲观,i,1,0.8013
94,杰出,e,1,0.8505
94,我们,e,1,0.5524
94,俺,e,1,0.6057
94,诚恳,e,1,0.5847
94,崇高,e,1,0.5016
94,俺,e,1,0.5014
94,我,e,1,0.4731
94,诚实,e,1,0.536
94,他的,i,1,0.8515
94,我们,e,1,0.6679
94,他们,i,1,0.7678
94,优秀,e,1,0.8188
94,固执,i,1,1.2014
94,自己,e,1,0.6224
94,细腻,e,1,0.7208
94,稳重,e,1,0.5517
94,凶狠,i,1,0.6013
94,消极,i,1,0.7347
94,其他,i,1,0.5679
94,其他,i,1,0.5668
94,勇敢,e,1,0.5902
94,他人,i,1,0.6563
94,自卑,i,1,0.5219
94,轻率,i,1,0.7598
94,他人,i,1,0.5006
94,他们,i,1,0.4418
94,活泼,e,1,0.667
94,他,i,1,0.6681
94,傲慢,i,1,0.5895
94,冒失,i,1,0.5013
94,鲁莽,i,1,0.4178
94,聪明,e,1,0.6568
94,他人,i,1,0.6179
94,执拗,i,1,0.5513
94,正直,e,1,0.6245
94,其他,i,1,0.5697
94,勤奋,e,1,0.7749
94,他人,i,1,0.539
94,自卑,i,1,0.5347
94,暴躁,i,1,0.5345
94,卑鄙,i,1,0.5344
94,热情,e,1,0.6012
94,细腻,e,1,0.6179
94,俺,e,1,0.6053
94,其他,i,1,0.5671
94,他,i,1,0.8372
94,其他,i,1,0.5575
94,其他,i,1,0.4351
94,他们,i,1,0.3891
94,我,e,1,0.5682
94,消极,i,1,0.5186
94,正直,e,1,0.6513
94,自私,i,1,0.9893
94,他的,i,1,0.4845
94,我们,e,1,0.5739
94,悲观,i,1,0.5696
94,我的,e,1,0.8494
94,轻率,i,1,0.5751
94,他,i,1,0.5872
94,我的,e,1,0.5907
94,自己,e,1,0.5698
94,自己,e,1,0.4549
94,他们,i,1,0.3999
94,诚恳,e,1,0.7709
94,我的,e,1,0.5683
94,野蛮,i,1,0.5699
94,散漫,i,1,0.5582
94,傲慢,i,1,0.5346
94,机智,e,1,0.6845
94,冒失,i,1,0.6084
94,他,i,0,0.5683
94,乐观,e,1,0.8337
94,他人,i,1,0.6398
94,崇高,e,1,0.6404
94,猖狂,i,1,0.5879
94,勇敢,e,1,0.7574
94,杰出,e,1,0.8422
94,无私,e,1,0.7179
94,自己,e,1,0.6347
94,认真,e,1,0.5849
94,我们,e,1,0.5353
94,下贱,i,1,0.5345
94,优秀,e,1,0.6176
94,其他,i,1,0.6206
94,他们,i,1,0.468
94,公正,e,1,0.6847
94,活泼,e,1,0.5022
94,刻薄,i,1,0.5567
94,他的,i,1,0.6839
94,鲁莽,i,1,0.4727
94,虚伪,i,1,0.5011
94,朴实,e,1,0.601
94,固执,i,1,0.69
