"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"俺","e",1,0.4896,"","",NA,NA,13
"他的","i",0,0.538,"","",NA,NA,13
"他们","i",1,0.5911,"","",NA,NA,13
"冷静","e",1,0.7313,"","",NA,NA,13
"正直","e",1,0.5325,"","",NA,NA,13
"卑鄙","i",1,0.6195,"","",NA,NA,13
"自己","e",1,0.5625,"","",NA,NA,13
"固执","i",1,0.7864,"","",NA,NA,13
"他人","i",1,0.5348,"","",NA,NA,13
"我","e",1,0.5538,"","",NA,NA,13
"冒失","i",1,0.6034,"","",NA,NA,13
"诚恳","e",1,0.5678,"","",NA,NA,13
"他","i",1,0.6729,"","",NA,NA,13
"乐观","e",1,0.6253,"","",NA,NA,13
"俺","e",1,0.4769,"","",NA,NA,13
"自卑","i",1,0.5525,"","",NA,NA,13
"优秀","e",1,0.5379,"","",NA,NA,13
"稳重","e",1,0.5439,"","",NA,NA,13
"我们","e",1,0.5686,"","",NA,NA,13
"诚实","e",1,0.4963,"","",NA,NA,13
"聪明","e",1,0.5517,"","",NA,NA,13
"下贱","i",1,0.6904,"","",NA,NA,13
"我们","e",1,0.5465,"","",NA,NA,13
"他的","i",1,0.4269,"","",NA,NA,13
"他人","i",1,0.4044,"","",NA,NA,13
"认真","e",1,0.4176,"","",NA,NA,13
"悲观","i",1,0.7345,"","",NA,NA,13
"我们","e",1,0.6182,"","",NA,NA,13
"他","i",1,0.5837,"","",NA,NA,13
"消极","i",1,0.4682,"","",NA,NA,13
"他的","i",1,0.596,"","",NA,NA,13
"刻薄","i",0,0.5352,"","",NA,NA,13
"愚蠢","i",1,0.6406,"","",NA,NA,13
"其他","i",1,0.5307,"","",NA,NA,13
"我","e",0,0.4278,"","",NA,NA,13
"公正","e",1,0.6012,"","",NA,NA,13
"他人","i",1,0.5908,"","",NA,NA,13
"他的","i",1,0.4416,"","",NA,NA,13
"杰出","e",1,0.618,"","",NA,NA,13
"野蛮","i",1,0.7372,"","",NA,NA,13
"自私","i",1,0.4852,"","",NA,NA,13
"朴实","e",1,0.7116,"","",NA,NA,13
"我的","e",1,0.6729,"","",NA,NA,13
"散漫","i",1,0.6852,"","",NA,NA,13
"勤奋","e",0,0.6374,"","",NA,NA,13
"无私","e",0,0.6039,"","",NA,NA,13
"鲁莽","i",1,0.7053,"","",NA,NA,13
"他们","i",1,0.5484,"","",NA,NA,13
"我的","e",1,0.5512,"","",NA,NA,13
"机智","e",1,0.6701,"","",NA,NA,13
"崇高","e",1,0.9259,"","",NA,NA,13
"他","i",1,0.5766,"","",NA,NA,13
"其他","i",1,0.479,"","",NA,NA,13
"暴躁","i",1,0.6797,"","",NA,NA,13
"其他","i",1,0.8356,"","",NA,NA,13
"我的","e",1,0.601,"","",NA,NA,13
"我","e",1,0.5527,"","",NA,NA,13
"活泼","e",1,0.8531,"","",NA,NA,13
"猖狂","i",1,0.8059,"","",NA,NA,13
"他们","i",1,0.6638,"","",NA,NA,13
"轻率","i",1,0.5029,"","",NA,NA,13
"执拗","i",1,0.5371,"","",NA,NA,13
"热情","e",1,0.8267,"","",NA,NA,13
"其他","i",1,0.669,"","",NA,NA,13
"凶狠","i",1,0.6142,"","",NA,NA,13
"我的","e",1,0.5879,"","",NA,NA,13
"自己","e",1,0.8139,"","",NA,NA,13
"俺","e",1,0.5688,"","",NA,NA,13
"自己","e",1,0.4512,"","",NA,NA,13
"勇敢","e",1,0.5272,"","",NA,NA,13
"他们","i",1,0.924,"","",NA,NA,13
"我","e",1,0.6891,"","",NA,NA,13
