Words_t1,ans_t1,key_resp_t1.corr,key_resp_t1.rt,Words_t2,ans_t2,key_resp_t2.corr,key_resp_t2.rt,Subject,Category_t1,Category_t2
俺,e,1,0.6007,NA,NA,NA,NA,78,自我,NA
刻薄,i,1,0.5525,NA,NA,NA,NA,78,消极,NA
勤奋,e,1,0.737,NA,NA,NA,NA,78,积极,NA
卑鄙,i,1,0.4269,NA,NA,NA,NA,78,消极,NA
冷静,e,1,0.5553,NA,NA,NA,NA,78,积极,NA
正直,e,1,0.4988,NA,NA,NA,NA,78,积极,NA
勇敢,e,1,0.4177,NA,NA,NA,NA,78,积极,NA
下贱,i,1,0.4699,NA,NA,NA,NA,78,消极,NA
他的,i,1,0.559,NA,NA,NA,NA,78,他人,NA
他,i,1,0.4456,NA,NA,NA,NA,78,他人,NA
消极,i,1,0.5143,NA,NA,NA,NA,78,消极,NA
我,e,1,0.4763,NA,NA,NA,NA,78,自我,NA
傲慢,i,1,0.697,NA,NA,NA,NA,78,消极,NA
他的,i,1,0.5525,NA,NA,NA,NA,78,他人,NA
自己,e,1,0.5734,NA,NA,NA,NA,78,自我,NA
他人,i,1,0.5175,NA,NA,NA,NA,78,他人,NA
乐观,e,1,0.5369,NA,NA,NA,NA,78,积极,NA
其他,i,1,0.5,NA,NA,NA,NA,78,他人,NA
优秀,e,1,0.521,NA,NA,NA,NA,78,积极,NA
活泼,e,1,0.4859,NA,NA,NA,NA,78,积极,NA
热情,e,1,0.6254,NA,NA,NA,NA,78,积极,NA
我们,e,1,0.5984,NA,NA,NA,NA,78,自我,NA
杰出,e,1,0.4818,NA,NA,NA,NA,78,积极,NA
我的,e,1,0.4833,NA,NA,NA,NA,78,自我,NA
无私,e,1,0.588,NA,NA,NA,NA,78,积极,NA
俺,e,1,0.6965,NA,NA,NA,NA,78,自我,NA
朴实,e,1,0.5357,NA,NA,NA,NA,78,积极,NA
我的,e,1,0.4108,NA,NA,NA,NA,78,自我,NA
俺,e,1,0.468,NA,NA,NA,NA,78,自我,NA
他人,i,1,0.5021,NA,NA,NA,NA,78,他人,NA
稳重,e,1,0.5519,NA,NA,NA,NA,78,积极,NA
崇高,e,1,0.4014,NA,NA,NA,NA,78,积极,NA
自私,i,1,0.768,NA,NA,NA,NA,78,消极,NA
机智,e,1,0.5192,NA,NA,NA,NA,78,积极,NA
自己,e,1,0.5027,NA,NA,NA,NA,78,自我,NA
他们,i,1,0.7205,NA,NA,NA,NA,78,他人,NA
我们,e,1,0.4992,NA,NA,NA,NA,78,自我,NA
自卑,i,1,0.73,NA,NA,NA,NA,78,消极,NA
他,i,1,0.5143,NA,NA,NA,NA,78,他人,NA
其他,i,1,0.4829,NA,NA,NA,NA,78,他人,NA
猖狂,i,1,0.6425,NA,NA,NA,NA,78,消极,NA
其他,i,1,0.5689,NA,NA,NA,NA,78,他人,NA
他,i,1,0.6198,NA,NA,NA,NA,78,他人,NA
他,i,1,0.4055,NA,NA,NA,NA,78,他人,NA
鲁莽,i,1,0.5995,NA,NA,NA,NA,78,消极,NA
我的,e,1,0.5099,NA,NA,NA,NA,78,自我,NA
野蛮,i,1,0.784,NA,NA,NA,NA,78,消极,NA
其他,i,1,0.4989,NA,NA,NA,NA,78,他人,NA
他的,i,1,0.4356,NA,NA,NA,NA,78,他人,NA
聪明,e,1,0.5705,NA,NA,NA,NA,78,积极,NA
我,e,1,0.4343,NA,NA,NA,NA,78,自我,NA
凶狠,i,1,0.5431,NA,NA,NA,NA,78,消极,NA
悲观,i,1,0.6306,NA,NA,NA,NA,78,消极,NA
俺,e,1,0.5178,NA,NA,NA,NA,78,自我,NA
诚恳,e,1,0.5944,NA,NA,NA,NA,78,积极,NA
轻率,i,1,0.9493,NA,NA,NA,NA,78,消极,NA
他们,i,1,0.5983,NA,NA,NA,NA,78,他人,NA
暴躁,i,1,0.4521,NA,NA,NA,NA,78,消极,NA
他人,i,1,0.459,NA,NA,NA,NA,78,他人,NA
认真,e,1,0.6698,NA,NA,NA,NA,78,积极,NA
我们,e,1,0.4415,NA,NA,NA,NA,78,自我,NA
自己,e,1,0.4518,NA,NA,NA,NA,78,自我,NA
散漫,i,1,0.5868,NA,NA,NA,NA,78,消极,NA
我们,e,1,0.5748,NA,NA,NA,NA,78,自我,NA
我,e,1,0.4739,NA,NA,NA,NA,78,自我,NA
细腻,e,1,0.6148,NA,NA,NA,NA,78,积极,NA
公正,e,1,0.5027,NA,NA,NA,NA,78,积极,NA
自己,e,1,0.5088,NA,NA,NA,NA,78,自我,NA
虚伪,i,1,0.501,NA,NA,NA,NA,78,消极,NA
执拗,i,1,0.6029,NA,NA,NA,NA,78,消极,NA
我的,e,0,0.4156,NA,NA,NA,NA,78,自我,NA
诚实,e,1,0.1175,NA,NA,NA,NA,78,积极,NA
他们,i,1,0.5179,NA,NA,NA,NA,78,他人,NA
冒失,i,1,0.6681,NA,NA,NA,NA,78,消极,NA
愚蠢,i,1,1.3863,NA,NA,NA,NA,78,消极,NA
我,e,1,0.5275,NA,NA,NA,NA,78,自我,NA
他们,i,1,0.5691,NA,NA,NA,NA,78,他人,NA
他的,i,1,0.4775,NA,NA,NA,NA,78,他人,NA
他人,i,1,0.4679,NA,NA,NA,NA,78,他人,NA
固执,i,0,0.5086,NA,NA,NA,NA,78,消极,NA
自己,e,1,0.4606,NA,NA,NA,NA,78,自我,NA
我们,e,1,0.4598,NA,NA,NA,NA,78,自我,NA
聪明,e,1,0.6027,NA,NA,NA,NA,78,积极,NA
他的,i,1,0.4809,NA,NA,NA,NA,78,他人,NA
他人,i,1,0.4825,NA,NA,NA,NA,78,他人,NA
俺,e,0,0.49,NA,NA,NA,NA,78,自我,NA
自卑,i,1,0.5201,NA,NA,NA,NA,78,消极,NA
轻率,i,1,0.5156,NA,NA,NA,NA,78,消极,NA
冒失,i,1,0.544,NA,NA,NA,NA,78,消极,NA
暴躁,i,1,0.5295,NA,NA,NA,NA,78,消极,NA
诚恳,e,1,0.5942,NA,NA,NA,NA,78,积极,NA
他人,i,1,0.5298,NA,NA,NA,NA,78,他人,NA
乐观,e,1,0.6134,NA,NA,NA,NA,78,积极,NA
他,i,1,0.6851,NA,NA,NA,NA,78,他人,NA
公正,e,1,0.6171,NA,NA,NA,NA,78,积极,NA
认真,e,1,1.1431,NA,NA,NA,NA,78,积极,NA
他们,i,1,0.449,NA,NA,NA,NA,78,他人,NA
他们,i,1,0.4166,NA,NA,NA,NA,78,他人,NA
刻薄,i,0,0.5446,NA,NA,NA,NA,78,消极,NA
我的,e,1,0.4839,NA,NA,NA,NA,78,自我,NA
细腻,e,1,0.6681,NA,NA,NA,NA,78,积极,NA
卑鄙,i,1,0.5992,NA,NA,NA,NA,78,消极,NA
消极,i,1,0.45,NA,NA,NA,NA,78,消极,NA
诚实,e,1,0.487,NA,NA,NA,NA,78,积极,NA
他,i,1,0.5536,NA,NA,NA,NA,78,他人,NA
野蛮,i,1,0.5998,NA,NA,NA,NA,78,消极,NA
散漫,i,1,0.5948,NA,NA,NA,NA,78,消极,NA
我的,e,1,0.529,NA,NA,NA,NA,78,自我,NA
我,e,1,0.4174,NA,NA,NA,NA,78,自我,NA
优秀,e,1,0.5548,NA,NA,NA,NA,78,积极,NA
冷静,e,1,0.4977,NA,NA,NA,NA,78,积极,NA
我们,e,1,0.398,NA,NA,NA,NA,78,自我,NA
机智,e,1,0.6629,NA,NA,NA,NA,78,积极,NA
愚蠢,i,1,0.5138,NA,NA,NA,NA,78,消极,NA
他人,i,1,0.5201,NA,NA,NA,NA,78,他人,NA
他们,i,1,0.3704,NA,NA,NA,NA,78,他人,NA
自己,e,1,0.5029,NA,NA,NA,NA,78,自我,NA
俺,e,1,0.4949,NA,NA,NA,NA,78,自我,NA
我,e,1,0.4552,NA,NA,NA,NA,78,自我,NA
