Words_t1,ans_t1,key_resp_t1.corr,key_resp_t1.rt,Words_t2,ans_t2,key_resp_t2.corr,key_resp_t2.rt,Subject,Category_t1,Category_t2
他的,i,1,0.4782,NA,NA,NA,NA,48,他人,NA
他们,i,1,0.5504,NA,NA,NA,NA,48,他人,NA
轻率,i,1,0.6251,NA,NA,NA,NA,48,消极,NA
傲慢,i,1,0.5171,NA,NA,NA,NA,48,消极,NA
我们,e,1,0.4485,NA,NA,NA,NA,48,自我,NA
俺,e,1,0.4561,NA,NA,NA,NA,48,自我,NA
俺,e,1,0.4232,NA,NA,NA,NA,48,自我,NA
他人,i,1,0.4418,NA,NA,NA,NA,48,他人,NA
热情,e,1,0.4914,NA,NA,NA,NA,48,积极,NA
公正,e,1,0.5119,NA,NA,NA,NA,48,积极,NA
我们,e,1,0.445,NA,NA,NA,NA,48,自我,NA
鲁莽,i,1,0.3783,NA,NA,NA,NA,48,消极,NA
其他,i,1,0.5337,NA,NA,NA,NA,48,他人,NA
优秀,e,1,0.4274,NA,NA,NA,NA,48,积极,NA
自己,e,1,0.3793,NA,NA,NA,NA,48,自我,NA
自私,i,0,0.327,NA,NA,NA,NA,48,消极,NA
暴躁,i,1,0.5836,NA,NA,NA,NA,48,消极,NA
野蛮,i,1,0.489,NA,NA,NA,NA,48,消极,NA
正直,e,1,0.5269,NA,NA,NA,NA,48,积极,NA
我们,e,1,0.6334,NA,NA,NA,NA,48,自我,NA
他,i,1,0.5167,NA,NA,NA,NA,48,他人,NA
稳重,e,1,0.5014,NA,NA,NA,NA,48,积极,NA
愚蠢,i,1,0.4958,NA,NA,NA,NA,48,消极,NA
猖狂,i,1,0.4997,NA,NA,NA,NA,48,消极,NA
细腻,e,1,0.611,NA,NA,NA,NA,48,积极,NA
杰出,e,1,0.4554,NA,NA,NA,NA,48,积极,NA
他们,i,1,0.4953,NA,NA,NA,NA,48,他人,NA
活泼,e,1,0.4948,NA,NA,NA,NA,48,积极,NA
执拗,i,1,0.4724,NA,NA,NA,NA,48,消极,NA
下贱,i,1,0.4,NA,NA,NA,NA,48,消极,NA
其他,i,1,0.4555,NA,NA,NA,NA,48,他人,NA
他的,i,1,0.4111,NA,NA,NA,NA,48,他人,NA
自己,e,1,0.4226,NA,NA,NA,NA,48,自我,NA
我的,e,1,0.4503,NA,NA,NA,NA,48,自我,NA
我的,e,1,0.6169,NA,NA,NA,NA,48,自我,NA
俺,e,1,0.4391,NA,NA,NA,NA,48,自我,NA
自己,e,1,0.4498,NA,NA,NA,NA,48,自我,NA
冷静,e,1,0.5926,NA,NA,NA,NA,48,积极,NA
凶狠,i,1,0.4984,NA,NA,NA,NA,48,消极,NA
消极,i,1,0.5336,NA,NA,NA,NA,48,消极,NA
散漫,i,1,0.5543,NA,NA,NA,NA,48,消极,NA
他的,i,1,0.5133,NA,NA,NA,NA,48,他人,NA
冒失,i,1,0.5395,NA,NA,NA,NA,48,消极,NA
他,i,1,0.5481,NA,NA,NA,NA,48,他人,NA
诚实,e,1,0.5218,NA,NA,NA,NA,48,积极,NA
他们,i,1,0.4669,NA,NA,NA,NA,48,他人,NA
朴实,e,1,0.505,NA,NA,NA,NA,48,积极,NA
其他,i,1,0.4744,NA,NA,NA,NA,48,他人,NA
崇高,e,1,0.5043,NA,NA,NA,NA,48,积极,NA
我的,e,1,0.3446,NA,NA,NA,NA,48,自我,NA
聪明,e,1,0.4282,NA,NA,NA,NA,48,积极,NA
无私,e,1,0.6002,NA,NA,NA,NA,48,积极,NA
我,e,1,0.3912,NA,NA,NA,NA,48,自我,NA
诚恳,e,1,0.4886,NA,NA,NA,NA,48,积极,NA
悲观,i,1,0.5411,NA,NA,NA,NA,48,消极,NA
他的,i,1,0.4667,NA,NA,NA,NA,48,他人,NA
他人,i,1,0.4746,NA,NA,NA,NA,48,他人,NA
他人,i,1,0.4583,NA,NA,NA,NA,48,他人,NA
机智,e,1,0.4842,NA,NA,NA,NA,48,积极,NA
虚伪,i,1,0.5121,NA,NA,NA,NA,48,消极,NA
自己,e,1,0.7837,NA,NA,NA,NA,48,自我,NA
他们,i,1,0.4962,NA,NA,NA,NA,48,他人,NA
我,e,1,0.4058,NA,NA,NA,NA,48,自我,NA
他,i,1,0.4617,NA,NA,NA,NA,48,他人,NA
他,i,1,0.4803,NA,NA,NA,NA,48,他人,NA
固执,i,1,0.6797,NA,NA,NA,NA,48,消极,NA
他人,i,1,0.5335,NA,NA,NA,NA,48,他人,NA
我们,e,1,0.4178,NA,NA,NA,NA,48,自我,NA
我,e,1,0.3671,NA,NA,NA,NA,48,自我,NA
乐观,e,1,0.5856,NA,NA,NA,NA,48,积极,NA
我,e,1,0.4002,NA,NA,NA,NA,48,自我,NA
刻薄,i,1,0.6905,NA,NA,NA,NA,48,消极,NA
勤奋,e,1,0.4887,NA,NA,NA,NA,48,积极,NA
卑鄙,i,1,0.5009,NA,NA,NA,NA,48,消极,NA
自卑,i,1,0.7626,NA,NA,NA,NA,48,消极,NA
勇敢,e,1,0.5294,NA,NA,NA,NA,48,积极,NA
我的,e,1,0.379,NA,NA,NA,NA,48,自我,NA
俺,e,1,0.4351,NA,NA,NA,NA,48,自我,NA
认真,e,1,0.4837,NA,NA,NA,NA,48,积极,NA
其他,i,1,0.8568,NA,NA,NA,NA,48,他人,NA
崇高,e,1,0.5112,NA,NA,NA,NA,48,积极,NA
猖狂,i,1,0.4977,NA,NA,NA,NA,48,消极,NA
冒失,i,1,0.5979,NA,NA,NA,NA,48,消极,NA
我,e,1,0.3559,NA,NA,NA,NA,48,自我,NA
正直,e,1,0.3648,NA,NA,NA,NA,48,积极,NA
俺,e,1,0.3741,NA,NA,NA,NA,48,自我,NA
他人,i,1,0.4778,NA,NA,NA,NA,48,他人,NA
他,i,1,0.3721,NA,NA,NA,NA,48,他人,NA
诚实,e,1,0.4198,NA,NA,NA,NA,48,积极,NA
他们,i,0,0.3227,NA,NA,NA,NA,48,他人,NA
冷静,e,1,0.523,NA,NA,NA,NA,48,积极,NA
执拗,i,1,0.5133,NA,NA,NA,NA,48,消极,NA
公正,e,1,0.4684,NA,NA,NA,NA,48,积极,NA
自私,i,1,0.6691,NA,NA,NA,NA,48,消极,NA
乐观,e,1,0.434,NA,NA,NA,NA,48,积极,NA
傲慢,i,1,0.4571,NA,NA,NA,NA,48,消极,NA
诚恳,e,1,0.5718,NA,NA,NA,NA,48,积极,NA
散漫,i,1,0.4883,NA,NA,NA,NA,48,消极,NA
我的,e,1,0.3461,NA,NA,NA,NA,48,自我,NA
我们,e,1,0.3334,NA,NA,NA,NA,48,自我,NA
他人,i,1,0.4672,NA,NA,NA,NA,48,他人,NA
悲观,i,1,0.3893,NA,NA,NA,NA,48,消极,NA
朴实,e,1,0.4502,NA,NA,NA,NA,48,积极,NA
其他,i,1,0.4728,NA,NA,NA,NA,48,他人,NA
轻率,i,1,0.6734,NA,NA,NA,NA,48,消极,NA
愚蠢,i,1,0.4565,NA,NA,NA,NA,48,消极,NA
俺,e,1,0.5502,NA,NA,NA,NA,48,自我,NA
卑鄙,i,1,0.4231,NA,NA,NA,NA,48,消极,NA
他,i,1,0.4616,NA,NA,NA,NA,48,他人,NA
其他,i,1,0.4062,NA,NA,NA,NA,48,他人,NA
暴躁,i,1,0.3946,NA,NA,NA,NA,48,消极,NA
我的,e,1,0.4276,NA,NA,NA,NA,48,自我,NA
他们,i,1,0.4124,NA,NA,NA,NA,48,他人,NA
自己,e,0,0.4496,NA,NA,NA,NA,48,自我,NA
虚伪,i,1,0.4367,NA,NA,NA,NA,48,消极,NA
自己,e,1,0.3674,NA,NA,NA,NA,48,自我,NA
固执,i,1,0.4515,NA,NA,NA,NA,48,消极,NA
其他,i,1,0.4778,NA,NA,NA,NA,48,他人,NA
他的,i,1,0.4531,NA,NA,NA,NA,48,他人,NA
勇敢,e,1,0.5076,NA,NA,NA,NA,48,积极,NA
杰出,e,1,0.5335,NA,NA,NA,NA,48,积极,NA
我们,e,1,0.3905,NA,NA,NA,NA,48,自我,NA
无私,e,0,0.6914,NA,NA,NA,NA,48,积极,NA
他们,i,1,0.5788,NA,NA,NA,NA,48,他人,NA
凶狠,i,1,0.5191,NA,NA,NA,NA,48,消极,NA
他的,i,1,0.5835,NA,NA,NA,NA,48,他人,NA
野蛮,i,1,0.556,NA,NA,NA,NA,48,消极,NA
他的,i,1,0.4894,NA,NA,NA,NA,48,他人,NA
消极,i,1,0.4337,NA,NA,NA,NA,48,消极,NA
机智,e,1,0.5388,NA,NA,NA,NA,48,积极,NA
他们,i,1,0.4576,NA,NA,NA,NA,48,他人,NA
他人,i,1,0.5132,NA,NA,NA,NA,48,他人,NA
他,i,1,0.456,NA,NA,NA,NA,48,他人,NA
俺,e,1,0.5634,NA,NA,NA,NA,48,自我,NA
他,i,1,0.4585,NA,NA,NA,NA,48,他人,NA
其他,i,1,0.4239,NA,NA,NA,NA,48,他人,NA
聪明,e,1,0.5063,NA,NA,NA,NA,48,积极,NA
稳重,e,1,0.5357,NA,NA,NA,NA,48,积极,NA
勤奋,e,1,0.4532,NA,NA,NA,NA,48,积极,NA
认真,e,1,0.3946,NA,NA,NA,NA,48,积极,NA
热情,e,1,0.4668,NA,NA,NA,NA,48,积极,NA
自己,e,1,0.3781,NA,NA,NA,NA,48,自我,NA
我的,e,1,0.3324,NA,NA,NA,NA,48,自我,NA
他的,i,1,0.5169,NA,NA,NA,NA,48,他人,NA
自卑,i,1,0.5351,NA,NA,NA,NA,48,消极,NA
俺,e,1,0.4199,NA,NA,NA,NA,48,自我,NA
下贱,i,1,0.5027,NA,NA,NA,NA,48,消极,NA
活泼,e,1,0.5073,NA,NA,NA,NA,48,积极,NA
我,e,1,0.4367,NA,NA,NA,NA,48,自我,NA
刻薄,i,1,0.5284,NA,NA,NA,NA,48,消极,NA
我的,e,1,0.4171,NA,NA,NA,NA,48,自我,NA
他人,i,1,0.4399,NA,NA,NA,NA,48,他人,NA
鲁莽,i,1,0.5239,NA,NA,NA,NA,48,消极,NA
我,e,1,0.4139,NA,NA,NA,NA,48,自我,NA
我,e,1,0.3521,NA,NA,NA,NA,48,自我,NA
优秀,e,1,0.4283,NA,NA,NA,NA,48,积极,NA
自己,e,1,0.3509,NA,NA,NA,NA,48,自我,NA
我们,e,1,0.6726,NA,NA,NA,NA,48,自我,NA
我们,e,1,0.4171,NA,NA,NA,NA,48,自我,NA
细腻,e,0,0.4466,NA,NA,NA,NA,48,积极,NA
固执,i,1,0.5421,NA,NA,NA,NA,48,消极,NA
认真,e,1,0.4559,NA,NA,NA,NA,48,积极,NA
我,e,1,0.3671,NA,NA,NA,NA,48,自我,NA
其他,i,1,0.5331,NA,NA,NA,NA,48,他人,NA
刻薄,i,1,0.6114,NA,NA,NA,NA,48,消极,NA
消极,i,1,0.5335,NA,NA,NA,NA,48,消极,NA
我们,e,1,0.439,NA,NA,NA,NA,48,自我,NA
朴实,e,1,0.5548,NA,NA,NA,NA,48,积极,NA
冒失,i,1,0.5829,NA,NA,NA,NA,48,消极,NA
公正,e,1,0.4889,NA,NA,NA,NA,48,积极,NA
乐观,e,1,0.4722,NA,NA,NA,NA,48,积极,NA
他的,i,1,0.5169,NA,NA,NA,NA,48,他人,NA
愚蠢,i,1,0.5117,NA,NA,NA,NA,48,消极,NA
我,e,1,0.5159,NA,NA,NA,NA,48,自我,NA
轻率,i,1,0.6725,NA,NA,NA,NA,48,消极,NA
我,e,1,0.4393,NA,NA,NA,NA,48,自我,NA
悲观,i,1,0.4662,NA,NA,NA,NA,48,消极,NA
