"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"我的","e",1,0.5169,"","",NA,NA,36
"他","i",1,0.5281,"","",NA,NA,36
"热情","e",1,0.5331,"","",NA,NA,36
"虚伪","i",1,0.5491,"","",NA,NA,36
"我的","e",1,0.4537,"","",NA,NA,36
"我们","e",1,0.5,"","",NA,NA,36
"其他","i",1,0.5214,"","",NA,NA,36
"鲁莽","i",1,0.5588,"","",NA,NA,36
"他的","i",1,0.5401,"","",NA,NA,36
"他的","i",1,0.4505,"","",NA,NA,36
"他们","i",1,0.4501,"","",NA,NA,36
"他人","i",1,0.4878,"","",NA,NA,36
"暴躁","i",1,0.521,"","",NA,NA,36
"公正","e",1,0.5068,"","",NA,NA,36
"我","e",1,0.4668,"","",NA,NA,36
"他人","i",1,0.4673,"","",NA,NA,36
"我的","e",1,0.5198,"","",NA,NA,36
"勇敢","e",1,0.5708,"","",NA,NA,36
"他们","i",1,0.5084,"","",NA,NA,36
"固执","i",1,0.5849,"","",NA,NA,36
"自己","e",1,0.4497,"","",NA,NA,36
"轻率","i",1,0.568,"","",NA,NA,36
"悲观","i",1,0.8039,"","",NA,NA,36
"自己","e",1,0.5331,"","",NA,NA,36
"凶狠","i",1,0.8678,"","",NA,NA,36
"自己","e",1,0.4355,"","",NA,NA,36
"我","e",1,0.4694,"","",NA,NA,36
"野蛮","i",1,0.4833,"","",NA,NA,36
"散漫","i",1,0.5442,"","",NA,NA,36
"我们","e",1,0.4448,"","",NA,NA,36
"细腻","e",1,0.5553,"","",NA,NA,36
"愚蠢","i",1,0.52,"","",NA,NA,36
"自卑","i",1,0.5669,"","",NA,NA,36
"公正","e",1,0.4162,"","",NA,NA,36
"勤奋","e",1,0.3836,"","",NA,NA,36
"他们","i",1,0.5749,"","",NA,NA,36
"卑鄙","i",1,0.523,"","",NA,NA,36
"愚蠢","i",1,0.4914,"","",NA,NA,36
"猖狂","i",1,0.4849,"","",NA,NA,36
"其他","i",1,0.5524,"","",NA,NA,36
"我们","e",1,0.4531,"","",NA,NA,36
"无私","e",1,0.6902,"","",NA,NA,36
"我的","e",1,0.4335,"","",NA,NA,36
"他人","i",1,0.4933,"","",NA,NA,36
"勇敢","e",1,0.5372,"","",NA,NA,36
"自己","e",1,0.4733,"","",NA,NA,36
"我的","e",1,0.4337,"","",NA,NA,36
"野蛮","i",1,0.519,"","",NA,NA,36
"我的","e",1,0.4915,"","",NA,NA,36
"其他","i",1,0.5516,"","",NA,NA,36
"他的","i",0,0.5617,"","",NA,NA,36
"虚伪","i",1,0.766,"","",NA,NA,36
"固执","i",1,0.5172,"","",NA,NA,36
"他","i",1,0.6669,"","",NA,NA,36
"细腻","e",1,0.5459,"","",NA,NA,36
"崇高","e",1,0.5859,"","",NA,NA,36
"暴躁","i",1,0.6019,"","",NA,NA,36
"认真","e",1,0.4652,"","",NA,NA,36
"我们","e",1,0.6015,"","",NA,NA,36
"他们","i",1,0.9501,"","",NA,NA,36
"刻薄","i",1,0.5659,"","",NA,NA,36
"他人","i",1,0.5235,"","",NA,NA,36
"散漫","i",1,0.5502,"","",NA,NA,36
"自己","e",1,0.4852,"","",NA,NA,36
"我","e",1,0.4834,"","",NA,NA,36
"我","e",1,0.4893,"","",NA,NA,36
"鲁莽","i",1,0.4664,"","",NA,NA,36
"他人","i",1,0.7165,"","",NA,NA,36
"我们","e",1,0.4715,"","",NA,NA,36
"我的","e",1,0.4337,"","",NA,NA,36
"俺","e",1,0.557,"","",NA,NA,36
"诚恳","e",1,0.742,"","",NA,NA,36
"冷静","e",1,0.4227,"","",NA,NA,36
"他","i",1,0.4836,"","",NA,NA,36
"热情","e",1,0.5244,"","",NA,NA,36
"他们","i",1,0.495,"","",NA,NA,36
"机智","e",1,0.4403,"","",NA,NA,36
"悲观","i",1,0.7018,"","",NA,NA,36
"其他","i",1,0.5336,"","",NA,NA,36
"自己","e",1,0.5159,"","",NA,NA,36
"诚实","e",1,0.4828,"","",NA,NA,36
"傲慢","i",1,0.5385,"","",NA,NA,36
"其他","i",1,0.5394,"","",NA,NA,36
"他的","i",1,0.5167,"","",NA,NA,36
