Words_t1,ans_t1,key_resp_t1.corr,key_resp_t1.rt,Words_t2,ans_t2,key_resp_t2.corr,key_resp_t2.rt,Subject,Category_t1,Category_t2
我的,e,1,0.4615,NA,NA,NA,NA,44,自我,NA
悲观,i,1,0.5795,NA,NA,NA,NA,44,消极,NA
朴实,e,1,0.5987,NA,NA,NA,NA,44,积极,NA
傲慢,i,1,0.4845,NA,NA,NA,NA,44,消极,NA
机智,e,1,0.8145,NA,NA,NA,NA,44,积极,NA
我们,e,1,0.4848,NA,NA,NA,NA,44,自我,NA
执拗,i,0,0.4701,NA,NA,NA,NA,44,消极,NA
他,i,0,0.5502,NA,NA,NA,NA,44,他人,NA
卑鄙,i,1,0.6673,NA,NA,NA,NA,44,消极,NA
热情,e,1,0.5816,NA,NA,NA,NA,44,积极,NA
他的,i,1,0.5473,NA,NA,NA,NA,44,他人,NA
我们,e,1,0.7832,NA,NA,NA,NA,44,自我,NA
自己,e,1,0.4308,NA,NA,NA,NA,44,自我,NA
轻率,i,1,0.5008,NA,NA,NA,NA,44,消极,NA
俺,e,1,0.5655,NA,NA,NA,NA,44,自我,NA
愚蠢,i,1,0.5013,NA,NA,NA,NA,44,消极,NA
崇高,e,1,0.4645,NA,NA,NA,NA,44,积极,NA
认真,e,1,0.4848,NA,NA,NA,NA,44,积极,NA
鲁莽,i,1,0.4859,NA,NA,NA,NA,44,消极,NA
他的,i,0,0.4004,NA,NA,NA,NA,44,他人,NA
诚恳,e,1,0.5145,NA,NA,NA,NA,44,积极,NA
俺,e,1,0.4975,NA,NA,NA,NA,44,自我,NA
我,e,1,0.433,NA,NA,NA,NA,44,自我,NA
虚伪,i,1,0.5241,NA,NA,NA,NA,44,消极,NA
俺,e,1,0.4876,NA,NA,NA,NA,44,自我,NA
他人,i,1,0.5866,NA,NA,NA,NA,44,他人,NA
细腻,e,1,0.5005,NA,NA,NA,NA,44,积极,NA
俺,e,1,0.4497,NA,NA,NA,NA,44,自我,NA
他们,i,1,0.501,NA,NA,NA,NA,44,他人,NA
我的,e,1,0.3988,NA,NA,NA,NA,44,自我,NA
自己,e,1,0.4101,NA,NA,NA,NA,44,自我,NA
稳重,e,1,0.4944,NA,NA,NA,NA,44,积极,NA
我们,e,1,0.3848,NA,NA,NA,NA,44,自我,NA
我的,e,1,0.3795,NA,NA,NA,NA,44,自我,NA
他们,i,1,0.6403,NA,NA,NA,NA,44,他人,NA
自卑,i,1,0.6804,NA,NA,NA,NA,44,消极,NA
他,i,0,0.626,NA,NA,NA,NA,44,他人,NA
自私,i,0,0.4533,NA,NA,NA,NA,44,消极,NA
公正,e,1,0.4974,NA,NA,NA,NA,44,积极,NA
勇敢,e,1,0.7666,NA,NA,NA,NA,44,积极,NA
自己,e,1,0.4255,NA,NA,NA,NA,44,自我,NA
他们,i,1,0.5633,NA,NA,NA,NA,44,他人,NA
野蛮,i,0,0.4319,NA,NA,NA,NA,44,消极,NA
优秀,e,1,0.5035,NA,NA,NA,NA,44,积极,NA
聪明,e,1,0.7379,NA,NA,NA,NA,44,积极,NA
我的,e,1,0.4317,NA,NA,NA,NA,44,自我,NA
冒失,i,1,0.4667,NA,NA,NA,NA,44,消极,NA
我,e,1,0.4048,NA,NA,NA,NA,44,自我,NA
消极,i,1,0.471,NA,NA,NA,NA,44,消极,NA
自己,e,1,0.3714,NA,NA,NA,NA,44,自我,NA
下贱,i,1,0.4691,NA,NA,NA,NA,44,消极,NA
我们,e,1,0.4559,NA,NA,NA,NA,44,自我,NA
刻薄,i,1,0.7487,NA,NA,NA,NA,44,消极,NA
活泼,e,1,0.4642,NA,NA,NA,NA,44,积极,NA
他,i,1,0.4361,NA,NA,NA,NA,44,他人,NA
我,e,1,0.5138,NA,NA,NA,NA,44,自我,NA
其他,i,1,0.4344,NA,NA,NA,NA,44,他人,NA
杰出,e,1,0.4692,NA,NA,NA,NA,44,积极,NA
我,e,1,0.49,NA,NA,NA,NA,44,自我,NA
他,i,1,0.4991,NA,NA,NA,NA,44,他人,NA
暴躁,i,0,0.6849,NA,NA,NA,NA,44,消极,NA
他人,i,1,0.6709,NA,NA,NA,NA,44,他人,NA
无私,e,0,0.6663,NA,NA,NA,NA,44,积极,NA
其他,i,1,0.5175,NA,NA,NA,NA,44,他人,NA
诚实,e,1,0.4634,NA,NA,NA,NA,44,积极,NA
猖狂,i,1,0.6367,NA,NA,NA,NA,44,消极,NA
他的,i,1,0.6496,NA,NA,NA,NA,44,他人,NA
