"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"其他","i",1,0.667,"","",NA,NA,30
"其他","i",1,0.698,"","",NA,NA,30
"聪明","e",1,0.684,"","",NA,NA,30
"稳重","e",1,0.668,"","",NA,NA,30
"自私","i",1,0.653,"","",NA,NA,30
"热情","e",1,0.656,"","",NA,NA,30
"诚恳","e",1,0.561,"","",NA,NA,30
"勤奋","e",1,0.514,"","",NA,NA,30
"俺","e",1,0.776,"","",NA,NA,30
"我","e",1,0.482,"","",NA,NA,30
"他","i",1,0.753,"","",NA,NA,30
"他的","i",1,0.515,"","",NA,NA,30
"我们","e",1,0.554,"","",NA,NA,30
"他人","i",1,0.599,"","",NA,NA,30
"他的","i",1,0.548,"","",NA,NA,30
"我","e",1,0.482,"","",NA,NA,30
"鲁莽","i",1,0.784,"","",NA,NA,30
"我","e",1,0.786,"","",NA,NA,30
"愚蠢","i",1,0.694,"","",NA,NA,30
"凶狠","i",1,0.675,"","",NA,NA,30
"虚伪","i",1,0.604,"","",NA,NA,30
"其他","i",1,0.633,"","",NA,NA,30
"俺","e",1,0.569,"","",NA,NA,30
"暴躁","i",1,0.888,"","",NA,NA,30
"俺","e",1,0.635,"","",NA,NA,30
"他","i",1,0.595,"","",NA,NA,30
"他们","i",1,0.582,"","",NA,NA,30
"悲观","i",1,0.677,"","",NA,NA,30
"机智","e",1,0.72,"","",NA,NA,30
"卑鄙","i",1,0.692,"","",NA,NA,30
"他的","i",1,0.723,"","",NA,NA,30
"他们","i",1,0.849,"","",NA,NA,30
"我们","e",1,0.52,"","",NA,NA,30
"傲慢","i",1,0.703,"","",NA,NA,30
"其他","i",1,0.816,"","",NA,NA,30
"我的","e",1,0.777,"","",NA,NA,30
"自己","e",1,1.115,"","",NA,NA,30
"诚实","e",1,0.579,"","",NA,NA,30
"自卑","i",1,0.618,"","",NA,NA,30
"朴实","e",1,0.95,"","",NA,NA,30
"我的","e",1,0.549,"","",NA,NA,30
"他人","i",1,0.601,"","",NA,NA,30
"我的","e",1,0.703,"","",NA,NA,30
"崇高","e",1,0.633,"","",NA,NA,30
"冒失","i",1,0.718,"","",NA,NA,30
"他们","i",1,0.764,"","",NA,NA,30
"杰出","e",1,0.584,"","",NA,NA,30
"公正","e",1,0.557,"","",NA,NA,30
"我们","e",1,0.584,"","",NA,NA,30
"消极","i",1,0.52,"","",NA,NA,30
"他","i",1,0.595,"","",NA,NA,30
"他人","i",1,0.649,"","",NA,NA,30
"我","e",1,0.516,"","",NA,NA,30
"正直","e",1,0.649,"","",NA,NA,30
"冷静","e",1,0.819,"","",NA,NA,30
"下贱","i",1,0.532,"","",NA,NA,30
"自己","e",1,0.701,"","",NA,NA,30
"优秀","e",1,0.615,"","",NA,NA,30
"他的","i",1,0.748,"","",NA,NA,30
"俺","e",1,0.574,"","",NA,NA,30
"野蛮","i",1,0.664,"","",NA,NA,30
"乐观","e",1,0.851,"","",NA,NA,30
"我们","e",1,0.483,"","",NA,NA,30
"自己","e",1,0.465,"","",NA,NA,30
"自己","e",1,0.502,"","",NA,NA,30
"活泼","e",1,0.715,"","",NA,NA,30
"轻率","i",1,0.699,"","",NA,NA,30
"固执","i",1,0.69,"","",NA,NA,30
"细腻","e",1,0.747,"","",NA,NA,30
"刻薄","i",1,0.554,"","",NA,NA,30
"勇敢","e",1,0.621,"","",NA,NA,30
"他们","i",1,0.762,"","",NA,NA,30
"他","i",1,0.456,"","",NA,NA,30
"认真","e",1,0.598,"","",NA,NA,30
"猖狂","i",1,0.62,"","",NA,NA,30
"他人","i",1,0.696,"","",NA,NA,30
"散漫","i",1,0.649,"","",NA,NA,30
"无私","e",1,0.816,"","",NA,NA,30
"我的","e",1,0.549,"","",NA,NA,30
"执拗","i",1,0.619,"","",NA,NA,30
"聪明","e",1,0.655,"","",NA,NA,30
"猖狂","i",1,0.62,"","",NA,NA,30
"正直","e",1,0.664,"","",NA,NA,30
"我的","e",1,0.512,"","",NA,NA,30
"我","e",1,0.582,"","",NA,NA,30
"他的","i",1,0.666,"","",NA,NA,30
"他人","i",1,0.538,"","",NA,NA,30
"自己","e",1,0.581,"","",NA,NA,30
"认真","e",1,0.633,"","",NA,NA,30
"俺","e",1,0.685,"","",NA,NA,30
"固执","i",1,0.766,"","",NA,NA,30
"俺","e",1,0.727,"","",NA,NA,30
"我的","e",1,0.544,"","",NA,NA,30
"他们","i",1,0.585,"","",NA,NA,30
"其他","i",1,0.6,"","",NA,NA,30
"细腻","e",1,0.697,"","",NA,NA,30
"我","e",1,0.536,"","",NA,NA,30
"我","e",1,0.472,"","",NA,NA,30
"他","i",1,0.682,"","",NA,NA,30
"我们","e",1,0.519,"","",NA,NA,30
"其他","i",1,0.58,"","",NA,NA,30
"杰出","e",1,0.619,"","",NA,NA,30
"虚伪","i",1,0.728,"","",NA,NA,30
"轻率","i",1,0.574,"","",NA,NA,30
"暴躁","i",1,0.624,"","",NA,NA,30
"自私","i",1,0.731,"","",NA,NA,30
"优秀","e",1,0.636,"","",NA,NA,30
"自己","e",1,0.668,"","",NA,NA,30
"诚实","e",1,0.645,"","",NA,NA,30
"傲慢","i",1,0.653,"","",NA,NA,30
"我的","e",1,0.601,"","",NA,NA,30
"我们","e",1,0.55,"","",NA,NA,30
"他们","i",1,0.604,"","",NA,NA,30
"他","i",1,0.682,"","",NA,NA,30
"热情","e",1,0.614,"","",NA,NA,30
"他人","i",1,0.616,"","",NA,NA,30
"活泼","e",1,0.699,"","",NA,NA,30
"我们","e",1,0.567,"","",NA,NA,30
"朴实","e",1,0.703,"","",NA,NA,30
"我们","e",1,0.508,"","",NA,NA,30
"他们","i",1,0.704,"","",NA,NA,30
"俺","e",1,0.599,"","",NA,NA,30
"诚恳","e",1,0.622,"","",NA,NA,30
"其他","i",1,0.601,"","",NA,NA,30
"自卑","i",1,0.637,"","",NA,NA,30
"无私","e",1,0.771,"","",NA,NA,30
"悲观","i",1,0.582,"","",NA,NA,30
"公正","e",1,0.697,"","",NA,NA,30
"他们","i",1,0.665,"","",NA,NA,30
"机智","e",1,0.713,"","",NA,NA,30
"乐观","e",1,0.735,"","",NA,NA,30
"野蛮","i",1,0.529,"","",NA,NA,30
"他的","i",1,0.699,"","",NA,NA,30
"其他","i",1,0.553,"","",NA,NA,30
"自己","e",1,0.493,"","",NA,NA,30
"他的","i",1,0.537,"","",NA,NA,30
"勤奋","e",1,0.683,"","",NA,NA,30
"下贱","i",1,0.547,"","",NA,NA,30
"他的","i",1,0.621,"","",NA,NA,30
"消极","i",1,0.683,"","",NA,NA,30
"冒失","i",1,0.504,"","",NA,NA,30
"稳重","e",1,0.666,"","",NA,NA,30
"凶狠","i",1,0.595,"","",NA,NA,30
"俺","e",1,0.835,"","",NA,NA,30
"自己","e",1,0.55,"","",NA,NA,30
"勇敢","e",1,0.547,"","",NA,NA,30
"他","i",1,0.75,"","",NA,NA,30
"我","e",1,0.596,"","",NA,NA,30
"他人","i",1,0.727,"","",NA,NA,30
"刻薄","i",1,0.716,"","",NA,NA,30
