Words_t1,ans_t1,key_resp_t1.corr,key_resp_t1.rt,Words_t2,ans_t2,key_resp_t2.corr,key_resp_t2.rt,Subject,Category_t1,Category_t2
我的,e,1,0.5458,NA,NA,NA,NA,72,自我,NA
刻薄,i,0,0.3701,NA,NA,NA,NA,72,消极,NA
他们,i,0,0.2134,NA,NA,NA,NA,72,他人,NA
野蛮,i,0,0.2434,NA,NA,NA,NA,72,消极,NA
他,i,1,0.2046,NA,NA,NA,NA,72,他人,NA
执拗,i,1,0.2912,NA,NA,NA,NA,72,消极,NA
稳重,e,1,0.2328,NA,NA,NA,NA,72,积极,NA
他人,i,0,0.1122,NA,NA,NA,NA,72,他人,NA
俺,e,1,0.2692,NA,NA,NA,NA,72,自我,NA
聪明,e,1,0.1327,NA,NA,NA,NA,72,积极,NA
正直,e,1,0.0487,NA,NA,NA,NA,72,积极,NA
冷静,e,1,0.1133,NA,NA,NA,NA,72,积极,NA
他,i,0,0.0534,NA,NA,NA,NA,72,他人,NA
卑鄙,i,0,0.1161,NA,NA,NA,NA,72,消极,NA
猖狂,i,1,0.1039,NA,NA,NA,NA,72,消极,NA
优秀,e,0,0.201,NA,NA,NA,NA,72,积极,NA
我们,e,1,0.1302,NA,NA,NA,NA,72,自我,NA
活泼,e,1,0.1741,NA,NA,NA,NA,72,积极,NA
我们,e,1,0.1688,NA,NA,NA,NA,72,自我,NA
杰出,e,1,0.2297,NA,NA,NA,NA,72,积极,NA
我,e,1,0.1517,NA,NA,NA,NA,72,自我,NA
他人,i,0,0.0179,NA,NA,NA,NA,72,他人,NA
悲观,i,1,0.1214,NA,NA,NA,NA,72,消极,NA
他们,i,1,0.2295,NA,NA,NA,NA,72,他人,NA
他的,i,1,0.2551,NA,NA,NA,NA,72,他人,NA
我的,e,0,0.039,NA,NA,NA,NA,72,自我,NA
凶狠,i,0,0.116,NA,NA,NA,NA,72,消极,NA
认真,e,1,0.0239,NA,NA,NA,NA,72,积极,NA
热情,e,1,0.1827,NA,NA,NA,NA,72,积极,NA
俺,e,1,0.2028,NA,NA,NA,NA,72,自我,NA
傲慢,i,0,0.1315,NA,NA,NA,NA,72,消极,NA
乐观,e,0,0.0143,NA,NA,NA,NA,72,积极,NA
自己,e,0,0.043,NA,NA,NA,NA,72,自我,NA
勤奋,e,0,0.2805,NA,NA,NA,NA,72,积极,NA
自私,i,0,0.1171,NA,NA,NA,NA,72,消极,NA
机智,e,0,0.2341,NA,NA,NA,NA,72,积极,NA
他的,i,0,0.2347,NA,NA,NA,NA,72,他人,NA
消极,i,0,0.1695,NA,NA,NA,NA,72,消极,NA
自己,e,1,0.1951,NA,NA,NA,NA,72,自我,NA
朴实,e,1,0.4548,NA,NA,NA,NA,72,积极,NA
散漫,i,0,0.4877,NA,NA,NA,NA,72,消极,NA
他的,i,0,0.4177,NA,NA,NA,NA,72,他人,NA
自卑,i,1,0.0341,NA,NA,NA,NA,72,消极,NA
他,i,1,1.3018,NA,NA,NA,NA,72,他人,NA
他们,i,0,NA,NA,NA,NA,NA,72,他人,NA
诚实,e,0,0.234,NA,NA,NA,NA,72,积极,NA
虚伪,i,0,0.4933,NA,NA,NA,NA,72,消极,NA
愚蠢,i,1,0.5177,NA,NA,NA,NA,72,消极,NA
我,e,1,0.5348,NA,NA,NA,NA,72,自我,NA
俺,e,1,1.073,NA,NA,NA,NA,72,自我,NA
其他,i,0,1.0862,NA,NA,NA,NA,72,他人,NA
公正,e,1,0.0749,NA,NA,NA,NA,72,积极,NA
勇敢,e,1,0.2518,NA,NA,NA,NA,72,积极,NA
他人,i,1,1.2384,NA,NA,NA,NA,72,他人,NA
冒失,i,0,0.3353,NA,NA,NA,NA,72,消极,NA
其他,i,1,0.3172,NA,NA,NA,NA,72,他人,NA
