Words_t1,ans_t1,key_resp_t1.corr,key_resp_t1.rt,Words_t2,ans_t2,key_resp_t2.corr,key_resp_t2.rt,Subject,Category_t1,Category_t2
认真,e,1,1.0422,NA,NA,NA,NA,89,积极,NA
俺,e,1,0.8057,NA,NA,NA,NA,89,自我,NA
勤奋,e,1,0.6966,NA,NA,NA,NA,89,积极,NA
我,e,1,0.6077,NA,NA,NA,NA,89,自我,NA
正直,e,1,0.6667,NA,NA,NA,NA,89,积极,NA
诚实,e,1,0.6117,NA,NA,NA,NA,89,积极,NA
我,e,1,0.4966,NA,NA,NA,NA,89,自我,NA
散漫,i,1,0.6163,NA,NA,NA,NA,89,消极,NA
他人,i,1,0.4246,NA,NA,NA,NA,89,他人,NA
自己,e,1,0.586,NA,NA,NA,NA,89,自我,NA
猖狂,i,1,0.624,NA,NA,NA,NA,89,消极,NA
他的,i,1,0.5407,NA,NA,NA,NA,89,他人,NA
冷静,e,1,0.5774,NA,NA,NA,NA,89,积极,NA
杰出,e,1,0.5997,NA,NA,NA,NA,89,积极,NA
鲁莽,i,1,0.4978,NA,NA,NA,NA,89,消极,NA
我,e,1,0.501,NA,NA,NA,NA,89,自我,NA
俺,e,1,0.6684,NA,NA,NA,NA,89,自我,NA
执拗,i,1,0.5687,NA,NA,NA,NA,89,消极,NA
暴躁,i,1,0.5351,NA,NA,NA,NA,89,消极,NA
我,e,1,0.7116,NA,NA,NA,NA,89,自我,NA
自私,i,1,1.1565,NA,NA,NA,NA,89,消极,NA
悲观,i,1,0.6407,NA,NA,NA,NA,89,消极,NA
轻率,i,1,0.5131,NA,NA,NA,NA,89,消极,NA
热情,e,1,0.6135,NA,NA,NA,NA,89,积极,NA
稳重,e,1,0.8595,NA,NA,NA,NA,89,积极,NA
我们,e,1,0.7391,NA,NA,NA,NA,89,自我,NA
消极,i,1,0.7838,NA,NA,NA,NA,89,消极,NA
无私,e,1,1.1782,NA,NA,NA,NA,89,积极,NA
我们,e,1,0.6399,NA,NA,NA,NA,89,自我,NA
自己,e,1,0.5098,NA,NA,NA,NA,89,自我,NA
我的,e,1,0.4379,NA,NA,NA,NA,89,自我,NA
我的,e,1,0.4037,NA,NA,NA,NA,89,自我,NA
他的,i,1,0.5765,NA,NA,NA,NA,89,他人,NA
他们,i,1,0.4472,NA,NA,NA,NA,89,他人,NA
我们,e,1,0.5581,NA,NA,NA,NA,89,自我,NA
我们,e,1,0.4911,NA,NA,NA,NA,89,自我,NA
我的,e,1,0.3566,NA,NA,NA,NA,89,自我,NA
愚蠢,i,1,0.5118,NA,NA,NA,NA,89,消极,NA
他,i,1,0.6142,NA,NA,NA,NA,89,他人,NA
自己,e,1,0.5757,NA,NA,NA,NA,89,自我,NA
下贱,i,1,0.5206,NA,NA,NA,NA,89,消极,NA
他们,i,1,0.4601,NA,NA,NA,NA,89,他人,NA
聪明,e,1,0.5367,NA,NA,NA,NA,89,积极,NA
野蛮,i,1,0.6047,NA,NA,NA,NA,89,消极,NA
其他,i,1,0.4841,NA,NA,NA,NA,89,他人,NA
他人,i,1,0.4671,NA,NA,NA,NA,89,他人,NA
朴实,e,1,0.67490000000000006,NA,NA,NA,NA,89,积极,NA
机智,e,1,0.6198,NA,NA,NA,NA,89,积极,NA
公正,e,1,0.6195,NA,NA,NA,NA,89,积极,NA
细腻,e,1,0.6186,NA,NA,NA,NA,89,积极,NA
他们,i,1,0.571,NA,NA,NA,NA,89,他人,NA
他人,i,1,0.4065,NA,NA,NA,NA,89,他人,NA
