Words,ans,Words_t2,ans_t2,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,Practice_T1.thisRepN,Practice_T1.thisTrialN,Practice_T1.thisN,Practice_T1.thisIndex,Formal_T1.thisRepN,Formal_T1.thisTrialN,Formal_T1.thisN,Formal_T1.thisIndex,Practice_iso_Reverse.thisRepN,Practice_iso_Reverse.thisTrialN,Practice_iso_Reverse.thisN,Practice_iso_Reverse.thisIndex,Practice_t2_Reverse.thisRepN,Practice_t2_Reverse.thisTrialN,Practice_t2_Reverse.thisN,Practice_t2_Reverse.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,Instruction1.started,Instruction01.stopped,Instruction1.keys,Instruction1.rt,Instruction1.duration,Instruction02.started,Instruction_02.started,Instruction2.started,Instruction02.stopped,Instruction2.keys,Instruction2.rt,Instruction2.duration,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Instruction04.started,Instruction_04.started,key_resp_4.started,Instruction04.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Instruction05.started,Instruction_05.started,key_resp_5.started,Instruction05.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction06.started,Instruction_06.started,key_resp_6.started,Instruction06.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Fix.started,fix.started,Fix.stopped,Practice_iso_reverse.started,text_4.started,key_resp_iso_reverse.started,Practice_iso_reverse.stopped,key_resp_iso_reverse.keys,key_resp_iso_reverse.corr,key_resp_iso_reverse.rt,key_resp_iso_reverse.duration,Feedback_iso_reverse.started,fb_4.started,Feedback_iso_reverse.stopped,fb_4.stopped,fix.stopped,Instruction07.started,Instruction_07.started,key_resp_7.started,Instruction07.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Practice_t2_reverse.started,text_5.started,key_resp_t2_Practice.started,Practice_t2_reverse.stopped,key_resp_t2_Practice.keys,key_resp_t2_Practice.corr,key_resp_t2_Practice.rt,key_resp_t2_Practice.duration,Feedback_t2_reverse.started,fb_7.started,fb_7.stopped,Feedback_t2_reverse.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
他的,e,,,,,,,,,,,,,,,,,,,0,4,4,7,,,,,11.022501099854708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.020210899878293,11.022501099854708,11.51786659983918,11.517882999964058,11.521440899930894,11.521440899930894,11.937135299900547,e,1,0.41332120005972683,None,11.937404399970546,11.952351999934763,12.936837599845603,12.95177899999544,11.521440899930894,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
我们,i,,,,,,,,,,,,,,,,,,,0,5,5,2,,,,,12.95177899999544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.937053199857473,12.95177899999544,13.453397699864581,13.453412199858576,13.457470800029114,13.457470800029114,13.80094760004431,e,0,0.3418578999117017,None,13.80126790003851,13.809057099977508,14.79477579984814,14.797333599999547,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
俺,i,,,,,,,,,,,,,,,,,,,0,6,6,4,,,,,14.797333599999547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.795029500033706,14.797333599999547,15.295903699938208,15.29595429985784,15.317549200030044,15.317549200030044,15.736706599825993,i,1,0.41676210006698966,None,15.73703489988111,15.74261759989895,16.726104100001976,16.729485800024122,15.317549200030044,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
他人,e,,,,,,,,,,,,,,,,,,,0,7,7,8,,,,,16.729485800024122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.726426099892706,16.729485800024122,17.219347399892285,17.219361499883235,17.239478699862957,17.239478699862957,17.592553799971938,e,1,0.3495573000982404,None,17.59287799987942,17.595944699831307,18.583909099921584,18.586340700043365,17.239478699862957,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
自己,i,,,,,,,,,,,,,,,,,,,0,8,8,3,,,,,18.586340700043365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.584180400008336,18.586340700043365,19.070658299839124,19.07067499984987,19.09234549989924,19.09234549989924,19.615584699902683,i,1,0.5118380000349134,None,19.61588569986634,19.62072020000778,20.60520190000534,20.609240100020543,19.088106399867684,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
我,i,,,,,,,,,,,,,,,,,,,0,9,9,0,,,,,20.609240100020543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.60544509999454,20.609240100020543,21.09444299992174,21.094461699947715,21.103253399953246,21.103253399953246,21.55776899983175,e,0,0.4528652001172304,None,21.55815829988569,21.565690399846062,22.554924099938944,22.558073199819773,21.098208699841052,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.554976199986413,22.558073199819773,22.558073199819773,25.82029900001362,space,3.2453405000269413,None,,,,,,,,,,,,,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
,,猖狂,i,,,,,,,,,,,,,,,,,,,,,0,0,0,45,25.844136399915442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.836407299852,25.844136399915442,26.32891559996642,,,,,,,,,,,,,,,,,,,,,26.328934899996966,26.35004789987579,26.35004789987579,27.493408099981025,i,1,1.1401315000839531,None,27.493954699952155,27.49989079986699,28.489551699953154,28.487273199949414,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
,,他的,e,,,,,,,,,,,,,,,,,,,,,0,1,1,77,28.489551699953154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.487511500017717,28.489551699953154,28.98554959986359,,,,,,,,,,,,,28.989986599888653,,,,,,,,28.985571200028062,28.989986599888653,28.989986599888653,29.553963699843735,e,1,0.5606841000262648,None,29.554365599993616,29.557548499898985,30.56063299998641,30.554641499882564,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
,,我的,i,,,,,,,,,,,,,,,,,,,,,0,2,2,61,30.56063299998641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.554948200006038,30.56063299998641,31.051173999905586,,,,,,,,,,,,,31.05577849992551,,,,,,,,31.051187899895012,31.05577849992551,31.05577849992551,31.799290499882773,i,1,0.7415874998550862,None,31.799588699825108,31.803029699949548,32.78870419994928,32.78670709999278,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
,,俺,i,,,,,,,,,,,,,,,,,,,,,0,3,3,74,32.78870419994928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7869672998786,32.78870419994928,33.28732070000842,,,,,,,,,,,,,33.291325700003654,,,,,,,,33.287336400011554,33.291325700003654,33.291325700003654,33.72008070000447,i,1,0.42621669988147914,None,33.72037149989046,33.72369689983316,34.7216920000501,34.719096899963915,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
,,自己,i,,,,,,,,,,,,,,,,,,,,,0,4,4,63,34.7216920000501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.71933320001699,34.7216920000501,35.220001799985766,,,,,,,,,,,,,35.224922199966386,,,,,,,,35.22002599993721,35.224922199966386,35.224922199966386,35.65254719997756,i,1,0.41676050005480647,None,35.652832499938086,35.65710039995611,36.654174000024796,36.65168769983575,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
,,优秀,e,,,,,,,,,,,,,,,,,,,,,0,5,5,10,36.654174000024796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.65195059985854,36.654174000024796,37.14885769993998,,,,,,,,,,,,,37.1698898000177,,,,,,,,37.14887549984269,37.1698898000177,37.1698898000177,37.52987620001659,i,0,0.3468715001363307,None,37.530221099965274,37.53489989996888,38.52172979991883,38.519449499901384,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
,,他们,e,,,,,,,,,,,,,,,,,,,,,0,6,6,56,38.52172979991883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5197003998328,38.52172979991883,39.019495599903166,,,,,,,,,,,,,39.023178099887446,,,,,,,,39.019513400038704,39.023178099887446,39.023178099887446,39.55371949984692,e,1,0.5148219000548124,None,39.553980599856004,39.55885039991699,40.55688399984501,40.55370859988034,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
,,凶狠,i,,,,,,,,,,,,,,,,,,,,,0,7,7,42,40.55688399984501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.553962299833074,40.55688399984501,41.05112580000423,,,,,,,,,,,,,41.075344800017774,,,,,,,,41.05114210001193,41.075344800017774,41.075344800017774,41.497551299864426,e,0,0.4195944999810308,None,41.49788919999264,41.502844400005415,42.49059539986774,42.48705170000903,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
,,杰出,e,,,,,,,,,,,,,,,,,,,,,0,8,8,13,42.49059539986774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.48729409999214,42.49059539986774,42.97361800004728,,,,,,,,,,,,,42.98190949996933,,,,,,,,42.973631700035185,42.99629379995167,42.99629379995167,43.518569299951196,e,1,0.5170026000123471,None,43.51884029991925,43.52673259982839,44.52130010002293,44.51821629982442,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.52130010002293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.51850869995542,44.52130010002293,45.02085580001585,,,,,,,,,,,,,,,,,,,,,45.0208721999079,45.02471729996614,45.02471729996614,,,,,,,,,,,,,,,,,
