Words,ans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Fix.started,fix.started,Fix.stopped,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,iso_Practice.started,fb.started,fb.stopped,iso_Practice.stopped,fix.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
我,e,0,0,0,0,0.03080239999690093,,0.024783400003798306,0.03080239999690093,0.5055944999912754,0.5056054000160657,0.5119153000123333,0.5119153000123333,1.3609475000121165,e,1,0.8422352999914438,None,1.3612785000004806,1.37159920000704,2.3600451000093017,2.3541699000052176,,839254,001,2024-06-17_13h48.03.804,Ios_practice,2024.1.4,None,2024-06-17 13h48.09.312124 +0800,
我的,e,0,1,1,1,2.3600451000093017,,2.354316800017841,2.3600451000093017,2.8452011000190396,2.8452117000124417,2.850896699994337,2.850896699994337,3.2343198000162374,i,0,0.3800624000141397,None,3.2345360000035726,3.240546799992444,4.232747600006405,4.227022600010969,2.850896699994337,839254,001,2024-06-17_13h48.03.804,Ios_practice,2024.1.4,None,2024-06-17 13h48.09.312124 +0800,
我们,e,0,2,2,2,4.232747600006405,,4.227198700013105,4.232747600006405,4.718021900014719,4.718041799991624,4.723704200005159,4.723704200005159,5.0514717000187375,e,1,0.325645800010534,None,5.051689799991436,5.057162500015693,6.050924400013173,6.045165299990913,4.723704200005159,839254,001,2024-06-17_13h48.03.804,Ios_practice,2024.1.4,None,2024-06-17 13h48.09.312124 +0800,
自己,e,0,3,3,3,6.050924400013173,,6.045328300009714,6.050924400013173,6.536078100005398,6.536088099994231,6.54177010001149,6.54177010001149,7.148498399998061,e,1,0.6022094000072684,None,7.148722600017209,7.153845900000306,8.147955599997658,8.142269900010433,6.54177010001149,839254,001,2024-06-17_13h48.03.804,Ios_practice,2024.1.4,None,2024-06-17 13h48.09.312124 +0800,
俺,e,0,4,4,4,8.147955599997658,,8.142439399991417,8.147955599997658,8.633205199992517,8.633216000016546,8.638840200001141,8.638840200001141,8.869871800008696,i,0,0.22856979997595772,None,8.87016330001643,8.875296100013657,9.869154999993043,9.863308700005291,8.638840200001141,839254,001,2024-06-17_13h48.03.804,Ios_practice,2024.1.4,None,2024-06-17 13h48.09.312124 +0800,
他,i,0,5,5,5,9.869154999993043,,9.863466700015124,9.869154999993043,10.354395900008967,10.35440730000846,10.360049600014463,10.360049600014463,10.748967199993785,i,1,0.3848631999862846,None,10.749188699992374,10.753974899998866,11.7480743000051,11.742151600017678,10.360049600014463,839254,001,2024-06-17_13h48.03.804,Ios_practice,2024.1.4,None,2024-06-17 13h48.09.312124 +0800,
他们,i,0,6,6,6,11.7480743000051,,11.74230820001685,11.7480743000051,12.233814100007294,12.233824599999934,12.238795400015078,12.238795400015078,12.239275400002953,i,1,1.8403205999929924,None,12.239491999993334,12.245039200002793,13.23889350000536,13.23344630000065,12.238795400015078,839254,001,2024-06-17_13h48.03.804,Ios_practice,2024.1.4,None,2024-06-17 13h48.09.312124 +0800,
他的,i,0,7,7,7,13.23889350000536,,13.233648299996275,13.23889350000536,13.724057500017807,13.72406880001654,13.729835500009358,13.729835500009358,13.931035100016743,i,1,0.19970920000923797,None,13.931235600000946,13.935804300010204,14.929713299992727,14.923978700011503,13.729835500009358,839254,001,2024-06-17_13h48.03.804,Ios_practice,2024.1.4,None,2024-06-17 13h48.09.312124 +0800,
他人,i,0,8,8,8,14.929713299992727,,14.924235400016187,14.929713299992727,15.4148423000006,15.41485339999781,15.42068979999749,15.42068979999749,15.79708390001906,i,1,0.3707146000233479,None,15.797304000006989,15.802424299996346,16.793778099992778,16.788110499997856,15.42068979999749,839254,001,2024-06-17_13h48.03.804,Ios_practice,2024.1.4,None,2024-06-17 13h48.09.312124 +0800,
其他,i,0,9,9,9,16.793778099992778,,16.788269500015303,16.793778099992778,17.281841799995163,17.281852600019192,17.28731010001502,17.28731010001502,17.554627900011837,i,1,0.2650902000023052,None,17.554833000001963,17.560062300006393,18.553997500013793,18.548484500002814,17.28731010001502,839254,001,2024-06-17_13h48.03.804,Ios_practice,2024.1.4,None,2024-06-17 13h48.09.312124 +0800,
