"X.Instruction1.keys","Instruction1.rt","Instruction2.keys","Instruction2.rt","key_resp_iso.keys","key_resp_iso.corr","Practice_01.thisRepN","Practice_01.thisTrialN","Practice_01.thisN","Practice_01.thisIndex","Practice_01.ran","Words","ans","participant","session","date","expName","psychopyVersion","OS","frameRate","key_resp_iso.rt","key_resp_3.keys","key_resp_3.rt","key_resp_ipn.keys","key_resp_ipn.corr","key_resp_ipn.rt","Practice_02.thisRepN","Practice_02.thisTrialN","Practice_02.thisN","Practice_02.thisIndex","Practice_02.ran","Words_ipn","ans_ipn","key_resp_4.keys","key_resp_4.rt","key_resp_t1.keys","key_resp_t1.corr","key_resp_t1.rt","Practice_T1.thisRepN","Practice_T1.thisTrialN","Practice_T1.thisN","Practice_T1.thisIndex","Practice_T1.ran","Words_t1","ans_t1","key_resp_5.keys","key_resp_5.rt","Formal_T1.thisRepN","Formal_T1.thisTrialN","Formal_T1.thisN","Formal_T1.thisIndex","Formal_T1.ran","key_resp_6.keys","key_resp_6.rt","key_resp_iso_reverse.keys","key_resp_iso_reverse.corr","key_resp_iso_reverse.rt","Practice_iso_Reverse.thisRepN","Practice_iso_Reverse.thisTrialN","Practice_iso_Reverse.thisN","Practice_iso_Reverse.thisIndex","Practice_iso_Reverse.ran","key_resp_7.keys","key_resp_7.rt","key_resp_t2_Practice.keys","key_resp_t2_Practice.corr","key_resp_t2_Practice.rt","Practice_t2_Reverse.thisRepN","Practice_t2_Reverse.thisTrialN","Practice_t2_Reverse.thisN","Practice_t2_Reverse.thisIndex","Practice_t2_Reverse.ran","Words_t2","ans_t2","key_resp_8.keys","key_resp_8.rt","key_resp_t2.keys","key_resp_t2.corr","key_resp_t2.rt","Formal_t2_reverse.thisRepN","Formal_t2_reverse.thisTrialN","Formal_t2_reverse.thisN","Formal_t2_reverse.thisIndex","Formal_t2_reverse.ran","key_instruct.keys","key_instruct.rt","Subject"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"i",1,1.1066,0,31,31,42,1,"凶狠","i","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"i",1,0.6565,0,32,32,46,1,"野蛮","i","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"i",1,1.0349,0,33,33,51,1,"我的","i","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"i",0,0.7086,0,34,34,14,1,"乐观","e","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"e",1,1.2349,0,35,35,16,1,"正直","e","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"i",1,1.0602,0,36,36,54,1,"俺","i","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"e",1,1.0617,0,37,37,26,1,"冷静","e","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"i",0,0.7974,0,38,38,76,1,"他们","e","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"i",1,0.7931,0,39,39,73,1,"自己","i","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"e",1,0.9155,0,40,40,65,1,"他","e","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"e",1,1.168,0,41,41,12,1,"聪明","e","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"i",1,1.0072,0,42,42,0,1,"我","i","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"i",1,0.8911,0,43,43,44,1,"暴躁","i","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"i",1,0.6275,0,44,44,53,1,"自己","i","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"i",1,0.5652,0,45,45,71,1,"我的","i","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"e",1,0.9202,0,46,46,19,1,"机智","e","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"i",1,0.6689,0,47,47,30,1,"卑鄙","i","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"e",0,0.9252,0,48,48,62,1,"我们","i","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"i",1,1.0271,0,49,49,43,1,"自私","i","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",0,NA,0,50,50,3,1,"自己","i","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"e",1,0.9463,0,51,51,56,1,"他们","e","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"e",1,0.985,0,52,52,24,1,"朴实","e","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-09-01_22h31.34.002","IAT(Formal)","2021.2.3","Win32",19.81218053,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"i",0,0.6343,0,53,53,77,1,"他的","e","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"38"
