Words,ans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Fix.started,fix.started,Fix.stopped,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,iso_Practice.started,fb.started,iso_Practice.stopped,fix.stopped,fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
我,e,0,0,0,0,0.03161009999985254,,0.025688299999956143,0.03161009999985254,0.5058916999998928,0.5059031999999206,0.5117806999999175,0.5117806999999175,0.788720499999954,e,1,0.2732137000000421,None,0.7894005000000561,0.805599999999913,1.7906551999999465,,,881300,001,2024-06-17_14h16.12.213,Ios_practice,2024.1.4,None,2024-06-17 14h16.18.648704 +0800,
我的,e,0,1,1,1,1.796718300000066,,1.7908505999998852,1.796718300000066,2.2823556000000735,2.282367699999895,2.2874446999999236,2.2874446999999236,2.6274045000000115,i,0,0.33735840000008466,None,2.6276232999998683,2.6346223000000464,3.621416599999975,2.2874446999999236,3.6268943000000036,881300,001,2024-06-17_14h16.12.213,Ios_practice,2024.1.4,None,2024-06-17 14h16.18.648704 +0800,
我们,e,0,2,2,2,3.6268943000000036,,3.6216382999998586,3.6268943000000036,4.112064200000077,4.112074899999925,4.118136399999912,4.118136399999912,4.324740600000041,i,0,0.2045212000000447,None,4.324991299999965,4.330060499999945,5.319076499999937,4.118136399999912,5.324005199999874,881300,001,2024-06-17_14h16.12.213,Ios_practice,2024.1.4,None,2024-06-17 14h16.18.648704 +0800,
自己,e,0,3,3,3,5.324005199999874,,5.319328199999973,5.324005199999874,5.809179399999948,5.809190899999976,5.814910000000054,5.814910000000054,5.871296900000061,e,1,0.05528269999990698,None,5.871543799999927,5.87555210000005,6.861044300000003,5.814910000000054,6.866764200000034,881300,001,2024-06-17_14h16.12.213,Ios_practice,2024.1.4,None,2024-06-17 14h16.18.648704 +0800,
,,,,,,6.866764200000034,,6.861217599999918,6.866764200000034,7.355040499999859,7.3550542000000405,7.360207799999898,7.360207799999898,7.403627799999867,e,1,0.0417866000000231,None,7.403934100000015,7.4086646999999175,,7.360207799999898,,,,,,,,,
