thisRow.t,notes,Instruction01.started,Instruction_01.started,key_resp.started,Instruction01.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instruction02.started,Instruction_02.started,key_resp_2.started,Instruction02.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Instruction04.started,Instruction_04.started,key_resp_4.started,Instruction04.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Instruction05.started,Instruction_05.started,key_resp_5.started,Instruction05.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction06.started,Instruction_06.started,key_resp_6.started,Instruction06.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Instruction07.started,Instruction_07.started,key_resp_7.started,Instruction07.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Instruction08.started,Instruction_08.started,key_resp_8.started,Instruction08.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.01353889997699298,0.017885199980810285,0.017885199980810285,2.1456691999919713,space,2.119928100000834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h14.51.847,IAT(test02),2024.1.4,None,2024-06-17 13h14.57.138755 +0800,
,,,,,,,,,2.1456961999938358,2.148199299990665,2.148199299990665,2.8102317999873776,space,0.6581505000067409,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h14.51.847,IAT(test02),2024.1.4,None,2024-06-17 13h14.57.138755 +0800,
,,,,,,,,,,,,,,,,2.810255899996264,2.8150026999937836,2.8150026999937836,3.088824599981308,space,0.26775279999128543,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h14.51.847,IAT(test02),2024.1.4,None,2024-06-17 13h14.57.138755 +0800,
,,,,,,,,,,,,,,,,,,,,,,,3.088848199986387,3.093985599989537,3.093985599989537,3.3440726999833714,space,0.2470649000024423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h14.51.847,IAT(test02),2024.1.4,None,2024-06-17 13h14.57.138755 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3440973999968264,3.3483997999865096,3.3483997999865096,3.5976096999947913,space,0.2480372999852989,None,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h14.51.847,IAT(test02),2024.1.4,None,2024-06-17 13h14.57.138755 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5976363999943715,3.6028746999800205,3.6028746999800205,3.870125699992059,space,0.26225900001008995,None,,,,,,,,,,,,,,,1,001,2024-06-17_13h14.51.847,IAT(test02),2024.1.4,None,2024-06-17 13h14.57.138755 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.870147099980386,3.8755983999872115,3.8755983999872115,4.131100900005549,space,0.2545608000073116,None,,,,,,,,1,001,2024-06-17_13h14.51.847,IAT(test02),2024.1.4,None,2024-06-17 13h14.57.138755 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.131128299981356,4.136277699988568,4.136277699988568,4.397469099989394,space,0.25933540001278743,None,1,001,2024-06-17_13h14.51.847,IAT(test02),2024.1.4,None,2024-06-17 13h14.57.138755 +0800,
