"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"其他","i",1,0.5268,"","",NA,NA,"24"
"下贱","i",1,0.8132,"","",NA,NA,"24"
"凶狠","i",1,0.4824,"","",NA,NA,"24"
"自卑","i",1,0.5073,"","",NA,NA,"24"
"我","e",1,0.4247,"","",NA,NA,"24"
"冒失","i",1,0.5773,"","",NA,NA,"24"
"我的","e",1,0.4452,"","",NA,NA,"24"
"活泼","e",1,0.5547,"","",NA,NA,"24"
"傲慢","i",1,0.4359,"","",NA,NA,"24"
"愚蠢","i",1,0.5502,"","",NA,NA,"24"
"俺","e",1,0.4528,"","",NA,NA,"24"
"崇高","e",0,0.4888,"","",NA,NA,"24"
"他们","i",1,0.6831,"","",NA,NA,"24"
"我们","e",1,0.5133,"","",NA,NA,"24"
"其他","i",1,0.7004,"","",NA,NA,"24"
"自己","e",1,0.4504,"","",NA,NA,"24"
"冷静","e",0,1.0338,"","",NA,NA,"24"
"我们","e",1,0.668,"","",NA,NA,"24"
"稳重","e",0,NA,"","",NA,NA,"24"
"悲观","i",1,0.643,"","",NA,NA,"24"
"执拗","i",1,0.5632,"","",NA,NA,"24"
"鲁莽","i",1,0.6659,"","",NA,NA,"24"
"他","i",1,0.4209,"","",NA,NA,"24"
"乐观","e",1,0.5033,"","",NA,NA,"24"
"散漫","i",1,0.994,"","",NA,NA,"24"
"他们","i",1,0.5404,"","",NA,NA,"24"
"我","e",1,0.3728,"","",NA,NA,"24"
"诚实","e",1,0.4701,"","",NA,NA,"24"
"他的","i",1,0.5127,"","",NA,NA,"24"
"他人","i",1,0.4213,"","",NA,NA,"24"
"他的","i",1,0.3389,"","",NA,NA,"24"
"暴躁","i",1,0.5111,"","",NA,NA,"24"
"刻薄","i",1,0.418,"","",NA,NA,"24"
"我们","e",1,0.6331,"","",NA,NA,"24"
"无私","e",1,0.5469,"","",NA,NA,"24"
"我的","e",1,0.5009,"","",NA,NA,"24"
"他","i",1,0.5362,"","",NA,NA,"24"
"朴实","e",1,0.5174,"","",NA,NA,"24"
"他人","i",1,0.451,"","",NA,NA,"24"
"他人","i",1,0.4509,"","",NA,NA,"24"
"优秀","e",1,0.6522,"","",NA,NA,"24"
"俺","e",1,0.566,"","",NA,NA,"24"
"我们","e",1,0.5083,"","",NA,NA,"24"
"虚伪","i",1,0.8354,"","",NA,NA,"24"
"乐观","e",1,0.6097,"","",NA,NA,"24"
"他","i",1,0.4905,"","",NA,NA,"24"
"暴躁","i",1,0.5875,"","",NA,NA,"24"
"卑鄙","i",1,0.5234,"","",NA,NA,"24"
"执拗","i",1,0.5676,"","",NA,NA,"24"
"俺","e",1,0.5232,"","",NA,NA,"24"
"悲观","i",1,0.7177,"","",NA,NA,"24"
"优秀","e",1,0.5225,"","",NA,NA,"24"
"自己","e",1,0.4688,"","",NA,NA,"24"
"俺","e",1,0.4616,"","",NA,NA,"24"
"他人","i",1,0.4383,"","",NA,NA,"24"
"其他","i",1,0.4339,"","",NA,NA,"24"
"朴实","e",1,0.5044,"","",NA,NA,"24"
"正直","e",1,0.4172,"","",NA,NA,"24"
"他的","i",1,0.4137,"","",NA,NA,"24"
"我的","e",1,0.4555,"","",NA,NA,"24"
"散漫","i",1,0.6449,"","",NA,NA,"24"
"我们","e",1,0.5352,"","",NA,NA,"24"
"他","i",1,0.4442,"","",NA,NA,"24"
"轻率","i",1,0.6498,"","",NA,NA,"24"
"他们","i",1,0.5919,"","",NA,NA,"24"
"愚蠢","i",1,0.5107,"","",NA,NA,"24"
"鲁莽","i",1,0.4504,"","",NA,NA,"24"
"我的","e",1,0.4562,"","",NA,NA,"24"
"勤奋","e",1,0.4424,"","",NA,NA,"24"
"我的","e",1,0.4528,"","",NA,NA,"24"
"我","e",1,0.3394,"","",NA,NA,"24"
"他人","i",1,0.4846,"","",NA,NA,"24"
"消极","i",1,0.5721,"","",NA,NA,"24"
"其他","i",1,0.557,"","",NA,NA,"24"
"他","i",1,0.4513,"","",NA,NA,"24"
"他们","i",1,0.4007,"","",NA,NA,"24"
"刻薄","i",1,0.591,"","",NA,NA,"24"
"机智","e",1,0.539,"","",NA,NA,"24"
"俺","e",1,0.5522,"","",NA,NA,"24"
"俺","e",1,0.3836,"","",NA,NA,"24"
"固执","i",1,0.7664,"","",NA,NA,"24"
"无私","e",1,0.5446,"","",NA,NA,"24"
"我","e",1,0.4696,"","",NA,NA,"24"
"认真","e",1,0.6011,"","",NA,NA,"24"
"崇高","e",1,0.4393,"","",NA,NA,"24"
"他人","i",1,0.4348,"","",NA,NA,"24"
"野蛮","i",1,0.5085,"","",NA,NA,"24"
"自卑","i",0,0.554,"","",NA,NA,"24"
"聪明","e",1,0.7333,"","",NA,NA,"24"
"他的","i",1,0.4745,"","",NA,NA,"24"
"我","e",1,0.4258,"","",NA,NA,"24"
"他们","i",1,0.618,"","",NA,NA,"24"
"下贱","i",1,0.6245,"","",NA,NA,"24"
"猖狂","i",1,0.5104,"","",NA,NA,"24"
"诚恳","e",0,0.4461,"","",NA,NA,"24"
"我们","e",1,0.5572,"","",NA,NA,"24"
"他","i",1,0.7332,"","",NA,NA,"24"
"稳重","e",1,0.7222,"","",NA,NA,"24"
"他人","i",1,0.6012,"","",NA,NA,"24"
"我们","e",1,0.456,"","",NA,NA,"24"
"他的","i",1,0.4264,"","",NA,NA,"24"
"自己","e",1,0.4635,"","",NA,NA,"24"
"勇敢","e",1,0.533,"","",NA,NA,"24"
"诚实","e",1,0.5333,"","",NA,NA,"24"
"活泼","e",1,0.4301,"","",NA,NA,"24"
"杰出","e",1,0.4333,"","",NA,NA,"24"
"自己","e",1,0.3921,"","",NA,NA,"24"
"冒失","i",1,0.4997,"","",NA,NA,"24"
"公正","e",1,0.6017,"","",NA,NA,"24"
"凶狠","i",1,0.5025,"","",NA,NA,"24"
"傲慢","i",1,0.8001,"","",NA,NA,"24"
"细腻","e",1,0.6129,"","",NA,NA,"24"
"自私","i",0,0.7196,"","",NA,NA,"24"
"他的","i",1,0.5184,"","",NA,NA,"24"
"其他","i",1,0.6284,"","",NA,NA,"24"
"我的","e",1,0.5555,"","",NA,NA,"24"
"自己","e",1,0.4854,"","",NA,NA,"24"
"热情","e",1,0.9903,"","",NA,NA,"24"
"我","e",1,0.518,"","",NA,NA,"24"
"他们","i",1,0.437,"","",NA,NA,"24"
"冷静","e",1,0.7785,"","",NA,NA,"24"
"其他","i",1,0.467,"","",NA,NA,"24"
"","",NA,NA,"猖狂","i",1,0.7006,"24"
"","",NA,NA,"刻薄","i",1,0.5035,"24"
"","",NA,NA,"公正","e",1,0.6105,"24"
"","",NA,NA,"他","e",1,0.4597,"24"
"","",NA,NA,"勇敢","e",0,0.6511,"24"
"","",NA,NA,"朴实","e",1,0.6927,"24"
"","",NA,NA,"他的","e",1,0.5027,"24"
"","",NA,NA,"我们","i",1,0.5347,"24"
