"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"散漫","i",1,0.9763,"","",NA,NA,"8"
"他们","i",1,0.5825,"","",NA,NA,"8"
"我的","e",1,0.4557,"","",NA,NA,"8"
"认真","e",1,0.4806,"","",NA,NA,"8"
"自卑","i",1,0.8157,"","",NA,NA,"8"
"我们","e",1,0.4511,"","",NA,NA,"8"
"自己","e",1,0.5482,"","",NA,NA,"8"
"诚实","e",1,0.7652,"","",NA,NA,"8"
"我","e",1,0.6011,"","",NA,NA,"8"
"他们","i",1,0.9161,"","",NA,NA,"8"
"冷静","e",1,0.5211,"","",NA,NA,"8"
"我们","e",1,0.5688,"","",NA,NA,"8"
"俺","e",1,0.5275,"","",NA,NA,"8"
"稳重","e",1,0.4925,"","",NA,NA,"8"
"鲁莽","i",1,0.4832,"","",NA,NA,"8"
"他的","i",1,0.6668,"","",NA,NA,"8"
"无私","e",1,0.5756,"","",NA,NA,"8"
"活泼","e",1,0.5586,"","",NA,NA,"8"
"细腻","e",1,0.5756,"","",NA,NA,"8"
"固执","i",1,0.6006,"","",NA,NA,"8"
"自己","e",1,0.5671,"","",NA,NA,"8"
"暴躁","i",1,0.7263,"","",NA,NA,"8"
"他人","i",0,0.4786,"","",NA,NA,"8"
"我","e",1,0.5839,"","",NA,NA,"8"
"俺","e",1,0.5418,"","",NA,NA,"8"
"公正","e",1,0.6759,"","",NA,NA,"8"
"卑鄙","i",1,0.6922,"","",NA,NA,"8"
"勤奋","e",1,0.6177,"","",NA,NA,"8"
"优秀","e",1,0.576,"","",NA,NA,"8"
"下贱","i",1,0.5507,"","",NA,NA,"8"
"虚伪","i",1,0.6171,"","",NA,NA,"8"
"消极","i",1,0.5701,"","",NA,NA,"8"
"冒失","i",1,0.7858,"","",NA,NA,"8"
"执拗","i",1,0.5421,"","",NA,NA,"8"
"他人","i",1,0.8169,"","",NA,NA,"8"
"刻薄","i",1,0.6006,"","",NA,NA,"8"
"我们","e",1,0.5041,"","",NA,NA,"8"
"自己","e",1,0.5523,"","",NA,NA,"8"
"我的","e",1,0.5236,"","",NA,NA,"8"
"热情","e",1,1.0072,"","",NA,NA,"8"
"他的","i",1,0.5592,"","",NA,NA,"8"
"乐观","e",1,0.8446,"","",NA,NA,"8"
"其他","i",1,0.6918,"","",NA,NA,"8"
"机智","e",1,0.7501,"","",NA,NA,"8"
"野蛮","i",1,0.5489,"","",NA,NA,"8"
"他","i",1,0.5918,"","",NA,NA,"8"
"我的","e",1,0.494,"","",NA,NA,"8"
"猖狂","i",1,0.542,"","",NA,NA,"8"
"正直","e",1,0.5592,"","",NA,NA,"8"
"我","e",1,0.5764,"","",NA,NA,"8"
"悲观","i",1,0.9585,"","",NA,NA,"8"
"聪明","e",1,0.593,"","",NA,NA,"8"
"他","i",1,0.6246,"","",NA,NA,"8"
"自己","e",1,0.534,"","",NA,NA,"8"
"他们","i",1,0.5286,"","",NA,NA,"8"
"俺","e",1,0.6115,"","",NA,NA,"8"
"崇高","e",1,0.791,"","",NA,NA,"8"
"轻率","i",1,0.5494,"","",NA,NA,"8"
"他","i",1,0.6579,"","",NA,NA,"8"
"其他","i",1,0.6742,"","",NA,NA,"8"
"凶狠","i",1,0.6066,"","",NA,NA,"8"
"我","e",1,0.5744,"","",NA,NA,"8"
"杰出","e",1,0.9161,"","",NA,NA,"8"
"他的","i",1,0.5337,"","",NA,NA,"8"
"其他","i",1,0.4765,"","",NA,NA,"8"
"傲慢","i",1,0.5599,"","",NA,NA,"8"
"他人","i",1,0.4004,"","",NA,NA,"8"
"我们","e",1,0.4924,"","",NA,NA,"8"
"自私","i",1,0.7651,"","",NA,NA,"8"
"俺","e",0,0.4867,"","",NA,NA,"8"
"他人","i",1,0.4603,"","",NA,NA,"8"
"其他","i",1,0.4933,"","",NA,NA,"8"
"勇敢","e",1,0.9082,"","",NA,NA,"8"
"诚恳","e",1,0.9933,"","",NA,NA,"8"
"他","i",1,0.6577,"","",NA,NA,"8"
"我的","e",1,0.7583,"","",NA,NA,"8"
"朴实","e",1,0.881,"","",NA,NA,"8"
"他们","i",1,0.5511,"","",NA,NA,"8"
"他的","i",1,0.5495,"","",NA,NA,"8"
"愚蠢","i",1,1.0599,"","",NA,NA,"8"
"下贱","i",1,0.5636,"","",NA,NA,"8"
"机智","e",1,0.6676,"","",NA,NA,"8"
"我们","e",1,0.7087,"","",NA,NA,"8"
"公正","e",1,0.6,"","",NA,NA,"8"
"优秀","e",1,0.4856,"","",NA,NA,"8"
"鲁莽","i",1,0.6275,"","",NA,NA,"8"
"他的","i",1,0.6896,"","",NA,NA,"8"
"他","i",1,0.4735,"","",NA,NA,"8"
"俺","e",1,0.5285,"","",NA,NA,"8"
"他人","i",1,0.4421,"","",NA,NA,"8"
"认真","e",1,0.5233,"","",NA,NA,"8"
"其他","i",1,0.6148,"","",NA,NA,"8"
"我","e",1,0.6073,"","",NA,NA,"8"
"他们","i",1,0.4834,"","",NA,NA,"8"
"活泼","e",1,0.5213,"","",NA,NA,"8"
"我们","e",1,0.5418,"","",NA,NA,"8"
"他们","i",1,0.5525,"","",NA,NA,"8"
"他们","i",1,0.4509,"","",NA,NA,"8"
"消极","i",1,0.5414,"","",NA,NA,"8"
"我们","e",1,0.4865,"","",NA,NA,"8"
"凶狠","i",1,0.4925,"","",NA,NA,"8"
"勇敢","e",1,0.551,"","",NA,NA,"8"
"我们","e",1,0.678,"","",NA,NA,"8"
"他","i",1,0.4287,"","",NA,NA,"8"
"其他","i",1,0.4795,"","",NA,NA,"8"
"散漫","i",1,0.7418,"","",NA,NA,"8"
"自己","e",1,0.5095,"","",NA,NA,"8"
"聪明","e",1,0.7007,"","",NA,NA,"8"
"固执","i",1,0.5014,"","",NA,NA,"8"
"我","e",1,0.5944,"","",NA,NA,"8"
"我","e",1,0.477,"","",NA,NA,"8"
"乐观","e",1,0.6843,"","",NA,NA,"8"
"其他","i",1,0.5287,"","",NA,NA,"8"
