"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"我","e",1,0.4339,"","",NA,NA,"14"
"自己","e",1,0.5817,"","",NA,NA,"14"
"暴躁","i",1,0.5432,"","",NA,NA,"14"
"执拗","i",1,0.5834,"","",NA,NA,"14"
"机智","e",1,0.5162,"","",NA,NA,"14"
"其他","i",1,0.5241,"","",NA,NA,"14"
"散漫","i",1,0.5915,"","",NA,NA,"14"
"我的","e",1,0.4433,"","",NA,NA,"14"
"卑鄙","i",1,0.8717,"","",NA,NA,"14"
"乐观","e",1,0.4859,"","",NA,NA,"14"
"俺","e",1,0.5164,"","",NA,NA,"14"
"公正","e",1,0.576,"","",NA,NA,"14"
"诚恳","e",1,0.4923,"","",NA,NA,"14"
"俺","e",1,0.7467,"","",NA,NA,"14"
"他","i",1,0.6196,"","",NA,NA,"14"
"他们","i",1,0.5235,"","",NA,NA,"14"
"朴实","e",1,0.4789,"","",NA,NA,"14"
"固执","i",1,0.5629,"","",NA,NA,"14"
"他们","i",1,0.6286,"","",NA,NA,"14"
"愚蠢","i",1,0.5874,"","",NA,NA,"14"
"他的","i",1,0.4208,"","",NA,NA,"14"
"我的","e",1,0.5496,"","",NA,NA,"14"
"正直","e",1,0.5168,"","",NA,NA,"14"
"其他","i",1,0.5072,"","",NA,NA,"14"
"自卑","i",1,0.6049,"","",NA,NA,"14"
"俺","e",1,0.5355,"","",NA,NA,"14"
"细腻","e",1,0.8018,"","",NA,NA,"14"
"勇敢","e",1,0.4952,"","",NA,NA,"14"
"冒失","i",1,0.4903,"","",NA,NA,"14"
"无私","e",1,0.6502,"","",NA,NA,"14"
"杰出","e",1,0.4863,"","",NA,NA,"14"
"他的","i",1,0.5412,"","",NA,NA,"14"
"他人","i",1,0.3834,"","",NA,NA,"14"
"冷静","e",1,0.442,"","",NA,NA,"14"
"他们","i",1,0.6116,"","",NA,NA,"14"
"聪明","e",1,0.5927,"","",NA,NA,"14"
"他们","i",1,0.6678,"","",NA,NA,"14"
"俺","e",1,0.5954,"","",NA,NA,"14"
"活泼","e",1,0.6147,"","",NA,NA,"14"
"他","i",1,0.6045,"","",NA,NA,"14"
"悲观","i",1,0.8135,"","",NA,NA,"14"
"野蛮","i",1,0.7201,"","",NA,NA,"14"
"稳重","e",1,0.4722,"","",NA,NA,"14"
"他","i",1,0.6247,"","",NA,NA,"14"
"刻薄","i",1,0.681,"","",NA,NA,"14"
"凶狠","i",1,0.5732,"","",NA,NA,"14"
"傲慢","i",1,0.6245,"","",NA,NA,"14"
"我","e",1,0.4725,"","",NA,NA,"14"
"消极","i",1,0.5983,"","",NA,NA,"14"
"崇高","e",1,0.5203,"","",NA,NA,"14"
"他人","i",1,0.5083,"","",NA,NA,"14"
"我们","e",1,0.507,"","",NA,NA,"14"
"优秀","e",1,0.5182,"","",NA,NA,"14"
"我们","e",1,0.4466,"","",NA,NA,"14"
"其他","i",1,0.4906,"","",NA,NA,"14"
"勤奋","e",1,0.5447,"","",NA,NA,"14"
