"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"稳重","e",1,0.5681,"","",NA,NA,"38"
"认真","e",1,0.4845,"","",NA,NA,"38"
"其他","i",1,0.7236,"","",NA,NA,"38"
"他","i",1,0.7681,"","",NA,NA,"38"
"刻薄","i",1,0.7222,"","",NA,NA,"38"
"杰出","e",1,0.611,"","",NA,NA,"38"
"自私","i",1,0.6628,"","",NA,NA,"38"
"卑鄙","i",1,0.6412,"","",NA,NA,"38"
"乐观","e",1,0.5913,"","",NA,NA,"38"
"凶狠","i",1,0.5954,"","",NA,NA,"38"
"猖狂","i",1,0.6555,"","",NA,NA,"38"
"崇高","e",1,0.5423,"","",NA,NA,"38"
"他","i",1,0.6086,"","",NA,NA,"38"
"下贱","i",1,0.5698,"","",NA,NA,"38"
"散漫","i",1,0.762,"","",NA,NA,"38"
"轻率","i",1,0.8494,"","",NA,NA,"38"
"诚实","e",1,0.5109,"","",NA,NA,"38"
"鲁莽","i",1,0.5659,"","",NA,NA,"38"
"悲观","i",1,0.6117,"","",NA,NA,"38"
"冷静","e",1,1.0974,"","",NA,NA,"38"
"傲慢","i",1,0.6031,"","",NA,NA,"38"
"他人","i",1,0.6878,"","",NA,NA,"38"
"其他","i",1,0.5969,"","",NA,NA,"38"
"我","e",1,0.5825,"","",NA,NA,"38"
"虚伪","i",1,0.6671,"","",NA,NA,"38"
"朴实","e",1,0.6631,"","",NA,NA,"38"
"我的","e",1,0.5939,"","",NA,NA,"38"
"我","e",1,0.4711,"","",NA,NA,"38"
"热情","e",1,0.6379,"","",NA,NA,"38"
"他人","i",1,0.5034,"","",NA,NA,"38"
"自己","e",1,0.5813,"","",NA,NA,"38"
"我们","e",1,0.5746,"","",NA,NA,"38"
"我的","e",1,0.4837,"","",NA,NA,"38"
"聪明","e",1,0.5783,"","",NA,NA,"38"
"俺","e",1,0.5569,"","",NA,NA,"38"
"优秀","e",1,0.5319,"","",NA,NA,"38"
"勤奋","e",1,0.5836,"","",NA,NA,"38"
"他的","i",1,0.594,"","",NA,NA,"38"
"自己","e",1,0.5961,"","",NA,NA,"38"
"自己","e",1,0.544,"","",NA,NA,"38"
"无私","e",1,0.5312,"","",NA,NA,"38"
"他","i",1,0.6165,"","",NA,NA,"38"
"我们","e",1,0.489,"","",NA,NA,"38"
"冒失","i",1,0.6334,"","",NA,NA,"38"
"野蛮","i",1,0.576,"","",NA,NA,"38"
"他","i",0,0.5168,"","",NA,NA,"38"
