"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"他的","i",1,1.3001,"","",NA,NA,"87"
"他","i",0,NA,"","",NA,NA,"87"
"他的","i",1,0.5112,"","",NA,NA,"87"
"其他","i",1,0.5041,"","",NA,NA,"87"
"我","e",1,0.4909,"","",NA,NA,"87"
"他们","i",1,0.6354,"","",NA,NA,"87"
"俺","e",1,0.532,"","",NA,NA,"87"
"野蛮","i",1,0.7202,"","",NA,NA,"87"
"自己","e",1,0.6652,"","",NA,NA,"87"
"他","i",0,0.4943,"","",NA,NA,"87"
"暴躁","i",1,0.6822,"","",NA,NA,"87"
"活泼","e",1,0.6259,"","",NA,NA,"87"
"朴实","e",1,0.7656,"","",NA,NA,"87"
"愚蠢","i",1,0.5858,"","",NA,NA,"87"
"稳重","e",1,0.6459,"","",NA,NA,"87"
"消极","i",1,0.7648,"","",NA,NA,"87"
"他","i",1,1.2961,"","",NA,NA,"87"
"他的","i",1,0.8778,"","",NA,NA,"87"
"我们","e",1,0.8153,"","",NA,NA,"87"
"悲观","i",1,0.547,"","",NA,NA,"87"
"无私","e",0,0.6012,"","",NA,NA,"87"
"诚恳","e",0,NA,"","",NA,NA,"87"
"自己","e",1,0.5336,"","",NA,NA,"87"
"我的","e",1,0.5445,"","",NA,NA,"87"
"公正","e",1,0.5865,"","",NA,NA,"87"
"崇高","e",1,0.5603,"","",NA,NA,"87"
"冷静","e",1,1.0304,"","",NA,NA,"87"
"机智","e",1,0.4487,"","",NA,NA,"87"
"他们","i",0,0.3064,"","",NA,NA,"87"
"聪明","e",1,0.6658,"","",NA,NA,"87"
"执拗","i",1,0.5859,"","",NA,NA,"87"
"细腻","e",1,0.5381,"","",NA,NA,"87"
"他人","i",1,0.7162,"","",NA,NA,"87"
"正直","e",1,0.7861,"","",NA,NA,"87"
"我们","e",1,0.4934,"","",NA,NA,"87"
"诚实","e",1,0.5568,"","",NA,NA,"87"
"他","i",1,1.1333,"","",NA,NA,"87"
"他人","i",0,0.5472,"","",NA,NA,"87"
"我们","e",1,0.6652,"","",NA,NA,"87"
"自己","e",1,0.5328,"","",NA,NA,"87"
"杰出","e",1,0.6516,"","",NA,NA,"87"
"勇敢","e",1,0.5126,"","",NA,NA,"87"
"猖狂","i",0,1.1382,"","",NA,NA,"87"
"固执","i",1,0.5649,"","",NA,NA,"87"
"刻薄","i",1,0.4871,"","",NA,NA,"87"
"虚伪","i",1,0.5895,"","",NA,NA,"87"
"俺","e",1,0.5791,"","",NA,NA,"87"
"其他","i",1,0.4335,"","",NA,NA,"87"
"他人","i",1,0.5051,"","",NA,NA,"87"
"我的","e",1,0.5645,"","",NA,NA,"87"
"我的","e",1,0.5316,"","",NA,NA,"87"
"我","e",1,0.382,"","",NA,NA,"87"
"我","e",1,0.3829,"","",NA,NA,"87"
"自己","e",1,0.493,"","",NA,NA,"87"
"他人","i",0,0.2669,"","",NA,NA,"87"
"轻率","i",1,0.999,"","",NA,NA,"87"
"我的","e",1,1.0992,"","",NA,NA,"87"
"散漫","i",1,1.2369,"","",NA,NA,"87"
"乐观","e",0,NA,"","",NA,NA,"87"
"我","e",0,0.9954,"","",NA,NA,"87"
"他的","i",1,0.6003,"","",NA,NA,"87"
"下贱","i",1,0.4955,"","",NA,NA,"87"
"他们","i",0,1.1375,"","",NA,NA,"87"
"俺","e",1,0.6508,"","",NA,NA,"87"
"其他","i",1,0.4966,"","",NA,NA,"87"
"冒失","i",1,0.7538,"","",NA,NA,"87"
"他们","i",1,0.4998,"","",NA,NA,"87"
"鲁莽","i",1,0.5955,"","",NA,NA,"87"
"我们","e",1,0.639,"","",NA,NA,"87"
"卑鄙","i",1,0.5787,"","",NA,NA,"87"
"热情","e",1,0.4812,"","",NA,NA,"87"
"傲慢","i",1,0.5894,"","",NA,NA,"87"
"优秀","e",1,0.7377,"","",NA,NA,"87"
"自私","i",1,0.5771,"","",NA,NA,"87"
"其他","i",1,0.7359,"","",NA,NA,"87"
"自卑","i",1,0.5063,"","",NA,NA,"87"
"俺","e",1,0.7488,"","",NA,NA,"87"
"认真","e",1,1.2598,"","",NA,NA,"87"
"凶狠","i",1,0.5391,"","",NA,NA,"87"
"勤奋","e",1,1.0307,"","",NA,NA,"87"
"消极","i",1,0.6294,"","",NA,NA,"87"
"热情","e",1,0.7812,"","",NA,NA,"87"
"自卑","i",1,0.9375,"","",NA,NA,"87"
"固执","i",1,1.0553,"","",NA,NA,"87"
"散漫","i",1,1.207,"","",NA,NA,"87"
"乐观","e",1,0.6437,"","",NA,NA,"87"
"他们","i",1,0.4721,"","",NA,NA,"87"
"俺","e",1,1.3828,"","",NA,NA,"87"
"机智","e",1,0.6458,"","",NA,NA,"87"
"公正","e",1,0.6309,"","",NA,NA,"87"
"愚蠢","i",1,0.5654,"","",NA,NA,"87"
"活泼","e",1,0.5681,"","",NA,NA,"87"
"冒失","i",1,0.5497,"","",NA,NA,"87"
"我","e",1,0.7481,"","",NA,NA,"87"
"下贱","i",1,0.5411,"","",NA,NA,"87"
"杰出","e",1,1.1478,"","",NA,NA,"87"
"刻薄","i",1,1.3471,"","",NA,NA,"87"
"我的","e",1,0.5487,"","",NA,NA,"87"
"自己","e",1,0.4772,"","",NA,NA,"87"
"崇高","e",1,0.7555,"","",NA,NA,"87"
"其他","i",1,0.7306,"","",NA,NA,"87"
"悲观","i",1,0.7056,"","",NA,NA,"87"
"自己","e",1,0.4896,"","",NA,NA,"87"
"卑鄙","i",1,0.5939,"","",NA,NA,"87"
"我们","e",1,0.4963,"","",NA,NA,"87"
"认真","e",0,0.5129,"","",NA,NA,"87"
"他的","i",1,0.7943,"","",NA,NA,"87"
"野蛮","i",1,0.5869,"","",NA,NA,"87"
"俺","e",1,1.0166,"","",NA,NA,"87"
"他们","i",1,0.8177,"","",NA,NA,"87"
"他们","i",1,0.6195,"","",NA,NA,"87"
"正直","e",1,1.0664,"","",NA,NA,"87"
"他","i",1,0.6199,"","",NA,NA,"87"
"勤奋","e",0,1.3703,"","",NA,NA,"87"
"其他","i",1,0.5663,"","",NA,NA,"87"
"我的","e",1,1.0261,"","",NA,NA,"87"
"稳重","e",0,0.5975,"","",NA,NA,"87"
"他人","i",1,0.7191,"","",NA,NA,"87"
"他人","i",1,0.6757,"","",NA,NA,"87"
"他","i",1,0.4652,"","",NA,NA,"87"
"聪明","e",1,0.5817,"","",NA,NA,"87"
"鲁莽","i",1,0.723,"","",NA,NA,"87"
"凶狠","i",1,1.1657,"","",NA,NA,"87"
"其他","i",1,0.6141,"","",NA,NA,"87"
"我们","e",1,0.5069,"","",NA,NA,"87"
"自私","i",1,0.9153,"","",NA,NA,"87"
"俺","e",1,0.6879,"","",NA,NA,"87"
"我","e",1,0.4509,"","",NA,NA,"87"
"我们","e",1,0.6303,"","",NA,NA,"87"
"自己","e",1,0.545,"","",NA,NA,"87"
"我们","e",1,0.428,"","",NA,NA,"87"
"他","i",1,0.8422,"","",NA,NA,"87"
"他人","i",1,0.4486,"","",NA,NA,"87"
"他的","i",1,0.5335,"","",NA,NA,"87"
"执拗","i",1,0.6303,"","",NA,NA,"87"
"优秀","e",1,0.6627,"","",NA,NA,"87"
"虚伪","i",1,0.6512,"","",NA,NA,"87"
"他的","i",1,0.7733,"","",NA,NA,"87"
"冷静","e",0,1.4272,"","",NA,NA,"87"
"他人","i",0,1.123,"","",NA,NA,"87"
"细腻","e",0,NA,"","",NA,NA,"87"
"其他","i",1,0.5786,"","",NA,NA,"87"
"暴躁","i",1,0.6271,"","",NA,NA,"87"
"他的","i",1,0.8795,"","",NA,NA,"87"
"我的","e",1,0.4725,"","",NA,NA,"87"
"猖狂","i",1,0.6114,"","",NA,NA,"87"
"我的","e",1,0.6494,"","",NA,NA,"87"
"朴实","e",1,0.698,"","",NA,NA,"87"
"我","e",1,0.4674,"","",NA,NA,"87"
"俺","e",1,0.3967,"","",NA,NA,"87"
"他们","i",1,0.822,"","",NA,NA,"87"
"勇敢","e",1,1.2034,"","",NA,NA,"87"
"轻率","i",1,0.805,"","",NA,NA,"87"
"我","e",1,0.6363,"","",NA,NA,"87"
"诚实","e",1,0.969,"","",NA,NA,"87"
"他","i",1,0.5376,"","",NA,NA,"87"
"傲慢","i",1,0.6704,"","",NA,NA,"87"
"诚恳","e",1,0.6689,"","",NA,NA,"87"
"无私","e",0,0.5339,"","",NA,NA,"87"
"自己","e",1,0.7682,"","",NA,NA,"87"
"他的","i",1,0.6322,"","",NA,NA,"87"
"活泼","e",1,0.5562,"","",NA,NA,"87"
"其他","i",1,0.5645,"","",NA,NA,"87"
"执拗","i",1,0.5532,"","",NA,NA,"87"
"下贱","i",1,0.5927,"","",NA,NA,"87"
"细腻","e",0,NA,"","",NA,NA,"87"
"我的","e",1,0.5521,"","",NA,NA,"87"
"俺","e",1,0.5351,"","",NA,NA,"87"
"自己","e",1,0.5676,"","",NA,NA,"87"
"优秀","e",1,0.4184,"","",NA,NA,"87"
"崇高","e",1,0.4675,"","",NA,NA,"87"
"他们","i",0,0.4515,"","",NA,NA,"87"
"勇敢","e",1,0.78,"","",NA,NA,"87"
"他","i",1,0.6415,"","",NA,NA,"87"
"散漫","i",1,0.5021,"","",NA,NA,"87"
"虚伪","i",1,0.6444,"","",NA,NA,"87"
"俺","e",1,0.5611,"","",NA,NA,"87"
"悲观","i",1,0.531,"","",NA,NA,"87"
"无私","e",0,0.5275,"","",NA,NA,"87"
"我们","e",1,0.4566,"","",NA,NA,"87"
"他们","i",1,0.7452,"","",NA,NA,"87"
"他人","i",1,0.4948,"","",NA,NA,"87"
"他人","i",1,0.4322,"","",NA,NA,"87"
"他","i",1,0.415,"","",NA,NA,"87"
"我们","e",1,0.4637,"","",NA,NA,"87"
"他人","i",1,0.4367,"","",NA,NA,"87"
"固执","i",1,0.6387,"","",NA,NA,"87"
"他的","i",1,0.5986,"","",NA,NA,"87"
"诚实","e",1,0.6126,"","",NA,NA,"87"
"认真","e",1,0.5732,"","",NA,NA,"87"
"我们","e",1,0.5516,"","",NA,NA,"87"
"正直","e",1,0.8353,"","",NA,NA,"87"
"我","e",1,0.6066,"","",NA,NA,"87"
"消极","i",1,0.6082,"","",NA,NA,"87"
"他人","i",1,0.5899,"","",NA,NA,"87"
"乐观","e",1,0.9325,"","",NA,NA,"87"
"诚恳","e",1,0.6512,"","",NA,NA,"87"
"我","e",1,0.5558,"","",NA,NA,"87"
"杰出","e",0,0.7834,"","",NA,NA,"87"
"自己","e",1,0.512,"","",NA,NA,"87"
"自己","e",1,0.4202,"","",NA,NA,"87"
"凶狠","i",1,0.8183,"","",NA,NA,"87"
"我的","e",1,0.5694,"","",NA,NA,"87"
"他们","i",1,0.6001,"","",NA,NA,"87"
