"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"冒失","i",1,0.5999,"","",NA,NA,"83"
"我的","e",1,0.6465,"","",NA,NA,"83"
"自卑","i",1,0.4263,"","",NA,NA,"83"
"其他","i",0,0.5208,"","",NA,NA,"83"
"散漫","i",1,0.9806,"","",NA,NA,"83"
"朴实","e",0,0.7355,"","",NA,NA,"83"
"他的","i",0,1.1834,"","",NA,NA,"83"
"凶狠","i",1,0.3895,"","",NA,NA,"83"
"自己","e",1,0.8002,"","",NA,NA,"83"
"他","i",0,0.5106,"","",NA,NA,"83"
"猖狂","i",1,0.5052,"","",NA,NA,"83"
"他","i",0,0.9967,"","",NA,NA,"83"
"我们","e",0,0.4445,"","",NA,NA,"83"
"我","e",0,0.4339,"","",NA,NA,"83"
"刻薄","i",1,0.5256,"","",NA,NA,"83"
"自己","e",1,0.4302,"","",NA,NA,"83"
"他的","i",0,0.7521,"","",NA,NA,"83"
"无私","e",0,0.8172,"","",NA,NA,"83"
"正直","e",0,NA,"","",NA,NA,"83"
"勤奋","e",0,1.2971,"","",NA,NA,"83"
"他的","i",0,0.6243,"","",NA,NA,"83"
"卑鄙","i",1,1.0333,"","",NA,NA,"83"
"优秀","e",1,1.1642,"","",NA,NA,"83"
"俺","e",0,NA,"","",NA,NA,"83"
"俺","e",0,0.7712,"","",NA,NA,"83"
"我","e",1,0.9594,"","",NA,NA,"83"
"我的","e",0,0.8453,"","",NA,NA,"83"
"他人","i",0,0.2527,"","",NA,NA,"83"
"活泼","e",0,0.0384,"","",NA,NA,"83"
"自己","e",1,0.2503,"","",NA,NA,"83"
"下贱","i",1,0.1301,"","",NA,NA,"83"
"他","i",1,8e-04,"","",NA,NA,"83"
"我们","e",1,0.5582,"","",NA,NA,"83"
"杰出","e",0,0.2246,"","",NA,NA,"83"
"他人","i",1,7e-04,"","",NA,NA,"83"
"聪明","e",1,0.52,"","",NA,NA,"83"
"轻率","i",0,0.3262,"","",NA,NA,"83"
"俺","e",0,0.655,"","",NA,NA,"83"
"愚蠢","i",0,0.4076,"","",NA,NA,"83"
"冷静","e",1,0.0599,"","",NA,NA,"83"
"机智","e",1,0.2811,"","",NA,NA,"83"
"我的","e",1,0.1358,"","",NA,NA,"83"
"野蛮","i",0,0.0814,"","",NA,NA,"83"
"我们","e",1,0.432,"","",NA,NA,"83"
"其他","i",1,0.3165,"","",NA,NA,"83"
"傲慢","i",0,0.3987,"","",NA,NA,"83"
"细腻","e",0,0.8266,"","",NA,NA,"83"
"他人","i",1,0.282,"","",NA,NA,"83"
"消极","i",1,0.7869,"","",NA,NA,"83"
"乐观","e",0,0.3174,"","",NA,NA,"83"
"崇高","e",0,0.2249,"","",NA,NA,"83"
"鲁莽","i",1,0.0482,"","",NA,NA,"83"
"热情","e",0,0.8992,"","",NA,NA,"83"
