"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"固执","i",1,0.6042,"","",NA,NA,"73"
"消极","i",1,0.5488,"","",NA,NA,"73"
"自私","i",1,0.741,"","",NA,NA,"73"
"公正","e",1,0.7486,"","",NA,NA,"73"
"我","e",0,0.445,"","",NA,NA,"73"
"其他","i",1,0.7986,"","",NA,NA,"73"
"冷静","e",1,0.9367,"","",NA,NA,"73"
"野蛮","i",1,0.6312,"","",NA,NA,"73"
"他的","i",1,0.4929,"","",NA,NA,"73"
"他人","i",1,0.3679,"","",NA,NA,"73"
"我的","e",1,0.8741,"","",NA,NA,"73"
"散漫","i",0,1.3194,"","",NA,NA,"73"
"我的","e",1,0.922,"","",NA,NA,"73"
"他","i",1,0.5616,"","",NA,NA,"73"
"细腻","e",0,1.1655,"","",NA,NA,"73"
"认真","e",1,0.8549,"","",NA,NA,"73"
"无私","e",1,1.0274,"","",NA,NA,"73"
"我们","e",1,1.0646,"","",NA,NA,"73"
"鲁莽","i",1,0.6608,"","",NA,NA,"73"
"自己","e",1,0.9092,"","",NA,NA,"73"
"他","i",1,0.6181,"","",NA,NA,"73"
"其他","i",1,0.4885,"","",NA,NA,"73"
"我的","e",1,0.6056,"","",NA,NA,"73"
"勇敢","e",1,1.2479,"","",NA,NA,"73"
"我们","e",1,0.4731,"","",NA,NA,"73"
"自己","e",1,0.5922,"","",NA,NA,"73"
"我","e",1,0.5491,"","",NA,NA,"73"
"其他","i",1,0.647,"","",NA,NA,"73"
"乐观","e",1,0.8257,"","",NA,NA,"73"
"热情","e",1,0.6874,"","",NA,NA,"73"
"自己","e",1,0.6829,"","",NA,NA,"73"
"我们","e",1,0.6469,"","",NA,NA,"73"
"暴躁","i",1,0.6599,"","",NA,NA,"73"
"崇高","e",1,0.7826,"","",NA,NA,"73"
"他们","i",1,0.8225,"","",NA,NA,"73"
"俺","e",1,0.6726,"","",NA,NA,"73"
"俺","e",1,0.5299,"","",NA,NA,"73"
"他的","i",1,0.6202,"","",NA,NA,"73"
"傲慢","i",1,0.7849,"","",NA,NA,"73"
"我们","e",1,0.5833,"","",NA,NA,"73"
"卑鄙","i",1,1.0215,"","",NA,NA,"73"
"猖狂","i",1,0.6175,"","",NA,NA,"73"
"执拗","i",1,0.4653,"","",NA,NA,"73"
"俺","e",1,0.6588,"","",NA,NA,"73"
"其他","i",1,0.6464,"","",NA,NA,"73"
"下贱","i",1,0.5443,"","",NA,NA,"73"
"他的","i",0,0.7784,"","",NA,NA,"73"
"他人","i",1,0.3982,"","",NA,NA,"73"
"他的","i",1,0.4644,"","",NA,NA,"73"
"聪明","e",1,0.8607,"","",NA,NA,"73"
"活泼","e",1,1.0344,"","",NA,NA,"73"
"我","e",1,0.7038,"","",NA,NA,"73"
"正直","e",1,0.5649,"","",NA,NA,"73"
"他","i",1,0.5166,"","",NA,NA,"73"
"机智","e",1,0.8263,"","",NA,NA,"73"
"愚蠢","i",1,0.7715,"","",NA,NA,"73"
"朴实","e",1,1.0002,"","",NA,NA,"73"
"自己","e",1,1.0627,"","",NA,NA,"73"
"悲观","i",1,0.6966,"","",NA,NA,"73"
"他们","i",1,0.7138,"","",NA,NA,"73"
"他人","i",1,0.5303,"","",NA,NA,"73"
"我","e",1,0.5338,"","",NA,NA,"73"
"自卑","i",1,0.8121,"","",NA,NA,"73"
"他人","i",1,1.1181,"","",NA,NA,"73"
"虚伪","i",1,0.5294,"","",NA,NA,"73"
"我的","e",1,0.7228,"","",NA,NA,"73"
"勤奋","e",1,0.98,"","",NA,NA,"73"
"稳重","e",1,0.6882,"","",NA,NA,"73"
"冒失","i",0,0.7347,"","",NA,NA,"73"
"诚恳","e",1,0.6114,"","",NA,NA,"73"
"轻率","i",1,0.6312,"","",NA,NA,"73"
"俺","e",1,0.9691,"","",NA,NA,"73"
"优秀","e",1,0.7825,"","",NA,NA,"73"
"他们","i",1,0.6166,"","",NA,NA,"73"
"凶狠","i",1,0.6594,"","",NA,NA,"73"
"他们","i",1,0.847,"","",NA,NA,"73"
"诚实","e",1,0.7767,"","",NA,NA,"73"
"他","i",1,0.8052,"","",NA,NA,"73"
