Subject,RT_Self,RT_Other,ACC_Self,ACC_Other,SPE_RT,SPE_ACC,SPE_RT_Positive,SPE_RT_Negative,SPE_ACC_Positive,SPE_ACC_Negative
1,0.4695816666666667,0.49567,1,0.8833333333333333,0.026088333333333324,0.1166666666666667,0.026088333333333324,0.026088333333333324,0.1166666666666667,0.1166666666666667
10,0.8909681818181818,0.9017981481481482,0.65,0.6166666666666667,0.010829966329966356,0.033333333333333326,0.010829966329966356,0.010829966329966356,0.033333333333333326,0.033333333333333326
11,0.6318627118644068,0.7180783333333334,0.95,0.9666666666666667,0.08621562146892658,-0.01666666666666672,0.08621562146892658,0.08621562146892658,-0.01666666666666672,-0.01666666666666672
12,0.4863133333333333,0.5298,0.9833333333333333,0.9,0.04348666666666673,0.08333333333333326,0.04348666666666673,0.04348666666666673,0.08333333333333326,0.08333333333333326
13,0.5386733333333333,0.5772116666666667,0.95,0.9833333333333333,0.03853833333333334,-0.033333333333333326,0.03853833333333334,0.03853833333333334,-0.033333333333333326,-0.033333333333333326
14,0.5311483333333333,0.56359,0.9666666666666667,0.9333333333333333,0.0324416666666667,0.033333333333333326,0.0324416666666667,0.0324416666666667,0.033333333333333326,0.033333333333333326
15,0.5716616666666666,0.5567816666666666,0.9833333333333333,0.9666666666666667,-0.014880000000000004,0.016666666666666607,-0.014880000000000004,-0.014880000000000004,0.016666666666666607,0.016666666666666607
16,0.50661,0.5468916666666667,1,0.9666666666666667,0.04028166666666666,0.033333333333333326,0.04028166666666666,0.04028166666666666,0.033333333333333326,0.033333333333333326
17,0.6397389830508474,0.6880233333333333,0.95,0.95,0.0482843502824859,0,0.0482843502824859,0.0482843502824859,0,0
18,0.63254,0.691265,1,0.9166666666666666,0.05872500000000003,0.08333333333333337,0.05872500000000003,0.05872500000000003,0.08333333333333337,0.08333333333333337
19,0.44201666666666667,0.46699,0.9666666666666667,0.9333333333333333,0.024973333333333347,0.033333333333333326,0.024973333333333347,0.024973333333333347,0.033333333333333326,0.033333333333333326
2,0.6153135593220339,0.6570166666666667,0.8833333333333333,0.95,0.041703107344632784,-0.06666666666666665,0.041703107344632784,0.041703107344632784,-0.06666666666666665,-0.06666666666666665
20,0.50038,0.5781566666666667,0.9833333333333333,0.8833333333333333,0.0777766666666666,0.09999999999999998,0.0777766666666666,0.0777766666666666,0.09999999999999998,0.09999999999999998
21,0.48789,0.5156333333333334,0.9833333333333333,0.9666666666666667,0.027743333333333398,0.016666666666666607,0.027743333333333398,0.027743333333333398,0.016666666666666607,0.016666666666666607
22,0.7489542372881356,0.7826839285714285,0.9833333333333333,0.8666666666666667,0.03372969128329295,0.11666666666666659,0.03372969128329295,0.03372969128329295,0.11666666666666659,0.11666666666666659
23,0.6303690476190477,0.6883770833333334,0.6666666666666666,0.7166666666666667,0.0580080357142857,-0.050000000000000044,0.0580080357142857,0.0580080357142857,-0.050000000000000044,-0.050000000000000044
24,0.47294833333333336,0.4892033333333333,0.9833333333333333,0.9833333333333333,0.016254999999999964,0,0.016254999999999964,0.016254999999999964,0,0
25,0.5977677966101695,0.6024733333333333,0.9666666666666667,0.9666666666666667,0.004705536723163761,0,0.004705536723163761,0.004705536723163761,0,0
26,0.5474766666666666,0.5601483333333334,1,0.95,0.012671666666666748,0.050000000000000044,0.012671666666666748,0.012671666666666748,0.050000000000000044,0.050000000000000044
27,0.54264,0.55065,0.9833333333333333,0.9833333333333333,0.008009999999999962,0,0.008009999999999962,0.008009999999999962,0,0
28,0.55235,0.5825084745762712,1,0.9666666666666667,0.030158474576271188,0.033333333333333326,0.030158474576271188,0.030158474576271188,0.033333333333333326,0.033333333333333326
29,0.4944016666666667,0.4966716666666667,0.95,1,0.0022699999999999942,-0.050000000000000044,0.0022699999999999942,0.0022699999999999942,-0.050000000000000044,-0.050000000000000044
3,0.6292033333333333,0.7079706896551724,0.95,0.8166666666666667,0.07876735632183907,0.1333333333333333,0.07876735632183907,0.07876735632183907,0.1333333333333333,0.1333333333333333
30,0.6032166666666666,0.6488666666666667,1,0.9833333333333333,0.04565000000000008,0.01666666666666672,0.04565000000000008,0.04565000000000008,0.01666666666666672,0.01666666666666672
31,0.4928516666666667,0.5033366666666667,0.9666666666666667,0.9666666666666667,0.010484999999999967,0,0.010484999999999967,0.010484999999999967,0,0
32,0.8339813559322033,0.8785066666666667,0.9833333333333333,0.9833333333333333,0.04452531073446331,0,0.04452531073446331,0.04452531073446331,0,0
33,0.6244627118644068,0.6389433333333333,0.9666666666666667,0.9666666666666667,0.01448062146892648,0,0.01448062146892648,0.01448062146892648,0,0
34,0.5983458333333334,0.6062593333333334,0.9666666666666667,0.9,0.007913500000000018,0.06666666666666665,0.007913500000000018,0.007913500000000018,0.06666666666666665,0.06666666666666665
35,0.5594413793103449,0.6287666666666667,0.95,0.9833333333333333,0.06932528735632182,-0.033333333333333326,0.06932528735632182,0.06932528735632182,-0.033333333333333326,-0.033333333333333326
36,0.5158466666666667,0.5562566666666666,1,0.9833333333333333,0.040409999999999946,0.01666666666666672,0.040409999999999946,0.040409999999999946,0.01666666666666672,0.01666666666666672
37,0.7603050847457627,0.7717666666666667,0.9833333333333333,0.9833333333333333,0.011461581920903963,0,0.011461581920903963,0.011461581920903963,0,0
38,0.5744783333333333,0.6223966666666667,1,0.9833333333333333,0.047918333333333396,0.01666666666666672,0.047918333333333396,0.047918333333333396,0.01666666666666672,0.01666666666666672
