Id,Gender,Age,Only_Child,Handedness,5、请选择你所在的地区？,6、请选择你的民族？,7、请选择你所学的专业？,8、请选择你的教育程度？,d_prime_goodme_badothers,d_prime_badme_goodothers,IAS_Total,SS_Total,PRCA_Total,PRCA_grouo,PRCA_meeting,PRCA_twopeople,PRCA_public
49,1,22,2,1,广东省/广州市/天河区,汉族,文学,本科,3.211459212,1.683242467,51,48,60,16,17,13,14
50,1,22,2,2,广东省/珠海市/香洲区,布依族,理学（其他）,本科,3.137839265,1.968469921,53,53,50,11,17,13,9
51,1,20,2,2,山东省/青岛市/黄岛区,汉族,工学（计算机类）,本科,2.426679245,2.241003534,54,42,62,16,15,16,15
52,1,20,2,1,山东省/菏泽市/牡丹区,汉族,理学（物理学）,本科,3.463328792,3.174111665,50,45,69,17,18,16,18
53,1,27,2,1,山西省/临汾市/尧都区,汉族,工学（材料类）,大专,3.919927969,3.289707254,57,51,55,15,14,15,11
54,2,19,2,1,河北省/沧州市/运河区,汉族,心理学,本科,3.373341633,1.918233234,51,38,66,17,17,18,14
55,2,21,2,1,广东省/中山市/三乡镇,汉族,管理学,本科,5.276514547,3.417470516,52,48,72,18,20,18,16
56,2,41,1,2,海南省/海口市/龙华区,汉族,管理学,本科,3.289707254,2.879062942,45,35,79,21,19,20,19
57,2,24,1,1,浙江省/杭州市/上城区,汉族,工学（机械与自动化类）,本科,3.137839265,2.426679245,61,57,55,15,13,13,14
58,2,22,2,1,湖北省/武汉市/洪山区,汉族,心理学,本科,4.073668263,2.636021795,54,52,57,14,16,13,14
59,2,27,2,2,天津市/市辖区/北辰区,汉族,经济学,本科,2.611329051,2.127243877,48,40,74,18,17,19,20
60,2,25,1,1,重庆市/市辖区/沙坪坝区,汉族,管理学,本科,3.068241089,2.493440997,49,44,60,12,16,16,16
61,2,23,2,1,甘肃省/兰州市/城关区,汉族,管理学,硕士,3.786369069,1.552843522,57,52,55,12,18,13,12
62,2,46,2,1,河北省/保定市/容城县,汉族,文学,硕士,8.529781588,3.725463735,60,57,52,13,16,11,12
