"Id","Gender","Age","Only_Child","Handedness","X5.请选择你所在的地区.","X6.请选择你的民族.","X7.请选择你所学的专业.","X8.请选择你的教育程度.","d_prime_goodme_badothers","d_prime_badme_goodothers","IAS_Total","SS_Total","PRCA_Total","PRCA_grouo","PRCA_meeting","PRCA_twopeople","PRCA_public","mean_logRT_compatible","mean_logRT_incompatible","IAT_score","Group"
40,1,20,2,1,"山东省/青岛市/黄岛区","汉族","工学（机械与自动化类）","本科",3.919927969,2.879062942,49,44,65,18,15,15,17,6.32941764804186,6.37259860176501,0.0431809537231471,"Low"
41,1,22,2,1,"浙江省/杭州市/西湖区","汉族","工学（其他类）","硕士",4.256090468,2.970330914,73,64,118,28,30,30,30,6.26795468328351,6.43030929932119,0.162354616037678,"High"
43,1,25,2,1,"吉林省/长春市/绿园区","汉族","工学（机械与自动化类）","硕士",3.786369069,3.068241089,21,18,97,23,21,25,28,6.34525494129183,6.3939162470156,0.0486613057237681,"Low"
45,1,22,2,1,"广东省/深圳市/龙华区","汉族","理学（化学）","本科",4.073668263,3.289707254,23,18,99,26,21,26,26,6.42254626863023,6.54289994424432,0.120353675614094,"Medium"
46,1,26,2,1,"陕西省/西安市/长安区","汉族","文学","硕士",3.919927969,2.879062942,40,41,71,17,17,17,20,6.47655765796101,6.54633570979536,0.0697780518343469,"Low"
47,1,28,1,1,"广东省/广州市/荔湾区","汉族","工学（计算机类）","本科",4.256090468,3.417470516,31,28,89,24,21,21,23,6.34687665443053,6.55142260459493,0.204545950164395,"High"
48,1,22,2,1,"山东省/济南市/槐荫区","汉族","理学（数学）","本科",3.919927969,3.174111665,70,65,41,10,15,10,6,6.17866797109749,6.29702770987704,0.118359738779549,"Medium"
49,1,22,2,1,"广东省/广州市/天河区","汉族","文学","本科",3.211459212,1.683242467,51,48,60,16,17,13,14,6.33501963668644,6.56537870984713,0.230359073160685,"High"
50,1,22,2,2,"广东省/珠海市/香洲区","布依族","理学（其他）","本科",3.137839265,1.968469921,53,53,50,11,17,13,9,6.30417818205704,6.44451612333086,0.140337941273817,"High"
51,1,20,2,2,"山东省/青岛市/黄岛区","汉族","工学（计算机类）","本科",2.426679245,2.241003534,54,42,62,16,15,16,15,6.31043811864338,6.52542340874868,0.214985290105299,"High"
52,1,20,2,1,"山东省/菏泽市/牡丹区","汉族","理学（物理学）","本科",3.463328792,3.174111665,50,45,69,17,18,16,18,6.30443052276531,6.44480142635357,0.140370903588256,"High"
53,1,27,2,1,"山西省/临汾市/尧都区","汉族","工学（材料类）","大专",3.919927969,3.289707254,57,51,55,15,14,15,11,6.37640558872677,6.48567828445167,0.109272695724895,"Medium"
